energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
3.18459230,0.29356491,-0.41846812,0.00000037,-0.00311040,0.08878970,-0.12527649,0.11097778,-0.20325919,0.05879363,-0.13420423,0.03226528,-0.00819190,0.00554338,-0.00172845,0.08339652,-0.07832784
3.19059530,0.27087184,-0.44544889,0.00000024,-0.00371644,0.08249689,-0.13429903,0.10328442,-0.21899038,0.05429062,-0.14315461,0.02952695,-0.00692783,0.00507293,-0.00154781,0.07653348,-0.08268755
3.19659830,0.24918587,-0.47438929,0.00000016,-0.00441603,0.07664473,-0.14385659,0.09620165,-0.23553663,0.05000608,-0.15272898,0.02682701,-0.00600437,0.00460906,-0.00143760,0.06985937,-0.08711456
3.20260130,0.22888208,-0.50494077,0.00000011,-0.00521606,0.07136760,-0.15387089,0.08990213,-0.25279740,0.04601609,-0.16281977,0.02419892,-0.00537257,0.00415754,-0.00138869,0.06346535,-0.09152495
3.20860430,0.21031735,-0.53680505,0.00000007,-0.00612275,0.06679912,-0.16427636,0.08455980,-0.27068939,0.04239373,-0.17333463,0.02167154,-0.00499055,0.00372332,-0.00139329,0.05743402,-0.09584540
3.21460730,0.19382671,-0.56973789,0.00000004,-0.00714141,0.06307102,-0.17502147,0.08034835,-0.28914868,0.03920831,-0.18419754,0.01926876,-0.00482284,0.00331051,-0.00144479,0.05183841,-0.10001492
3.22061031,0.17972109,-0.60355173,0.00000003,-0.00827611,0.06031237,-0.18606975,0.07744018,-0.30813229,0.03652489,-0.19534954,0.01700936,-0.00483968,0.00292232,-0.00153757,0.04674143,-0.10398646
3.22661331,0.16828617,-0.63811701,0.00000002,-0.00952944,0.05864890,-0.19740032,0.07600537,-0.32761911,0.03440397,-0.20674906,0.01490706,-0.00501629,0.00256114,-0.00166681,0.04219571,-0.10772821
3.23261631,0.15978189,-0.67336197,0.00000001,-0.01090217,0.05820242,-0.20900797,0.07621072,-0.34760997,0.03290136,-0.21837185,0.01297078,-0.00533208,0.00222847,-0.00182833,0.03824382,-0.11122458
3.23861931,0.15444241,-0.70927069,0.00000001,-0.01239306,0.05909011,-0.22090268,0.07821853,-0.36812686,0.03206809,-0.23021025,0.01120495,-0.00576998,0.00192509,-0.00201841,0.03491876,-0.11447666
3.24462231,0.15247591,-0.74587932,0.00000001,-0.01399866,0.06142347,-0.23310846,0.08218500,-0.38921112,0.03195022,-0.24227205,0.00961001,-0.00631578,0.00165107,-0.00223366,0.03224460,-0.11750230
3.25062531,0.15406402,-0.78327034,0.00000000,-0.01571317,0.06530697,-0.24566161,0.08825797,-0.41092062,0.03258867,-0.25457868,0.00818291,-0.00695750,0.00140588,-0.00247092,0.03023716,-0.12033550
3.25662831,0.15936050,-0.82156493,0.00000000,-0.01752838,0.07083614,-0.25860831,0.09657402,-0.43332592,0.03401876,-0.26716279,0.00691770,-0.00768493,0.00118851,-0.00272719,0.02890474,-0.12302527
3.26263132,0.16848886,-0.86091347,0.00000000,-0.01943366,0.07809510,-0.27200157,0.10725475,-0.45650546,0.03626954,-0.28006537,0.00580612,-0.00848918,0.00099753,-0.00299954,0.02824870,-0.12563386
3.26863432,0.18153894,-0.90148435,0.00000000,-0.02141602,0.08715350,-0.28589761,0.12040218,-0.48053991,0.03936298,-0.29333228,0.00483815,-0.00936234,0.00083123,-0.00328510,0.02826394,-0.12823447
3.27463732,0.19856228,-0.94345137,0.00000000,-0.02346031,0.09806295,-0.30035182,0.13609350,-0.50550573,0.04331277,-0.30701041,0.00400261,-0.01029725,0.00068768,-0.00358108,0.02893920,-0.13090833
3.28064032,0.21956651,-0.98698021,0.00000000,-0.02554940,0.11085293,-0.31541431,0.15437510,-0.53146832,0.04812300,-0.32114350,0.00328759,-0.01128726,0.00056483,-0.00388479,0.03025710,-0.13374147
3.28664332,0.24450884,-1.03221410,0.00000000,-0.02766448,0.12552641,-0.33112526,0.17525629,-0.55847480,0.05378661,-0.33576788,0.00268090,-0.01232618,0.00046060,-0.00419366,0.03219411,-0.13682100
3.29264632,0.27328922,-1.07925954,0.00000000,-0.02978540,0.14205542,-0.34751030,0.19870281,-0.58654680,0.06028381,-0.35090809,0.00217048,-0.01340815,0.00037290,-0.00450536,0.03472027,-0.14023135
