energy_ev,total_up,B_p_up,B_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.54634658,0.64915988,0.00000000,1.94761901,2.25445849,0.03905177,1.29403139
-5.99399700,4.51423540,0.64380028,0.00000000,1.92630441,2.25338616,0.04119648,1.28212331
-5.98799400,4.48146294,0.63770325,0.00000000,1.90613321,2.25035420,0.04342526,1.27087932
-5.98199100,4.44840980,0.63095701,0.00000000,1.88727244,2.24549462,0.04573750,1.26037731
-5.97598799,4.41558763,0.62366562,0.00000000,1.86991398,2.23903011,0.04813240,1.25073797
-5.96998499,4.38360869,0.61594312,0.00000000,1.85426797,2.23125609,0.05060836,1.24211890
-5.96398199,4.35314930,0.60790747,0.00000000,1.84055363,2.22251978,0.05316229,1.23470596
-5.95797899,4.32490954,0.59967450,0.00000000,1.82898792,2.21319776,0.05578885,1.22870251
-5.95197599,4.29957128,0.59135230,0.00000000,1.81977261,2.20367317,0.05847978,1.22431679
-5.94597299,4.27775727,0.58303642,0.00000000,1.81308065,2.19431409,0.06122335,1.22174838
-5.93996998,4.25999342,0.57480618,0.00000000,1.80904243,2.18545436,0.06400382,1.22117434
-5.93396698,4.24667682,0.56672226,0.00000000,1.80773318,2.17737793,0.06680120,1.22273584
-5.92796398,4.23805122,0.55882579,0.00000000,1.80916207,2.17030771,0.06959115,1.22652621
-5.92196098,4.23419160,0.55113886,0.00000000,1.81326398,2.16439933,0.07234507,1.23258093
-5.91595798,4.23499871,0.54366659,0.00000000,1.81989463,2.15974030,0.07503056,1.24087034
-5.90995498,4.24020397,0.53640038,0.00000000,1.82882944,2.15635424,0.07761200,1.25129555
-5.90395198,4.24938429,0.52932225,0.00000000,1.83976664,2.15420978,0.08005140,1.26368772
-5.89794897,4.26198598,0.52240994,0.00000000,1.85233447,2.15323334,0.08230950,1.27781104
-5.89194597,4.27735629,0.51564230,0.00000000,1.86610244,2.15332467,0.08434695,1.29336907
-5.88594297,4.29478041,0.50900467,0.00000000,1.88059627,2.15437394,0.08612569,1.31001436
-5.87993997,4.31352180,0.50249388,0.00000000,1.89531588,2.15627896,0.08761032,1.32736077
-5.87393697,4.33286336,0.49612233,0.00000000,1.90975562,2.15896112,0.08876951,1.34499784
-5.86793397,4.35214673,0.48992109,0.00000000,1.92342596,2.16237886,0.08957731,1.36250661
-5.86193097,4.37080761,0.48394150,0.00000000,1.93587555,2.16653747,0.09001437,1.37947587
-5.85592796,4.38840482,0.47825538,0.00000000,1.94671267,2.17149440,0.09006892,1.39551825
-5.84992496,4.40464165,0.47295358,0.00000000,1.95562508,2.17735968,0.08973756,1.41028516
-5.84392196,4.41937820,0.46814316,0.00000000,1.96239732,2.18429118,0.08902577,1.42347991
-5.83791896,4.43263440,0.46394316,0.00000000,1.96692462,2.19248512,0.08794816,1.43486850
-5.83191596,4.44458386,0.46047939,0.00000000,1.96922281,2.20216238,0.08652832,1.44428742
-5.82591296,4.45553915,0.45787850,0.00000000,1.96943376,2.21355163,0.08479854,1.45164842
-5.81990995,4.46593005,0.45626182,0.00000000,1.96782598,2.22687065,0.08279913,1.45693991
-5.81390695,4.47627651,0.45573925,0.00000000,1.96479055,2.24230707,0.08057754,1.46022534
-5.80790395,4.48715840,0.45640383,0.00000000,1.96083241,2.26000029,0.07818732,1.46163861
-5.80190095,4.49918464,0.45832725,0.00000000,1.95655762,2.28002602,0.07568691,1.46137715
-5.79589795,4.51296379,0.46155669,0.00000000,1.95265706,2.30238491,0.07313835,1.45969307
-5.78989495,4.52907882,0.46611329,0.00000000,1.94988756,2.32699636,0.07060598,1.45688325
-5.78389195,4.54806765,0.47199242,0.00000000,1.94905136,2.35369856,0.06815512,1.45327880
-5.77788894,4.57041137,0.47916571,0.00000000,1.95097481,2.38225514,0.06585089,1.44923490
