energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,0.58312014,0.03113024,0.00196644,0.13249402,0.07392938,0.40588981,0.00000000
-5.99399700,0.57026505,0.02913789,0.00186547,0.12968223,0.07266190,0.40495872,0.00000000
-5.98799400,0.55718117,0.02728303,0.00176737,0.12705680,0.07137515,0.40342382,0.00000000
-5.98199100,0.54404535,0.02557836,0.00167349,0.12465497,0.07009190,0.40131949,0.00000000
-5.97598799,0.53105203,0.02403620,0.00158520,0.12252586,0.06884020,0.39869208,0.00000000
-5.96998499,0.51841069,0.02266833,0.00150390,0.12073007,0.06765292,0.39559908,0.00000000
-5.96398199,0.50634360,0.02148586,0.00143099,0.11933918,0.06656744,0.39210885,0.00000000
-5.95797899,0.49508399,0.02049927,0.00136786,0.11843487,0.06562506,0.38830045,0.00000000
-5.95197599,0.48487422,0.01971846,0.00131583,0.11810800,0.06487047,0.38426379,0.00000000
-5.94597299,0.47596391,0.01915281,0.00127619,0.11845719,0.06435106,0.38009969,0.00000000
-5.93996998,0.46860766,0.01881134,0.00125015,0.11958720,0.06411612,0.37591977,0.00000000
-5.93396698,0.46306219,0.01870278,0.00123883,0.12160688,0.06421581,0.37184601,0.00000000
-5.92796398,0.45958268,0.01883566,0.00124326,0.12462671,0.06470014,0.36800975,0.00000000
-5.92196098,0.45841829,0.01921833,0.00126432,0.12875603,0.06561761,0.36455007,0.00000000
-5.91595798,0.45980672,0.01985891,0.00130276,0.13409985,0.06701389,0.36161139,0.00000000
-5.90995498,0.46396784,0.02076519,0.00135915,0.14075545,0.06893026,0.35934038,0.00000000
-5.90395198,0.47109671,0.02194442,0.00143388,0.14880869,0.07140203,0.35788215,0.00000000
-5.89794897,0.48135605,0.02340314,0.00152711,0.15833039,0.07445698,0.35737581,0.00000000
-5.89194597,0.49486854,0.02514680,0.00163875,0.16937267,0.07811375,0.35794972,0.00000000
-5.88594297,0.51170935,0.02717949,0.00176847,0.18196556,0.08238048,0.35971646,0.00000000
-5.87993997,0.53189935,0.02950357,0.00191563,0.19611405,0.08725352,0.36276791,0.00000000
-5.87393697,0.55539931,0.03211933,0.00207930,0.21179565,0.09271647,0.36717072,0.00000000
-5.86793397,0.58210564,0.03502470,0.00225826,0.22895865,0.09873959,0.37296234,0.00000000
-5.86193097,0.61184790,0.03821497,0.00245097,0.24752132,0.10527952,0.38014796,0.00000000
-5.85592796,0.64438846,0.04168259,0.00265561,0.26737191,0.11227949,0.38869851,0.00000000
-5.84992496,0.67942440,0.04541702,0.00287008,0.28836970,0.11967001,0.39854991,0.00000000
-5.84392196,0.71659171,0.04940470,0.00309205,0.31034700,0.12736997,0.40960359,0.00000000
-5.83791896,0.75547177,0.05362902,0.00331899,0.33311211,0.13528820,0.42172834,0.00000000
-5.83191596,0.79559982,0.05807044,0.00354821,0.35645300,0.14332545,0.43476333,0.00000000
-5.82591296,0.83647519,0.06270660,0.00377693,0.38014181,0.15137663,0.44852226,0.00000000
-5.81990995,0.87757272,0.06751250,0.00400232,0.40393969,0.15933336,0.46279834,0.00000000
-5.81390695,0.91835503,0.07246066,0.00422161,0.42760201,0.16708657,0.47736993,0.00000000
-5.80790395,0.95828507,0.07752139,0.00443207,0.45088358,0.17452923,0.49200646,0.00000000
-5.80190095,0.99683830,0.08266294,0.00463115,0.47354371,0.18155886,0.50647451,0.00000000
-5.79589795,1.03351417,0.08785170,0.00481649,0.49535088,0.18807999,0.52054358,0.00000000
-5.78989495,1.06784637,0.09305234,0.00498597,0.51608685,0.19400624,0.53399160,0.00000000
-5.78389195,1.09941152,0.09822803,0.00513776,0.53555014,0.19926207,0.54660972,0.00000000
-5.77788894,1.12783610,0.10334049,0.00527035,0.55355868,0.20378417,0.55820645,0.00000000
-5.77188594,1.15280152,0.10835021,0.00538253,0.56995166,0.20752230,0.56861112,0.00000000
-5.76588294,1.17404730,0.11321659,0.00547346,0.58459070,0.21043985,0.57767644,0.00000000
-5.75987994,1.19137259,0.11789814,0.00554262,0.59736021,0.21251382,0.58528050,0.00000000
-5.75387694,1.20463616,0.12235279,0.00558979,0.60816726,0.21373457,0.59132812,0.00000000
-5.74787394,1.21375521,0.12653825,0.00561508,0.61694099,0.21410514,0.59575175,0.00000000
-5.74187094,1.21870330,0.13041242,0.00561887,0.62363170,0.21364038,0.59851195,0.00000000
-5.73586793,1.21950772,0.13393406,0.00560180,0.62820995,0.21236595,0.59959771,0.00000000
-5.72986493,1.21624663,0.13706337,0.00556473,0.63066554,0.21031715,0.59902660,0.00000000
-5.72386193,1.20904616,0.13976286,0.00550872,0.63100678,0.20753775,0.59684471,0.00000000
-5.71785893,1.19807774,0.14199820,0.00543502,0.62925995,0.20407891,0.59312661,0.00000000
-5.71185593,1.18355556,0.14373918,0.00534502,0.62546905,0.19999807,0.58797508,0.00000000
-5.70585293,1.16573436,0.14496068,0.00524026,0.61969588,0.19535804,0.58152054,0.00000000
-5.69984992,1.14490732,0.14564369,0.00512242,0.61202038,0.19022610,0.57392026,0.00000000
-5.69384692,1.12140406,0.14577624,0.00499329,0.60254112,0.18467331,0.56535689,0.00000000
-5.68784392,1.09558831,0.14535429,0.00485476,0.59137594,0.17877379,0.55603649,0.00000000
