energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.70335199,0.07049211,0.00246272,0.00766545,1.76760844,1.49459022,1.04027150
-5.99399700,2.71047708,0.06988202,0.00239669,0.00794173,1.78537332,1.52709829,1.04073352
-5.98799400,2.71436577,0.06902368,0.00232028,0.00820916,1.80240709,1.55858300,1.04102345
-5.98199100,2.71505413,0.06794737,0.00223491,0.00846604,1.81846087,1.58872523,1.04108756
-5.97598799,2.71262699,0.06668790,0.00214217,0.00871071,1.83329676,1.61722249,1.04087853
-5.96998499,2.70721951,0.06528384,0.00204374,0.00894156,1.84669777,1.64379943,1.04035913
-5.96398199,2.69901705,0.06377667,0.00194138,0.00915698,1.85847669,1.66821789,1.03950487
-5.95797899,2.68825295,0.06220985,0.00183683,0.00935538,1.86848340,1.69028573,1.03830549
-5.95197599,2.67520441,0.06062791,0.00173181,0.00953514,1.87661016,1.70986395,1.03676524
-5.94597299,2.66018622,0.05907550,0.00162795,0.00969466,1.88279460,1.72687150,1.03490204
-5.93996998,2.64354239,0.05759649,0.00152677,0.00983235,1.88702013,1.74128740,1.03274525
-5.93396698,2.62563590,0.05623301,0.00142961,0.00994663,1.88931364,1.75314965,1.03033263
-5.92796398,2.60683647,0.05502466,0.00133767,0.01003598,1.88974054,1.76255104,1.02770610
-5.92196098,2.58750703,0.05400762,0.00125194,0.01009895,1.88839724,1.76963168,1.02490701
-5.91595798,2.56798901,0.05321390,0.00117318,0.01013418,1.88540162,1.77456862,1.02197086
-5.90995498,2.54858725,0.05267063,0.00110198,0.01014049,1.88088181,1.77756309,1.01892194
-5.90395198,2.52955512,0.05239938,0.00103870,0.01011685,1.87496411,1.77882588,1.01576819
-5.89794897,2.51108068,0.05241563,0.00098350,0.01006247,1.86776073,1.77856186,1.01249673
-5.89194597,2.49327474,0.05272825,0.00093636,0.00997682,1.85935826,1.77695461,1.00907025
-5.88594297,2.47616169,0.05333922,0.00089711,0.00985965,1.84980767,1.77415207,1.00542483
-5.87993997,2.45967383,0.05424337,0.00086542,0.00971106,1.83911663,1.77025428,1.00146920
-5.87393697,2.44364995,0.05542833,0.00084084,0.00953148,1.82724493,1.76530417,0.99708590
-5.86793397,2.42783852,0.05687469,0.00082282,0.00932175,1.81410325,1.75928211,0.99213418
-5.86193097,2.41190586,0.05855632,0.00081075,0.00908308,1.79955586,1.75210476,0.98645482
-5.85592796,2.39544904,0.06044088,0.00080397,0.00881704,1.78342708,1.74362845,0.97987659
-5.84992496,2.37801329,0.06249059,0.00080178,0.00852564,1.76551129,1.73365719,0.97222414
-5.84392196,2.35911319,0.06466314,0.00080350,0.00821119,1.74558609,1.72195475,0.96332696
-5.83791896,2.33825667,0.06691282,0.00080845,0.00787638,1.72342772,1.70826045,0.95302890
-5.83191596,2.31497062,0.06919177,0.00081598,0.00752417,1.69882799,1.69230748,0.94119769
-5.82591296,2.28882680,0.07145134,0.00082551,0.00715776,1.67161162,1.67384294,0.92773401
-5.81990995,2.25946665,0.07364345,0.00083647,0.00678054,1.64165278,1.65264817,0.91257945
-5.81390695,2.22662345,0.07572206,0.00084841,0.00639601,1.60889001,1.62855825,0.89572285
-5.80790395,2.19014072,0.07764445,0.00086090,0.00600773,1.57333825,1.60147940,0.87720475
-5.80190095,2.14998569,0.07937243,0.00087361,0.00561923,1.53509743,1.57140316,0.85711936
-5.79589795,2.10625701,0.08087335,0.00088626,0.00523395,1.49435684,1.53841654,0.83561419
-5.78989495,2.05918627,0.08212091,0.00089863,0.00485517,1.45139512,1.50270736,0.81288706
-5.78389195,2.00913327,0.08309568,0.00091058,0.00448596,1.40657566,1.46456459,0.78918077
-5.77788894,1.95657524,0.08378537,0.00092198,0.00412910,1.36033788,1.42437357,0.76477562
-5.77188594,1.90209085,0.08418477,0.00093277,0.00378707,1.31318469,1.38260639,0.73998031
-5.76588294,1.84633967,0.08429550,0.00094289,0.00346200,1.26566703,1.33980808,0.71512152
