energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,1.13384852,0.23172465,0.71435798,0.00033886,0.04937021,0.08695968,0.22380903,0.24638533,0.00000000
-5.99399700,1.13979757,0.23267658,0.71820097,0.00028848,0.05037137,0.08721963,0.22436261,0.24723038,0.00000000
-5.98799400,1.14576756,0.23320328,0.72211385,0.00024915,0.05133529,0.08754649,0.22505548,0.24773207,0.00000000
-5.98199100,1.15123535,0.23324624,0.72570254,0.00022032,0.05223247,0.08789668,0.22585019,0.24782184,0.00000000
-5.97598799,1.15571780,0.23275056,0.72859929,0.00020162,0.05303439,0.08823009,0.22672005,0.24743495,0.00000000
-5.96998499,1.15879732,0.23166821,0.73047880,0.00019288,0.05371488,0.08851265,0.22765440,0.24651391,0.00000000
-5.96398199,1.16014762,0.22996138,0.73107446,0.00019413,0.05425143,0.08871885,0.22866421,0.24501218,0.00000000
-5.95797899,1.15955859,0.22760592,0.73019373,0.00020564,0.05462658,0.08883422,0.22978737,0.24289786,0.00000000
-5.95197599,1.15695932,0.22459468,0.72773247,0.00022791,0.05482914,0.08885757,0.23109388,0.24015715,0.00000000
-5.94597299,1.15243842,0.22094045,0.72368728,0.00026170,0.05485537,0.08880308,0.23269028,0.23679751,0.00000000
-5.93996998,1.14626021,0.21667854,0.71816546,0.00030797,0.05470986,0.08870196,0.23472320,0.23285016,0.00000000
-5.93396698,1.13887627,0.21186865,0.71139209,0.00036794,0.05440633,0.08860376,0.23738176,0.22837186,0.00000000
-5.92796398,1.13093119,0.20659601,0.70371356,0.00044303,0.05396802,0.08857711,0.24089845,0.22344590,0.00000000
-5.92196098,1.12326197,0.20097165,0.69559752,0.00053481,0.05342787,0.08870996,0.24554828,0.21818197,0.00000000
-5.91595798,1.11689062,0.19513171,0.68762867,0.00064500,0.05282835,0.08910918,0.25164612,0.21271508,0.00000000
-5.90995498,1.11300965,0.18923584,0.68050065,0.00077544,0.05222092,0.08989945,0.25954182,0.20720341,0.00000000
-5.90395198,1.11296047,0.18346464,0.67500375,0.00092795,0.05166519,0.09122157,0.26961342,0.20182515,0.00000000
-5.89794897,1.11820489,0.17801622,0.67200884,0.00110434,0.05122777,0.09322994,0.28225811,0.19677442,0.00000000
-5.89194597,1.13029035,0.17310196,0.67244767,0.00130631,0.05098071,0.09608944,0.29788129,0.19225638,0.00000000
-5.88594297,1.15080936,0.16894157,0.67729006,0.00153535,0.05099978,0.09997162,0.31688388,0.18848178,0.00000000
-5.87993997,1.18135435,0.16575757,0.68751842,0.00179267,0.05136243,0.10505027,0.33964811,0.18566099,0.00000000
-5.87393697,1.22346890,0.16376949,0.70410024,0.00207912,0.05214553,0.11149646,0.36652229,0.18399787,0.00000000
-5.86793397,1.27859680,0.16318767,0.72795932,0.00239508,0.05342306,0.11947320,0.39780498,0.18368360,0.00000000
-5.86193097,1.34803029,0.16420715,0.75994636,0.00274039,0.05526360,0.12912972,0.43372916,0.18489075,0.00000000
-5.85592796,1.43285932,0.16700158,0.80080985,0.00311428,0.05772786,0.14059567,0.47444704,0.18776776,0.00000000
-5.84992496,1.53392328,0.17171748,0.85116805,0.00351533,0.06086630,0.15397533,0.52001613,0.19243403,0.00000000
-5.84392196,1.65176715,0.17846899,0.91148302,0.00394141,0.06471679,0.16934209,0.57038730,0.19897580,0.00000000
-5.83791896,1.78660373,0.18733322,0.98203743,0.00438968,0.06930253,0.18673334,0.62539545,0.20744303,0.00000000
-5.83191596,1.93828354,0.19834650,1.06291526,0.00485663,0.07463031,0.20614612,0.68475344,0.21784722,0.00000000
-5.82591296,2.10627417,0.21150148,1.15398704,0.00533809,0.08068909,0.22753365,0.74804977,0.23016045,0.00000000
-5.81990995,2.28965012,0.22674550,1.25490039,0.00582932,0.08744901,0.25080300,0.81475049,0.24431552,0.00000000
-5.81390695,2.48709439,0.24397999,1.36507660,0.00632512,0.09486104,0.27581409,0.88420543,0.26020733,0.00000000
-5.80790395,2.69691235,0.26306134,1.48371369,0.00681996,0.10285704,0.30238023,0.95565896,0.27769525,0.00000000
-5.80190095,2.91705821,0.28380298,1.60979613,0.00730812,0.11135059,0.33027012,1.02826519,0.29660668,0.00000000
-5.79589795,3.14517381,0.30597882,1.74211145,0.00778388,0.12023839,0.35921161,1.10110696,0.31674133,0.00000000
-5.78989495,3.37863884,0.32932800,1.87927343,0.00824168,0.12940224,0.38889690,1.17321847,0.33787639,0.00000000
