energy_ev,total_up,B_p_up,B_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.50625968,0.09343099,0.00000000,0.61011647,0.45747772,0.00567916,0.60425300
-5.99399700,1.50902626,0.09198358,0.00000000,0.61883869,0.46000420,0.00579328,0.60791074
-5.98799400,1.51375022,0.09066715,0.00000000,0.62802922,0.46310154,0.00590685,0.61240393
-5.98199100,1.52026884,0.08949361,0.00000000,0.63750400,0.46671962,0.00601709,0.61763508
-5.97598799,1.52834162,0.08846977,0.00000000,0.64706024,0.47078427,0.00612121,0.62347428
-5.96998499,1.53765859,0.08759735,0.00000000,0.65648335,0.47519938,0.00621651,0.62976313
-5.96398199,1.54785168,0.08687335,0.00000000,0.66555465,0.47985018,0.00630044,0.63631999
-5.95797899,1.55850893,0.08629053,0.00000000,0.67405959,0.48460741,0.00637073,0.64294623
-5.95197599,1.56919127,0.08583818,0.00000000,0.68179639,0.48933236,0.00642545,0.64943364
-5.94597299,1.57945141,0.08550301,0.00000000,0.68858461,0.49388273,0.00646311,0.65557250
-5.93996998,1.58885419,0.08527025,0.00000000,0.69427373,0.49811896,0.00648271,0.66116028
-5.93396698,1.59699781,0.08512483,0.00000000,0.69875104,0.50191101,0.00648383,0.66601062
-5.92796398,1.60353490,0.08505258,0.00000000,0.70194892,0.50514520,0.00646666,0.66996219
-5.92196098,1.60819284,0.08504146,0.00000000,0.70385092,0.50773085,0.00643201,0.67288720
-5.91595798,1.61079215,0.08508270,0.00000000,0.70449656,0.50960646,0.00638136,0.67469906
-5.90995498,1.61126232,0.08517182,0.00000000,0.70398452,0.51074513,0.00631687,0.67535893
-5.90395198,1.60965402,0.08530950,0.00000000,0.70247389,0.51115887,0.00624133,0.67488081
-5.89794897,1.60614723,0.08550209,0.00000000,0.70018355,0.51090173,0.00615817,0.67333483
-5.89194597,1.60105447,0.08576205,0.00000000,0.69738928,0.51007130,0.00607140,0.67084850
-5.88594297,1.59481886,0.08610791,0.00000000,0.69441873,0.50880863,0.00598559,0.66760587
-5.87993997,1.58800685,0.08656406,0.00000000,0.69164416,0.50729640,0.00590575,0.66384435
-5.87393697,1.58129557,0.08716012,0.00000000,0.68947314,0.50575536,0.00583732,0.65984931
-5.86793397,1.57545505,0.08793018,0.00000000,0.68833726,0.50443904,0.00578604,0.65594651
-5.86193097,1.57132597,0.08891161,0.00000000,0.68867929,0.50362698,0.00575788,0.65249270
-5.85592796,1.56979352,0.09014384,0.00000000,0.69093897,0.50361658,0.00575889,0.64986443
-5.84992496,1.57175822,0.09166683,0.00000000,0.69553800,0.50471393,0.00579514,0.64844572
-5.84392196,1.57810504,0.09351957,0.00000000,0.70286465,0.50722392,0.00587258,0.64861491
-5.83791896,1.58967165,0.09573851,0.00000000,0.71325862,0.51143992,0.00599689,0.65073112
-5.83191596,1.60721731,0.09835599,0.00000000,0.72699656,0.51763361,0.00617340,0.65512107
-5.82591296,1.63139341,0.10139882,0.00000000,0.74427913,0.52604503,0.00640690,0.66206650
-5.81990995,1.66271703,0.10488702,0.00000000,0.76521984,0.53687362,0.00670157,0.67179291
-5.81390695,1.70154841,0.10883273,0.00000000,0.78983646,0.55027021,0.00706082,0.68446003
-5.80790395,1.74807333,0.11323934,0.00000000,0.81804534,0.56633053,0.00748718,0.70015438
