energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-3.41870935,2.42741657,0.45185544,0.18841441,0.04500053,0.54993450,0.07071965,0.88097153
-3.41270635,2.37842673,0.44150465,0.18406032,0.04401760,0.54285683,0.07201778,0.85269991
-3.40670335,2.32549393,0.43033575,0.17928667,0.04284009,0.53430251,0.07324866,0.82434485
-3.40070035,2.26957536,0.41854251,0.17417518,0.04148778,0.52443181,0.07440817,0.79640165
-3.39469735,2.21151276,0.40629610,0.16880108,0.03998220,0.51339463,0.07548965,0.76928423
-3.38869435,2.15201185,0.39374129,0.16323148,0.03834606,0.50132702,0.07648352,0.74331528
-3.38269135,2.09163069,0.38099439,0.15752422,0.03660266,0.48834906,0.07737699,0.71872100
-3.37668834,2.03077678,0.36814294,0.15172739,0.03477528,0.47456414,0.07815418,0.69563056
-3.37068534,1.96971267,0.35524709,0.14587942,0.03288677,0.46005963,0.07879646,0.67407985
-3.36468234,1.90856910,0.34234227,0.14000958,0.03095909,0.44490867,0.07928295,0.65401944
-3.35867934,1.84736445,0.32944317,0.13413911,0.02901302,0.42917283,0.07959142,0.63532588
-3.35267634,1.78602914,0.31654839,0.12828243,0.02706788,0.41290552,0.07969917,0.61781589
-3.34667334,1.72443297,0.30364563,0.12244880,0.02514135,0.39615553,0.07958426,0.60126235
-3.34067034,1.66241405,0.29071702,0.11664389,0.02324937,0.37897081,0.07922663,0.58541158
-3.33466733,1.59980730,0.27774411,0.11087148,0.02140610,0.36140180,0.07860935,0.57000074
-3.32866433,1.53647105,0.26471247,0.10513493,0.01962389,0.34350431,0.07771975,0.55477469
-3.32266133,1.47231049,0.25161551,0.09943855,0.01791333,0.32534174,0.07655048,0.53950152
-3.31665833,1.40729666,0.23845734,0.09378864,0.01628336,0.30698639,0.07510037,0.52398612
-3.31065533,1.34148050,0.22525469,0.08819426,0.01474131,0.28851992,0.07337502,0.50808125
-3.30465233,1.27500121,0.21203772,0.08266768,0.01329303,0.27003296,0.07138722,0.49169571
-3.29864932,1.20808917,0.19884995,0.07722452,0.01194302,0.25162384,0.06915699,0.47479947
-3.29264632,1.14106327,0.18574714,0.07188355,0.01069456,0.23339668,0.06671144,0.45742560
-3.28664332,1.07432346,0.17279553,0.06666630,0.00954984,0.21545895,0.06408419,0.43966915
-3.28064032,1.00833892,0.16006946,0.06159647,0.00851005,0.19791868,0.06131470,0.42168313
-3.27463732,0.94363288,0.14764858,0.05669907,0.00757558,0.18088148,0.05844725,0.40367188
-3.26863432,0.88076501,0.13561487,0.05199965,0.00674609,0.16444766,0.05552978,0.38588239
-3.26263132,0.82031223,0.12404970,0.04752340,0.00602066,0.14870953,0.05261261,0.36859374
-3.25662831,0.76284907,0.11303091,0.04329427,0.00539793,0.13374906,0.04974704,0.35210552
-3.25062531,0.70892838,0.10263038,0.03933421,0.00487618,0.11963599,0.04698402,0.33672546
-3.24462231,0.65906319,0.09291181,0.03566250,0.00445348,0.10642653,0.04437270,0.32275692
-3.23861931,0.61371038,0.08392908,0.03229521,0.00412776,0.09416263,0.04195925,0.31048669
-3.23261631,0.57325681,0.07572513,0.02924484,0.00389695,0.08287180,0.03978568,0.30017361
-3.22661331,0.53800806,0.06833127,0.02652008,0.00375906,0.07256750,0.03788886,0.29203826
-3.22061031,0.50818027,0.06176710,0.02412575,0.00371225,0.06325004,0.03629979,0.28625424
-3.21460730,0.48389496,0.05604073,0.02206287,0.00375490,0.05490780,0.03504298,0.28294110
-3.20860430,0.46517700,0.05114952,0.02032889,0.00388567,0.04751887,0.03413613,0.28215935
-3.20260130,0.45195544,0.04708104,0.01891792,0.00410351,0.04105273,0.03359000,0.28390742
-3.19659830,0.44406718,0.04381422,0.01782117,0.00440772,0.03547218,0.03340848,0.28812083
-3.19059530,0.44126296,0.04132071,0.01702734,0.00479789,0.03073510,0.03358885,0.29467347
-3.18459230,0.44321561,0.03956624,0.01652305,0.00527390,0.02679625,0.03412219,0.30338085
-3.17858929,0.44952991,0.03851191,0.01629328,0.00583583,0.02360874,0.03499397,0.31400532
-3.17258629,0.45975391,0.03811549,0.01632178,0.00648390,0.02112542,0.03618468,0.32626286
-3.16658329,0.47339106,0.03833248,0.01659142,0.00721833,0.01929980,0.03767054,0.33983138
-3.16058029,0.48991291,0.03911703,0.01708448,0.00803919,0.01808686,0.03942427,0.35436004
-3.15457729,0.50877177,0.04042263,0.01778292,0.00894623,0.01744340,0.04141581,0.36947937
-3.14857429,0.52941313,0.04220260,0.01866847,0.00993868,0.01732816,0.04361305,0.38481171
-3.14257129,0.55128727,0.04441035,0.01972273,0.01101498,0.01770169,0.04598241,0.39998175
-3.13656828,0.57385977,0.04699943,0.02092720,0.01217259,0.01852593,0.04848946,0.41462651
-3.13056528,0.59662073,0.04992339,0.02226315,0.01340772,0.01976366,0.05109935,0.42840471
-3.12456228,0.61909238,0.05313556,0.02371158,0.01471507,0.02137788,0.05377713,0.44100499
-3.11855928,0.64083495,0.05658871,0.02525302,0.01608764,0.02333102,0.05648804,0.45215273
-3.11255628,0.66145081,0.06023463,0.02686739,0.01751649,0.02558432,0.05919766,0.46161538
-3.10655328,0.68058695,0.06402383,0.02853387,0.01899065,0.02809715,0.06187197,0.46920605
-3.10055028,0.69793573,0.06790528,0.03023074,0.02049701,0.03082658,0.06447743,0.47478531
-3.09454727,0.71323449,0.07182627,0.03193538,0.02202031,0.03372711,0.06698095,0.47826140
-3.08854427,0.72626385,0.07573251,0.03362423,0.02354325,0.03675063,0.06934996,0.47958871
-3.08254127,0.73684545,0.07956847,0.03527291,0.02504668,0.03984664,0.07155248,0.47876504
-3.07653827,0.74483917,0.08327799,0.03685646,0.02650986,0.04296281,0.07355724,0.47582754
-3.07053527,0.75014040,0.08680513,0.03834962,0.02791086,0.04604576,0.07533396,0.47084800
-3.06453227,0.75267748,0.09009542,0.03972729,0.02922707,0.04904214,0.07685363,0.46392749
-3.05852926,0.75240977,0.09309729,0.04096503,0.03043573,0.05189997,0.07808904,0.45519083
-3.05252626,0.74932641,0.09576375,0.04203970,0.03151460,0.05457009,0.07901531,0.44478114
-3.04652326,0.74344584,0.09805427,0.04293011,0.03244256,0.05700786,0.07961049,0.43285478
-3.04052026,0.73481628,0.09993681,0.04361771,0.03320038,0.05917484,0.07985635,0.41957673
-3.03451726,0.72351679,0.10138975,0.04408734,0.03377127,0.06104046,0.07973903,0.40511673
-3.02851426,0.70965894,0.10240390,0.04432782,0.03414157,0.06258365,0.07924977,0.38964614
-3.02251126,0.69338877,0.10298422,0.04433260,0.03430123,0.06379427,0.07838554,0.37333559
-3.01650825,0.67488871,0.10315140,0.04410018,0.03424424,0.06467429,0.07714954,0.35635329
-3.01050525,0.65437911,0.10294296,0.04363449,0.03396889,0.06523873,0.07555159,0.33886397
-3.00450225,0.63211916,0.10241405,0.04294504,0.03347794,0.06551611,0.07360824,0.32102836
-2.99849925,0.60840682,0.10163759,0.04204689,0.03277854,0.06554863,0.07134279,0.30300296
-2.99249625,0.58357750,0.10070403,0.04096053,0.03188212,0.06539187,0.06878491,0.28493994
-2.98649325,0.55800140,0.09972034,0.03971139,0.03080398,0.06511399,0.06597019,0.26698727
-2.98049025,0.53207942,0.09880851,0.03832939,0.02956289,0.06479456,0.06293936,0.24928856
-2.97448724,0.50623757,0.09810343,0.03684813,0.02818047,0.06452294,0.05973736,0.23198291
-2.96848424,0.48092009,0.09775011,0.03530409,0.02668053,0.06439623,0.05641225,0.21520452
-2.96248124,0.45658137,0.09790048,0.03373568,0.02508837,0.06451691,0.05301398,0.19908203
-2.95647824,0.43367704,0.09870964,0.03218218,0.02343003,0.06499017,0.04959315,0.18373776
-2.95047524,0.41265443,0.10033176,0.03068275,0.02173155,0.06592102,0.04619968,0.16928675
-2.94447224,0.39394287,0.10291572,0.02927535,0.02001831,0.06741121,0.04288161,0.15583577
-2.93846923,0.37794411,0.10660055,0.02799579,0.01831442,0.06955615,0.03968393,0.14348238
-2.93246623,0.36502332,0.11151093,0.02687679,0.01664219,0.07244180,0.03664760,0.13231407
-2.92646323,0.35550104,0.11775275,0.02594720,0.01502176,0.07614177,0.03380867,0.12240764
-2.92046023,0.34964632,0.12540905,0.02523134,0.01347078,0.08071458,0.03119764,0.11382889
-2.91445723,0.34767150,0.13453635,0.02474849,0.01200430,0.08620137,0.02883907,0.10663263
-2.90845423,0.34972880,0.14516176,0.02451258,0.01063475,0.09262399,0.02675128,0.10086309
-2.90245123,0.35590890,0.15728076,0.02453200,0.00937199,0.09998371,0.02494641,0.09655472
-2.89644822,0.36624163,0.17085612,0.02480966,0.00822358,0.10826063,0.02343059,0.09373333
-2.89044522,0.38069890,0.18581785,0.02534325,0.00719501,0.11741384,0.02220428,0.09241762
-2.88444222,0.39919966,0.20206437,0.02612554,0.00629011,0.12738232,0.02126282,0.09262085
-2.87843922,0.42161686,0.21946501,0.02714504,0.00551147,0.13808684,0.02059706,0.09435276
-2.87243622,0.44778624,0.23786378,0.02838665,0.00486085,0.14943263,0.02019410,0.09762147
-2.86643322,0.47751642,0.25708439,0.02983251,0.00433969,0.16131287,0.02003807,0.10243526
-2.86043022,0.51060015,0.27693633,0.03146290,0.00394953,0.17361292,0.02011098,0.10880415
-2.85442721,0.54682600,0.29722198,0.03325727,0.00369244,0.18621521,0.02039349,0.11674115
-2.84842421,0.58599006,0.31774426,0.03519520,0.00357137,0.19900446,0.02086570,0.12626297
-2.84242121,0.62790707,0.33831475,0.03725743,0.00359049,0.21187322,0.02150788,0.13739018
-2.83641821,0.67242021,0.35876173,0.03942676,0.00375540,0.22472724,0.02230108,0.15014673
-2.83041521,0.71940921,0.37893782,0.04168886,0.00407326,0.23749065,0.02322764,0.16455870
-2.82441221,0.76879592,0.39872685,0.04403301,0.00455283,0.25011050,0.02427162,0.18065239
-2.81840920,0.82054718,0.41804942,0.04645251,0.00520439,0.26256038,0.02541902,0.19845174
-2.81240620,0.87467439,0.43686705,0.04894501,0.00603949,0.27484298,0.02665795,0.21797511
-2.80640320,0.93122973,0.45518428,0.05151253,0.00707070,0.28699128,0.02797860,0.23923167
-2.80040020,0.99029893,0.47304885,0.05416120,0.00831109,0.29906820,0.02937308,0.26221740
-2.79439720,1.05199090,0.49054953,0.05690084,0.00977371,0.31116466,0.03083523,0.28691107
-2.78839420,1.11642433,0.50781188,0.05974418,0.01147085,0.32339606,0.03236017,0.31327035
-2.78239120,1.18371216,0.52499174,0.06270592,0.01341336,0.33589715,0.03394395,0.34122827
-2.77638819,1.25394424,0.54226700,0.06580160,0.01560969,0.34881556,0.03558299,0.37069033
-2.77038519,1.32716946,0.55982770,0.06904632,0.01806511,0.36230412,0.03727356,0.40153248
-2.76438219,1.40337789,0.57786508,0.07245336,0.02078075,0.37651236,0.03901131,0.43360004
