energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,4.76025432,0.05089968,0.47697090,0.07596704,2.32204713,1.47723108,0.65793530,1.71449944,0.96538816
-5.99399700,4.78860428,0.05341236,0.47434243,0.07924206,2.32742950,1.43344375,0.65808938,1.74261066,0.96962827
-5.98799400,4.83799410,0.05614808,0.47388482,0.08297591,2.34404925,1.39566491,0.66222803,1.77665998,0.97648213
-5.98199100,4.90715241,0.05907267,0.47546198,0.08713515,2.37135342,1.36400126,0.67017270,1.81606980,0.98585659
-5.97598799,4.99428957,0.06214507,0.47888936,0.09167636,2.40851733,1.33840916,0.68165613,1.86011567,0.99758709
-5.96998499,5.09714405,0.06531802,0.48394031,0.09654718,2.45446787,1.31870219,0.69632907,1.90794723,1.01143998
-5.96398199,5.21304407,0.06853917,0.49035369,0.10168745,2.50791455,1.30456272,0.71376900,1.95861411,1.02711698
-5.95797899,5.33898262,0.07175220,0.49784263,0.10703068,2.56738721,1.29555699,0.73349089,2.01109574,1.04426175
-5.95197599,5.47170378,0.07489837,0.50610389,0.11250571,2.63127937,1.29115309,0.75495950,2.06433449,1.06246836
-5.94597299,5.60779742,0.07791805,0.51482791,0.11803851,2.69789553,1.29074109,0.77760304,2.11727068,1.08129180
-5.93996998,5.74379909,0.08075245,0.52370888,0.12355406,2.76550091,1.29365456,0.80082767,2.16887848,1.10025994
-5.93396698,5.87629145,0.08334536,0.53245471,0.12897821,2.83237172,1.29919257,0.82403237,2.21820127,1.11888684
-5.92796398,6.00200359,0.08564479,0.54079644,0.13423956,2.89684413,1.30664137,0.84662387,2.26438511,1.13668687
-5.92196098,6.11790443,0.08760463,0.54849683,0.13927110,2.95736006,1.31529491,0.86803097,2.30670899,1.15318914
-5.91595798,6.22128678,0.08918598,0.55535779,0.14401175,3.01250820,1.32447347,0.88771793,2.34461079,1.16795184
-5.90995498,6.30983886,0.09035836,0.56122637,0.14840760,3.06105862,1.33353974,0.90519643,2.37770767,1.18057579
-5.90395198,6.38170059,0.09110058,0.56599913,0.15241287,3.10198984,1.34191195,0.92003579,2.40581031,1.19071679
-5.89794897,6.43550298,0.09140132,0.56962474,0.15599048,3.13450750,1.34907369,0.93187117,2.42893024,1.19809629
-5.89194597,6.47038916,0.09125930,0.57210473,0.15911241,3.15805419,1.35458032,0.94040944,2.44728001,1.20250987
-5.88594297,6.48601697,0.09068319,0.57349238,0.16175951,3.17231032,1.35806202,0.94543288,2.46126612,1.20383336
-5.87993997,6.48254350,0.08969109,0.57388988,0.16392120,3.17718653,1.35922374,0.94680041,2.47147510,1.20202625
-5.87393697,6.46059301,0.08830973,0.57344375,0.16559471,3.17280829,1.35784249,0.94444672,2.47865308,1.19713236
-5.86793397,6.42121007,0.08657342,0.57233900,0.16678415,3.15949388,1.35376244,0.93837927,2.48367968,1.18927775
-5.86193097,6.36580075,0.08452276,0.57079199,0.16749940,3.13772703,1.34688845,0.92867367,2.48753716,1.17866602
-5.85592796,6.29606467,0.08220314,0.56904242,0.16775483,3.10812588,1.33717872,0.91546748,2.49127596,1.16557117
-5.84992496,6.21392130,0.07966321,0.56734486,0.16756806,3.07140977,1.32463715,0.89895306,2.49597766,1.15032843
-5.84392196,6.12143377,0.07695334,0.56595992,0.16695870,3.02836558,1.30930604,0.87936953,2.50271679,1.13332334
-5.83791896,6.02073345,0.07412401,0.56514560,0.16594716,2.97981516,1.29125963,0.85699453,2.51252261,1.11497954
-5.83191596,5.91394824,0.07122446,0.56514886,0.16455370,2.92658512,1.27059875,0.83213578,2.52634206,1.09574583
-5.82591296,5.80313704,0.06830136,0.56619804,0.16279762,2.86948023,1.24744699,0.80512289,2.54500512,1.07608280
-5.81990995,5.69023260,0.06539779,0.56849593,0.16069673,2.80926111,1.22194825,0.77629965,2.56919354,1.05644964
-5.81390695,5.57699410,0.06255234,0.57221398,0.15826707,2.74662693,1.19426575,0.74601686,2.59941395,1.03729150
-5.80790395,5.46497048,0.05979859,0.57748773,0.15552286,2.68220313,1.16458216,0.71462589,2.63597601,1.01902774
-5.80190095,5.35547487,0.05716469,0.58441333,0.15247677,2.61653425,1.13310060,0.68247300,2.67897648,1.00204146
-5.79589795,5.24956985,0.05467333,0.59304553,0.14914031,2.55008145,1.10004601,0.64989435,2.72828954,0.98667065
-5.78989495,5.14806309,0.05234181,0.60339682,0.14552445,2.48322421,1.06566653,0.61721186,2.78356373,0.97320097
-5.78389195,5.05151228,0.05018236,0.61543787,0.14164031,2.41626546,1.03023433,0.58472958,2.84422580,0.96186044
-5.77788894,4.96023808,0.04820261,0.62909903,0.13749997,2.34943938,0.99404553,0.55273078,2.90949135,0.95281607
-5.77188594,4.87434372,0.04640611,0.64427295,0.13311715,2.28292101,0.95741888,0.52147550,2.97838201,0.94617239
-5.76588294,4.79373967,0.04479300,0.66081799,0.12850796,2.21683690,0.92069288,0.49119852,3.04974901,0.94197185
-5.75987994,4.71817188,0.04336065,0.67856244,0.12369144,2.15127593,0.88422123,0.46210781,3.12230223,0.94019685
-5.75387694,4.64725215,0.04210427,0.69730929,0.11868992,2.08629977,0.84836676,0.43438326,3.19464421,0.94077345
-5.74787394,4.58048929,0.04101752,0.71684136,0.11352927,2.02195238,0.81349369,0.40817575,3.26530794,0.94357630
-5.74187094,4.51731985,0.04009302,0.73692675,0.10823883,1.95826820,0.77995878,0.38360662,3.33279750,0.94843473
-5.73586793,4.45713755,0.03932278,0.75732431,0.10285119,1.89527875,0.74810154,0.36076734,3.39563007,0.95513966
-5.72986493,4.39932062,0.03869852,0.77778918,0.09740174,1.83301760,0.71823406,0.33971971,3.45237813,0.96345120
-5.72386193,4.34325650,0.03821188,0.79807808,0.09192805,1.77152368,0.69063091,0.32049629,3.50171039,0.97310653
-5.71785893,4.28836350,0.03785464,0.81795442,0.08646906,1.71084312,0.66551964,0.30310134,3.54243004,0.98382802
-5.71185593,4.23410941,0.03761873,0.83719311,0.08106425,1.65102980,0.64307248,0.28751217,3.57350924,0.99533133
-5.70585293,4.18002698,0.03749631,0.85558507,0.07575269,1.59214486,0.62339964,0.27368092,3.59411847,1.00733332
