energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.02127223,0.50943539,1.02490936,0.60018036,0.01688273,0.55848399,0.00000000
-5.99399700,2.01763989,0.50004011,1.02471925,0.59582648,0.01703090,0.55828417,0.00000000
-5.98799400,2.02021060,0.49110182,1.02851567,0.59142157,0.01726130,0.56059512,0.00000000
-5.98199100,2.02813997,0.48265338,1.03581836,0.58685423,0.01756464,0.56510863,0.00000000
-5.97598799,2.04056537,0.47472541,1.04613114,0.58203366,0.01793060,0.57151216,0.00000000
-5.96998499,2.05664115,0.46734716,1.05896207,0.57689751,0.01834822,0.57949864,0.00000000
-5.96398199,2.07557091,0.46054714,1.07384212,0.57141876,0.01880637,0.58877490,0.00000000
-5.95797899,2.09663606,0.45435363,1.09034190,0.56561128,0.01929404,0.59906875,0.00000000
-5.95197599,2.11921979,0.44879499,1.10808591,0.55953376,0.01980077,0.61013454,0.00000000
-5.94597299,2.14282566,0.44389999,1.12676382,0.55329172,0.02031691,0.62175735,0.00000000
-5.93996998,2.16709032,0.43969806,1.14613833,0.54703750,0.02083392,0.63375551,0.00000000
-5.93396698,2.19178978,0.43621941,1.16604948,0.54096786,0.02134458,0.64598180,0.00000000
-5.92796398,2.21683912,0.43349505,1.18641494,0.53531936,0.02184313,0.65832314,0.00000000
-5.92196098,2.24228537,0.43155659,1.20722652,0.53036140,0.02232534,0.67069891,0.00000000
-5.91595798,2.26829376,0.43043571,1.22854265,0.52638709,0.02278852,0.68305804,0.00000000
-5.90995498,2.29512763,0.43016324,1.25047722,0.52370215,0.02323149,0.69537479,0.00000000
-5.90395198,2.32312274,0.43076770,1.27318506,0.52261223,0.02365438,0.70764355,0.00000000
-5.89794897,2.35265656,0.43227329,1.29684455,0.52340900,0.02405849,0.71987271,0.00000000
-5.89194597,2.38411399,0.43469733,1.32163807,0.52635570,0.02444598,0.73207770,0.00000000
-5.88594297,2.41785055,0.43804712,1.34773105,0.53167252,0.02481957,0.74427370,0.00000000
-5.87993997,2.45415492,0.44231637,1.37525061,0.53952263,0.02518221,0.75646801,0.00000000
-5.87393697,2.49321235,0.44748140,1.40426479,0.54999950,0.02553671,0.76865259,0.00000000
-5.86793397,2.53507085,0.45349722,1.43476332,0.56311613,0.02588534,0.78079709,0.00000000
-5.86193097,2.57961214,0.46029387,1.46664128,0.57879683,0.02622952,0.79284267,0.00000000
-5.85592796,2.62652893,0.46777329,1.49968642,0.59687209,0.02656949,0.80469713,0.00000000
-5.84992496,2.67531028,0.47580705,1.53357117,0.61707701,0.02690404,0.81623151,0.00000000
-5.84392196,2.72523635,0.48423511,1.56785007,0.63905351,0.02723034,0.82727868,0.00000000
-5.83791896,2.77538335,0.49286611,1.60196321,0.66235656,0.02754388,0.83763405,0.00000000
-5.83191596,2.82463930,0.50147915,1.63524573,0.68646422,0.02783840,0.84705849,0.00000000
