energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,3.07484617,0.00616354,0.38679574,0.84065724,1.15659647,0.70446845,0.64182145,0.01263502,0.98119935
-5.99399700,2.91742944,0.00604541,0.36447294,0.79047031,1.09943060,0.66401844,0.61371034,0.01234871,0.92776057
-5.98799400,2.76472373,0.00595665,0.34243651,0.74121299,1.04383430,0.62498233,0.58650986,0.01212024,0.87654272
-5.98199100,2.61867365,0.00589972,0.32098237,0.69343856,0.99051298,0.58784237,0.56058201,0.01195475,0.82818073
-5.97598799,2.48097588,0.00587621,0.30037204,0.64763764,0.94008815,0.55301331,0.53623666,0.01185539,0.78321882
-5.96998499,2.35305153,0.00588687,0.28082758,0.60422889,0.89308870,0.52083548,0.51372577,0.01182330,0.74210254
-5.96398199,2.23602897,0.00593153,0.26252800,0.56355263,0.84994527,0.49157046,0.49323977,0.01185762,0.70517464
-5.95797899,2.13073732,0.00600924,0.24560745,0.52586741,0.81098781,0.46539968,0.47490634,0.01195568,0.67267491
-5.95197599,2.03771006,0.00611824,0.23015502,0.49134955,0.77644626,0.44242565,0.45879161,0.01211315,0.64474356
-5.94597299,1.95719825,0.00625615,0.21621614,0.46009561,0.74645395,0.42267566,0.44490349,0.01232428,0.62142790
-5.93996998,1.88919220,0.00642005,0.20379537,0.43212735,0.72105373,0.40610772,0.43319705,0.01258222,0.60269181
-5.93396698,1.83345027,0.00660665,0.19286049,0.40739896,0.70020615,0.39261828,0.42358155,0.01287932,0.58842737
-5.92796398,1.78953318,0.00681239,0.18334762,0.38580616,0.68379958,0.38205147,0.41592882,0.01320748,0.57846798
-5.92196098,1.75684211,0.00703369,0.17516704,0.36719652,0.67166160,0.37420919,0.41008246,0.01355849,0.57260226
-5.91595798,1.73465872,0.00726702,0.16820955,0.35138073,0.66357122,0.36886184,0.40586749,0.01392433,0.57058794
-5.90995498,1.72218522,0.00750907,0.16235297,0.33814408,0.65927159,0.36575900,0.40309996,0.01429749,0.57216517
-5.90395198,1.71858284,0.00775685,0.15746861,0.32725781,0.65848240,0.36463973,0.40159593,0.01467119,0.57706842
-5.89794897,1.72300693,0.00800780,0.15342741,0.31848975,0.66091189,0.36524207,0.40117964,0.01503957,0.58503658
-5.89194597,1.73463744,0.00825981,0.15010550,0.31161400,0.66626770,0.36731141,0.40169025,0.01539783,0.59582073
-5.88594297,1.75270367,0.00851125,0.14738903,0.30641910,0.67426646,0.37060735,0.40298702,0.01574225,0.60918934
-5.87993997,1.77650265,0.00876097,0.14517821,0.30271472,0.68464167,0.37490903,0.40495277,0.01607018,0.62493073
-5.87393697,1.80541058,0.00900817,0.14339029,0.30033648,0.69714983,0.38001867,0.40749537,0.01637999,0.64285294
-5.86793397,1.83888774,0.00925242,0.14196161,0.29914903,0.71157451,0.38576340,0.41054751,0.01667085,0.66278107
-5.86193097,1.87647687,0.00949343,0.14084864,0.29904729,0.72772863,0.39199546,0.41406468,0.01694262,0.68455257
-5.85592796,1.91779618,0.00973101,0.14002811,0.29995608,0.74545481,0.39859086,0.41802175,0.01719558,0.70801090
-5.84992496,1.96252767,0.00996486,0.13949624,0.30182831,0.76462405,0.40544685,0.42240837,0.01743021,0.73299826
-5.84392196,2.01040232,0.01019447,0.13926726,0.30464185,0.78513308,0.41247839,0.42722363,0.01764697,0.75934783
-5.83791896,2.06118326,0.01041896,0.13937129,0.30839554,0.80690055,0.41961404,0.43247028,0.01784607,0.78687651
-5.83191596,2.11464860,0.01063700,0.13985184,0.31310450,0.82986248,0.42679158,0.43814907,0.01802731,0.81537847
-5.82591296,2.17057506,0.01084672,0.14076283,0.31879514,0.85396734,0.43395362,0.44425354,0.01818998,0.84462042
-5.81990995,2.22872369,0.01104564,0.14216564,0.32550002,0.87917106,0.44104378,0.45076557,0.01833275,0.87433886
-5.81390695,2.28882886,0.01123072,0.14412589,0.33325292,0.90543232,0.44800340,0.45765215,0.01845371,0.90423973
-5.80790395,2.35059093,0.01139838,0.14671050,0.34208430,0.93270842,0.45476923,0.46486332,0.01855045,0.93400077
-5.80190095,2.41367334,0.01154459,0.14998472,0.35201724,0.96095180,0.46127215,0.47233175,0.01862016,0.96327640
-5.79589795,2.47770408,0.01166499,0.15400955,0.36306412,0.99010760,0.46743701,0.47997363,0.01865981,0.99170514
-5.78989495,2.54228129,0.01175507,0.15883934,0.37522392,1.02011204,0.47318363,0.48769109,0.01866641,1.01891918
-5.78389195,2.60698272,0.01181034,0.16451987,0.38848039,1.05089184,0.47842875,0.49537577,0.01863720,1.04455559
-5.77788894,2.67137802,0.01182653,0.17108666,0.40280085,1.08236451,0.48308895,0.50291349,0.01856994,1.06826880
-5.77188594,2.73504328,0.01179982,0.17856380,0.41813577,1.11443939,0.48708414,0.51018952,0.01846307,1.08974332
-5.76588294,2.79757654,0.01172699,0.18696312,0.43441896,1.14701934,0.49034156,0.51709435,0.01831602,1.10870642
-5.75987994,2.85861348,0.01160564,0.19628388,0.45156841,1.18000287,0.49279987,0.52352935,0.01812923,1.12493978
-5.75387694,2.91784213,0.01143432,0.20651281,0.46948759,1.21328656,0.49441310,0.52941220,0.01790433,1.13828949
-5.74787394,2.97501581,0.01121261,0.21762468,0.48806728,1.24676753,0.49515417,0.53468159,0.01764415,1.14867406
-5.74187094,3.02996347,0.01094123,0.22958324,0.50718772,1.28034590,0.49501785,0.53930103,0.01735261,1.15608961
-5.73586793,3.08259695,0.01062203,0.24234269,0.52672123,1.31392709,0.49402274,0.54326144,0.01703468,1.16061225
-5.72986493,3.13291473,0.01025794,0.25584944,0.54653491,1.34742373,0.49221232,0.54658250,0.01669614,1.16239727
-5.72386193,3.18100207,0.00985293,0.27004433,0.56649374,1.38075736,0.48965491,0.54931252,0.01634337,1.16167520
-5.71785893,3.22702749,0.00941184,0.28486510,0.58646368,1.41385956,0.48644247,0.55152694,0.01598307,1.15874491
-5.71185593,3.27123577,0.00894029,0.30024901,0.60631486,1.44667277,0.48268835,0.55332551,0.01562193,1.15396391
-5.70585293,3.31393790,0.00844443,0.31613556,0.62592472,1.47915054,0.47852396,0.55482822,0.01526637,1.14773642
-5.69984992,3.35549825,0.00793078,0.33246911,0.64518087,1.51125731,0.47409468,0.55617030,0.01492222,1.14049949
-5.69384692,3.39631953,0.00740603,0.34920129,0.66398374,1.54296773,0.46955497,0.55749635,0.01459444,1.13270801
-5.68784392,3.43682595,0.00687680,0.36629284,0.68224867,1.57426539,0.46506306,0.55895409,0.01428694,1.12481897
-5.68184092,3.47744526,0.00634951,0.38371499,0.69990743,1.60514101,0.46077533,0.56068778,0.01400236,1.11727571
-5.67583792,3.51858993,0.00583015,0.40144995,0.71690892,1.63559009,0.45684068,0.56283178,0.01374199,1.11049276
-5.66983492,3.56063823,0.00532418,0.41949049,0.73321906,1.66560995,0.45339507,0.56550445,0.01350575,1.10484181
-5.66383192,3.60391551,0.00483639,0.43783854,0.74881968,1.69519625,0.45055645,0.56880265,0.01329219,1.10063923
-5.65782891,3.64867617,0.00437085,0.45650271,0.76370642,1.72433898,0.44842025,0.57279703,0.01309860,1.09813569
-5.65182591,3.69508687,0.00393084,0.47549471,0.77788570,1.75301807,0.44705568,0.57752837,0.01292119,1.09750808
-5.64582291,3.74321141,0.00351882,0.49482494,0.79137073,1.78119872,0.44650280,0.58300505,0.01275525,1.09885399
-5.63981991,3.79299778,0.00313650,0.51449726,0.80417687,1.80882660,0.44677064,0.58920172,0.01259541,1.10218885
-5.63381691,3.84426792,0.00278481,0.53450323,0.81631639,1.83582331,0.44783624,0.59605925,0.01243591,1.10744584
-5.62781391,3.89671065,0.00246403,0.55481620,0.82779313,1.86208219,0.44964484,0.60348596,0.01227089,1.11447836
-5.62181091,3.94987841,0.00217381,0.57538548,0.83859706,1.88746496,0.45211098,0.61136002,0.01209461,1.12306504
-5.61580790,4.00318806,0.00191328,0.59613112,0.84869940,1.91179937,0.45512067,0.61953297,0.01190174,1.13291710
-5.60980490,4.05592642,0.00168115,0.61693957,0.85804851,1.93487830,0.45853447,0.62783420,0.01168757,1.14368759
-5.60380190,4.10726046,0.00147579,0.63766063,0.86656680,1.95646046,0.46219129,0.63607622,0.01144819,1.15498246
-5.59779890,4.15625258,0.00129533,0.65810601,0.87414912,1.97627295,0.46591302,0.64406059,0.01118064,1.16637290
-5.59179590,4.20188067,0.00113773,0.67804981,0.88066274,1.99401578,0.46950963,0.65158416,0.01088303,1.17740860
-5.58579290,4.24306267,0.00100087,0.69723091,0.88594911,2.00936829,0.47278467,0.65844556,0.01055450,1.18763157
-5.57978989,4.27868513,0.00088262,0.71535748,0.88982732,2.02199745,0.47554106,0.66445154,0.01019532,1.19659006
-5.57378689,4.30763474,0.00078087,0.73211351,0.89209947,2.03156763,0.47758689,0.66942305,0.00980679,1.20385215
-5.56778389,4.32883206,0.00069360,0.74716708,0.89255739,2.03775156,0.47874112,0.67320078,0.00939113,1.20901855
-5.56178089,4.34126589,0.00061891,0.76018018,0.89099073,2.04024200,0.47883891,0.67564990,0.00895141,1.21173430
-5.55577789,4.34402703,0.00055504,0.77081961,0.88719601,2.03876348,0.47773661,0.67666396,0.00849140,1.21169889
-5.54977489,4.33634002,0.00050036,0.77876855,0.88098595,2.03308349,0.47531593,0.67616764,0.00801538,1.20867457
-5.54377189,4.31759114,0.00045344,0.78373818,0.87219900,2.02302263,0.47148748,0.67411830,0.00752799,1.20249250
-5.53776888,4.28735170,0.00041300,0.78547893,0.86070823,2.00846299,0.46619330,0.67050637,0.00703408,1.19305660
-5.53176588,4.24539507,0.00037790,0.78379067,0.84642924,1.98935431,0.45940847,0.66535440,0.00653851,1.18034494
-5.52576288,4.19170681,0.00034719,0.77853148,0.82932675,1.96571753,0.45114163,0.65871497,0.00604605,1.16440867
-5.51975988,4.12648728,0.00032004,0.76962448,0.80941930,1.93764555,0.44143446,0.65066749,0.00556121,1.14536852
