energy_ev,total_up,P_s_up,P_p_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,4.76414958,0.00920166,2.91790795,3.73439049,2.96077503,0.61370945,0.00000000
-5.99399700,4.77876237,0.00926067,2.95093151,3.82128160,2.99037120,0.60132817,0.00000000
-5.98799400,4.79655752,0.00940959,2.97713046,3.90798899,3.01437235,0.59485497,0.00000000
-5.98199100,4.81775134,0.00965273,2.99622862,3.99431736,3.03239861,0.59451221,0.00000000
-5.97598799,4.84259572,0.00999276,3.00810964,4.08013327,3.04421769,0.60044802,0.00000000
-5.96998499,4.87137239,0.01043043,3.01283604,4.16536897,3.04976116,0.61272276,0.00000000
-5.96398199,4.90438150,0.01096428,3.01066118,4.25001877,3.04913414,0.63129659,0.00000000
-5.95797899,4.94192366,0.01159044,3.00203238,4.33412723,3.04261729,0.65601894,0.00000000
-5.95197599,4.98427532,0.01230252,2.98758426,4.41776891,3.03066022,0.68662011,0.00000000
-5.94597299,5.03165788,0.01309153,2.96812169,4.50102043,3.01386597,0.72270592,0.00000000
-5.93996998,5.08420155,0.01394596,2.94459265,4.58392615,2.99296679,0.76375561,0.00000000
-5.93396698,5.14190578,0.01485190,2.91805157,4.66645946,2.96879195,0.80912350,0.00000000
-5.92796398,5.20459845,0.01579324,2.88961491,4.74848238,2.94222915,0.85804478,0.00000000
-5.92196098,5.27189677,0.01675206,2.86041083,4.82970649,2.91418109,0.90964548,0.00000000
-5.91595798,5.34317268,0.01770900,2.83152575,4.90965825,2.88551968,0.96295681,0.00000000
-5.90995498,5.41752598,0.01864377,2.80395034,4.98765203,2.85704034,1.01693349,0.00000000
-5.90395198,5.49376797,0.01953566,2.77852831,5.06277350,2.82941893,1.07047587,0.00000000
-5.89794897,5.57041798,0.02036419,2.75591075,5.13387566,2.80317384,1.12245530,0.00000000
-5.89194597,5.64571467,0.02110967,2.73651877,5.19958920,2.77863555,1.17174187,0.00000000
-5.88594297,5.71764300,0.02175380,2.72051686,5.25834763,2.75592560,1.21723373,0.00000000
-5.87993997,5.78397688,0.02228026,2.70779858,5.30842701,2.73494618,1.25788696,0.00000000
-5.87393697,5.84233668,0.02267521,2.69798578,5.34799902,2.71538127,1.29274479,0.00000000
-5.86793397,5.89025967,0.02292774,2.69044151,5.37519514,2.69670936,1.32096513,0.00000000
-5.86193097,5.92528068,0.02303019,2.68429627,5.38817915,2.67822726,1.34184531,0.00000000
-5.85592796,5.94501961,0.02297840,2.67848636,5.38522425,2.65908386,1.35484285,0.00000000
-5.84992496,5.94727185,0.02277181,2.67180245,5.36479119,2.63832198,1.35959166,0.00000000
-5.84392196,5.93009746,0.02241345,2.66294603,5.32560323,2.61492649,1.35591286,0.00000000
-5.83791896,5.89190504,0.02190983,2.65059077,5.26671429,2.58787595,1.34381979,0.00000000
-5.83191596,5.83152620,0.02127064,2.63344592,5.18756680,2.55619536,1.32351721,0.00000000
-5.82591296,5.74827743,0.02050847,2.61031855,5.08803636,2.51900746,1.29539472,0.00000000
-5.81990995,5.64200638,0.01963834,2.58017171,4.96846124,2.47558004,1.26001479,0.00000000
-5.81390695,5.51312069,0.01867722,2.54217572,4.82965539,2.42536719,1.21809611,0.00000000
-5.80790395,5.36259831,0.01764349,2.49575052,4.67290466,2.36804267,1.17049304,0.00000000
-5.80190095,5.19197908,0.01655645,2.44059711,4.49994659,2.30352417,1.11817211,0.00000000
-5.79589795,5.00333829,0.01543573,2.37671720,4.31293533,2.23198757,1.06218673,0.00000000
-5.78989495,4.79924377,0.01430085,2.30442037,4.11439332,2.15387097,1.00365099,0.00000000
