energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,3.69403418,0.97746867,2.18151425,0.02596928,0.08719749,0.18790247,0.72197760,0.85847048,0.00000000
-5.99399700,3.79106276,0.96078532,2.27828829,0.02603985,0.08492523,0.18113938,0.73352740,0.85984046,0.00000000
-5.98799400,3.89384215,0.94672062,2.37828541,0.02607044,0.08270503,0.17491447,0.74589005,0.86255100,0.00000000
-5.98199100,4.00121175,0.93527509,2.48071554,0.02604982,0.08055345,0.16923128,0.75877371,0.86636371,0.00000000
-5.97598799,4.11199111,0.92638200,2.58477083,0.02596906,0.07848177,0.16408462,0.77190978,0.87104818,0.00000000
-5.96998499,4.22499022,0.91991108,2.68963059,0.02582155,0.07649612,0.15946147,0.78505537,0.87638527,0.00000000
-5.96398199,4.33901772,0.91567356,2.79446663,0.02560301,0.07459775,0.15534182,0.79799355,0.88216857,0.00000000
-5.95797899,4.45288789,0.91342850,2.89844970,0.02531144,0.07278349,0.15169935,0.81053170,0.88820423,0.00000000
-5.95197599,4.56542731,0.91289009,3.00075737,0.02494687,0.07104633,0.14850201,0.82249837,0.89430938,0.00000000
-5.94597299,4.67548227,0.91373573,3.10058389,0.02451117,0.06937598,0.14571247,0.83373906,0.90030968,0.00000000
-5.93996998,4.78192746,0.91561464,3.19715207,0.02400773,0.06775967,0.14328851,0.84411131,0.90603623,0.00000000
-5.93396698,4.88367685,0.91815683,3.28972723,0.02344118,0.06618283,0.14118346,0.85347981,0.91132237,0.00000000
-5.92796398,4.97969674,0.92098210,3.37763277,0.02281705,0.06462983,0.13934661,0.86171174,0.91600084,0.00000000
-5.92196098,5.06902100,0.92370910,3.46026673,0.02214149,0.06308473,0.13772381,0.86867298,0.91990158,0.00000000
-5.91595798,5.15076809,0.92596396,3.53711846,0.02142096,0.06153193,0.13625814,0.87422537,0.92285051,0.00000000
-5.90995498,5.22415882,0.92738856,3.60778424,0.02066206,0.05995681,0.13489076,0.87822543,0.92466950,0.00000000
-5.90395198,5.28853397,0.92764823,3.67198058,0.01987127,0.05834626,0.13356199,0.88052452,0.92517765,0.00000000
-5.89794897,5.34337032,0.92643859,3.72955394,0.01905485,0.05668915,0.13221247,0.88097063,0.92419386,0.00000000
-5.89194597,5.38829368,0.92349163,3.78048579,0.01821871,0.05497667,0.13078453,0.87941154,0.92154058,0.00000000
-5.88594297,5.42308782,0.91858068,3.82489190,0.01736836,0.05320266,0.12922356,0.87569938,0.91704855,0.00000000
-5.87993997,5.44769799,0.91152440,3.86301537,0.01650891,0.05136372,0.12747951,0.86969614,0.91056226,0.00000000
-5.87393697,5.46222842,0.90218958,3.89521325,0.01564508,0.04945933,0.12550823,0.86127990,0.90194578,0.00000000
-5.86793397,5.46693358,0.89049272,3.92193692,0.01478119,0.04749182,0.12327281,0.85035133,0.89108869,0.00000000
-5.86193097,5.46220318,0.87640046,3.94370734,0.01392125,0.04546628,0.12074463,0.83684015,0.87791157,0.00000000
