energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,2.98155658,0.03078199,0.48247330,1.70629183,1.21948713,0.30745917,0.17584052,0.04644239,1.15848391
-5.99399700,2.93752500,0.03031471,0.47413470,1.68331119,1.19554540,0.30000955,0.17761278,0.04832133,1.14347344
-5.98799400,2.90844597,0.02999270,0.46812044,1.66279750,1.17958198,0.29381688,0.18016234,0.05048889,1.13410333
-5.98199100,2.89507019,0.02981177,0.46463380,1.64515784,1.17217157,0.28887898,0.18347999,0.05294955,1.13053424
-5.97598799,2.89792556,0.02976612,0.46384925,1.63078470,1.17375554,0.28516731,0.18754413,0.05570423,1.13282816
-5.96998499,2.91729383,0.02984842,0.46590574,1.62003897,1.18462568,0.28262810,0.19232002,0.05874960,1.14094394
-5.96398199,2.95319485,0.03004987,0.47090130,1.61323511,1.20491206,0.28118418,0.19775973,0.06207758,1.15473598
-5.95797899,3.00537963,0.03036039,0.47888899,1.61062926,1.23457529,0.28073759,0.20380254,0.06567490,1.17395643
-5.95197599,3.07333282,0.03076887,0.48987447,1.61241127,1.27340378,0.28117301,0.21037619,0.06952302,1.19826105
-5.94597299,3.15628493,0.03126337,0.50381533,1.61870098,1.32101592,0.28236171,0.21739871,0.07359807,1.22721865
-5.93996998,3.25323425,0.03183147,0.52062221,1.62954907,1.37686752,0.28416618,0.22478096,0.07787122,1.26032410
-5.93396698,3.36297783,0.03246067,0.54016161,1.64494255,1.44026417,0.28644516,0.23242967,0.08230906,1.29701448
-5.92796398,3.48415069,0.03313867,0.56226044,1.66481442,1.51037835,0.28905897,0.24025099,0.08687438,1.33668788
-5.92196098,3.61527175,0.03385387,0.58671185,1.68905706,1.58627084,0.29187491,0.24815430,0.09152699,1.37872422
-5.91595798,3.75479453,0.03459567,0.61328245,1.71753836,1.66691563,0.29477264,0.25605615,0.09622478,1.42250732
-5.90995498,3.90116080,0.03535488,0.64172026,1.75011964,1.75122769,0.29764908,0.26388412,0.10092478,1.46744720
-5.90395198,4.05285435,0.03612399,0.67176322,1.78667408,1.83809253,0.30042294,0.27158040,0.10558440,1.51300168
-5.89794897,4.20845272,0.03689743,0.70314778,1.82710450,1.92639642,0.30303833,0.27910482,0.11016251,1.55869633
-5.89194597,4.36667407,0.03767174,0.73561722,1.87135904,2.01505626,0.30546753,0.28643725,0.11462054,1.60414155
-5.88594297,4.52641683,0.03844569,0.76892917,1.91944369,2.10304779,0.30771255,0.29357910,0.11892344,1.64904604
-5.87993997,4.68679001,0.03922022,0.80286213,1.97143051,2.18943098,0.30980555,0.30055384,0.12304043,1.69322583
-5.87393697,4.84713225,0.03999837,0.83722044,2.02746084,2.27337167,0.31180787,0.30740646,0.12694558,1.73660805
-5.86793397,5.00701836,0.04078510,0.87183770,2.08774275,2.35415847,0.31380775,0.31420173,0.13061805,1.77922932
-5.86193097,5.16625277,0.04158700,0.90657822,2.15254275,2.43121419,0.31591676,0.32102149,0.13404222,1.82122839
-5.85592796,5.32484963,0.04241198,0.94133653,2.22217159,2.50410147,0.31826507,0.32796077,0.13720736,1.86283321
-5.84992496,5.48300043,0.04326886,0.97603507,2.29696482,2.57252238,0.32099564,0.33512318,0.14010725,1.90434295
-5.84392196,5.64103046,0.04416692,1.01062002,2.37725869,2.63631213,0.32425757,0.34261546,0.14273942,1.94610554
-5.83791896,5.79934604,0.04511549,1.04505558,2.46336260,2.69542730,0.32819896,0.35054165,0.14510435,1.98849176
-5.83191596,5.95837523,0.04612347,1.07931705,2.55552928,2.74992937,0.33295938,0.35899699,0.14720443,2.03186705
-5.82591296,6.11850498,0.04719887,1.11338308,2.65392433,2.79996446,0.33866244,0.36806194,0.14904301,2.07656240
-5.81990995,6.28001800,0.04834843,1.14722752,2.75859647,2.84574035,0.34540868,0.37779656,0.15062332,2.12284581
-5.81390695,6.44303297,0.04957719,1.18081131,2.86945046,2.88750206,0.35326911,0.38823553,0.15194757,2.17089579
-5.80790395,6.60745129,0.05088822,1.21407497,2.98622384,2.92550739,0.36227976,0.39938411,0.15301618,2.22077830
-5.80190095,6.77291372,0.05228233,1.24693209,3.10846931,2.96000352,0.37243750,0.41121531,0.15382717,2.27242860
-5.79589795,6.93876951,0.05375787,1.27926420,3.23554371,2.99120596,0.38369721,0.42366832,0.15437584,2.32563908
-5.78989495,7.10406024,0.05531060,1.31091740,3.36660455,3.01928081,0.39597078,0.43664855,0.15465469,2.38005386
-5.78389195,7.26751988,0.05693366,1.34170097,3.50061482,3.04433125,0.40912772,0.45002903,0.15465361,2.43517090
-5.77788894,7.42759156,0.05861753,1.37138810,3.63635615,3.06638865,0.42299762,0.46365354,0.15436038,2.49035156
-5.77188594,7.58246088,0.06035022,1.39971877,3.77245023,3.08540872,0.43737439,0.47734104,0.15376135,2.54483763
-5.76588294,7.73010474,0.06211732,1.42640474,3.90738785,3.10127266,0.45202204,0.49089137,0.15284244,2.59777505
-5.75987994,7.86835356,0.06390232,1.45113643,4.03956463,3.11379306,0.46668198,0.50409213,0.15159017,2.64824351
-5.75387694,7.99496431,0.06568688,1.47359141,4.16732207,3.12272404,0.48108144,0.51672611,0.14999285,2.69529046
-5.74787394,8.10770106,0.06745117,1.49344415,4.28899246,3.12777494,0.49494274,0.52857933,0.14804181,2.73796816
-5.74187094,8.20441924,0.06917430,1.51037661,4.40294558,3.12862676,0.50799300,0.53944898,0.14573254,2.77537179
-5.73586793,8.28314958,0.07083477,1.52408915,4.50763548,3.12495031,0.51997399,0.54915110,0.14306570,2.80667708
-5.72986493,8.34217786,0.07241091,1.53431133,4.60164516,3.11642515,0.53065153,0.55752762,0.14004807,2.83117527
-5.72386193,8.38011640,0.07388144,1.54081207,4.68372735,3.10275829,0.53982429,0.56445226,0.13669307,2.84830399
-5.71785893,8.39596405,0.07522589,1.54340866,4.75283949,3.08370181,0.54733129,0.56983521,0.13302123,2.85767231
-5.71185593,8.38915159,0.07642515,1.54197439,4.80817153,3.05906847,0.55305811,0.57362626,0.12906021,2.85907888
-5.70585293,8.35957057,0.07746187,1.53644419,4.84916526,3.02874478,0.55694125,0.57581624,0.12484456,2.85252214
-5.69984992,8.30758411,0.07832089,1.52681824,4.87552449,2.99270079,0.55897065,0.57643669,0.12041526,2.83820223
-5.69384692,8.23401938,0.07898960,1.51316331,4.88721560,2.95099657,0.55919013,0.57555798,0.11581886,2.81651453
