energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,0.87705633,0.55453657,0.51338790,0.18885935,0.00103250,0.11920552,0.00000000
-5.99399700,0.85578306,0.54329717,0.50446094,0.18544319,0.00099299,0.11296610,0.00000000
-5.98799400,0.83639289,0.53247730,0.49669751,0.18215210,0.00095477,0.10702188,0.00000000
-5.98199100,0.81959214,0.52239552,0.49048939,0.17908530,0.00091864,0.10150185,0.00000000
-5.97598799,0.80605777,0.51336111,0.48621521,0.17633861,0.00088536,0.09652580,0.00000000
-5.96998499,0.79643567,0.50567595,0.48423996,0.17400508,0.00085564,0.09220340,0.00000000
-5.96398199,0.79133999,0.49963670,0.48491472,0.17217587,0.00083012,0.08863357,0.00000000
-5.95797899,0.79135254,0.49553704,0.48857638,0.17094093,0.00080939,0.08590420,0.00000000
-5.95197599,0.79702147,0.49366897,0.49554659,0.17038952,0.00079399,0.08409199,0.00000000
-5.94597299,0.80885834,0.49432285,0.50612957,0.17061027,0.00078442,0.08326240,0.00000000
-5.93996998,0.82733275,0.49778567,0.52060827,0.17169063,0.00078110,0.08346945,0.00000000
-5.93396698,0.85286420,0.50433704,0.53923871,0.17371548,0.00078441,0.08475547,0.00000000
-5.92796398,0.88581067,0.51424295,0.56224230,0.17676517,0.00079468,0.08715060,0.00000000
-5.92196098,0.92645431,0.52774711,0.58979621,0.18091254,0.00081214,0.09067206,0.00000000
-5.91595798,0.97498436,0.54506030,0.62202221,0.18621945,0.00083696,0.09532318,0.00000000
-5.90995498,1.03147820,0.56634800,0.65897434,0.19273260,0.00086920,0.10109223,0.00000000
-5.90395198,1.09588159,0.59171704,0.70062615,0.20047914,0.00090882,0.10795120,0.00000000
-5.89794897,1.16798931,0.62120193,0.74685835,0.20946212,0.00095564,0.11585453,0.00000000
-5.89194597,1.24742784,0.65475197,0.79744783,0.21965623,0.00100936,0.12473796,0.00000000
-5.88594297,1.33364142,0.69221986,0.85205890,0.23100407,0.00106950,0.13451775,0.00000000
-5.87993997,1.42588335,0.73335287,0.91023791,0.24341329,0.00113546,0.14509026,0.00000000
-5.87393697,1.52321361,0.77778743,0.97141187,0.25675491,0.00120645,0.15633217,0.00000000
-5.86793397,1.62450409,0.82504789,1.03489201,0.27086305,0.00128156,0.16810135,0.00000000
-5.86193097,1.72845223,0.87454985,1.09988243,0.28553624,0.00135969,0.18023859,0.00000000
-5.85592796,1.83360331,0.92560856,1.16549430,0.30054046,0.00143968,0.19257010,0.00000000
-5.84992496,1.93838124,0.97745219,1.23076531,0.31561382,0.00152022,0.20491085,0.00000000
-5.84392196,2.04112713,1.02923989,1.29468383,0.33047291,0.00159998,0.21706871,0.00000000
-5.83791896,2.14014446,1.08008381,1.35621716,0.34482053,0.00167759,0.22884913,0.00000000
-5.83191596,2.23374896,1.12907454,1.41434262,0.35835447,0.00175170,0.24006039,0.00000000
-5.82591296,2.32032128,1.17530863,1.46808013,0.37077722,0.00182105,0.25051904,0.00000000
-5.81990995,2.39835991,1.21791705,1.51652490,0.38180577,0.00188446,0.26005540,0.00000000
-5.81390695,2.46653176,1.25609331,1.55887845,0.39118150,0.00194093,0.26851875,0.00000000
-5.80790395,2.52371797,1.28911977,1.59447651,0.39867928,0.00198965,0.27578203,0.00000000
-5.80190095,2.56905247,1.31639083,1.62281222,0.40411557,0.00203004,0.28174580,0.00000000
-5.79589795,2.60195118,1.33743200,1.64355346,0.40735510,0.00206177,0.28634120,0.00000000
-5.78989495,2.62213036,1.35191372,1.65655326,0.40831559,0.00208476,0.28953176,0.00000000
-5.78389195,2.62961289,1.35965943,1.66185268,0.40697051,0.00209922,0.29131400,0.00000000
-5.77788894,2.62472217,1.36064745,1.65967597,0.40334965,0.00210559,0.29171665,0.00000000
-5.77188594,2.60806385,1.35500669,1.65041819,0.39753733,0.00210457,0.29079870,0.00000000
-5.76588294,2.58049634,1.34300660,1.63462592,0.38966867,0.00209703,0.28864623,0.00000000
-5.75987994,2.54309148,1.32504190,1.61297202,0.37992375,0.00208402,0.28536822,0.00000000
-5.75387694,2.49708759,1.30161303,1.58622577,0.36852027,0.00206671,0.28109161,0.00000000
-5.74787394,2.44383712,1.27330342,1.55521989,0.35570493,0.00204629,0.27595582,0.00000000
-5.74187094,2.38475171,1.24075492,1.52081619,0.34174399,0.00202399,0.27010694,0.00000000
-5.73586793,2.32124717,1.20464246,1.48387138,0.32691351,0.00200096,0.26369203,0.00000000
-5.72986493,2.25469130,1.16564941,1.44520496,0.31148967,0.00197826,0.25685368,0.00000000
-5.72386193,2.18635667,1.12444466,1.40557040,0.29573973,0.00195679,0.24972514,0.00000000
-5.71785893,2.11738056,1.08166242,1.36563105,0.27991384,0.00193725,0.24242618,0.00000000
-5.71185593,2.04873361,1.03788555,1.32594169,0.26423818,0.00192014,0.23505991,0.00000000
-5.70585293,1.98119822,0.99363284,1.28693622,0.24890953,0.00190570,0.22771058,0.00000000
-5.69984992,1.91535704,0.94935060,1.24892196,0.23409158,0.00189393,0.22044247,0.00000000
-5.69384692,1.85159170,0.90540846,1.21208025,0.21991281,0.00188461,0.21329980,0.00000000
-5.68784392,1.79009097,0.86209920,1.17647300,0.20646608,0.00187728,0.20630768,0.00000000
-5.68184092,1.73086734,0.81964210,1.14205454,0.19380976,0.00187128,0.19947379,0.00000000
-5.67583792,1.67378063,0.77818931,1.10868772,0.18197012,0.00186583,0.19279088,0.00000000
-5.66983492,1.61856687,0.73783447,1.07616320,0.17094488,0.00185999,0.18623972,0.00000000
-5.66383192,1.56487072,0.69862288,1.04422084,0.16070758,0.00185279,0.17979240,0.00000000
-5.65782891,1.51227935,0.66056237,1.01257178,0.15121240,0.00184320,0.17341575,0.00000000
-5.65182591,1.46035624,0.62363439,0.98092024,0.14239931,0.00183026,0.16707470,0.00000000
-5.64582291,1.40867300,0.58780438,0.94898391,0.13419916,0.00181306,0.16073541,0.00000000
-5.63981991,1.35683797,0.55303129,0.91651207,0.12653847,0.00179082,0.15436807,0.00000000
-5.63381691,1.30452032,0.51927546,0.88330061,0.11934379,0.00176289,0.14794918,0.00000000
