energy_ev,total_up,Ge_p_up,Ge_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,2.50949587,0.02756998,0.00000000,1.66955178,1.17729116,0.00523828,1.78631169
-5.99399700,2.50183226,0.02756290,0.00000000,1.67674991,1.17528442,0.00524794,1.78246394
-5.98799400,2.48644518,0.02751350,0.00000000,1.67812587,1.16942100,0.00525286,1.77298719
-5.98199100,2.46358680,0.02742518,0.00000000,1.67371610,1.15983428,0.00525420,1.75806427
-5.97598799,2.43358405,0.02730103,0.00000000,1.66364038,1.14669427,0.00525289,1.73793259
-5.96998499,2.39682953,0.02714367,0.00000000,1.64809502,1.13020247,0.00524953,1.71287724
-5.96398199,2.35377141,0.02695513,0.00000000,1.62734403,1.11058638,0.00524442,1.68322318
-5.95797899,2.30490259,0.02673678,0.00000000,1.60170866,1.08809395,0.00523756,1.64932719
-5.95197599,2.25074970,0.02648926,0.00000000,1.57155612,1.06298805,0.00522861,1.61156964
-5.94597299,2.19186234,0.02621251,0.00000000,1.53728783,1.03554125,0.00521698,1.57034664
-5.93996998,2.12880311,0.02590582,0.00000000,1.49932816,1.00603106,0.00520184,1.52606282
-5.93396698,2.06213875,0.02556796,0.00000000,1.45811394,0.97473585,0.00518220,1.47912501
-5.92796398,1.99243277,0.02519728,0.00000000,1.41408534,0.94193136,0.00515701,1.42993698
-5.92196098,1.92023978,0.02479199,0.00000000,1.36767850,0.90788809,0.00512522,1.37889561
-5.91595798,1.84610155,0.02435032,0.00000000,1.31932012,0.87286942,0.00508585,1.32638815
-5.90995498,1.77054485,0.02387080,0.00000000,1.26942396,0.83713051,0.00503813,1.27279092
-5.90395198,1.69408088,0.02335255,0.00000000,1.21838929,0.80091782,0.00498156,1.21846902
-5.89794897,1.61720594,0.02279549,0.00000000,1.16660105,0.76446918,0.00491594,1.16377702
-5.89194597,1.54040312,0.02220062,0.00000000,1.11443125,0.72801428,0.00484152,1.10906026
-5.88594297,1.46414437,0.02157014,0.00000000,1.06224132,0.69177526,0.00475896,1.05465651
-5.87993997,1.38889275,0.02090768,0.00000000,1.01038485,0.65596742,0.00466939,1.00089753
-5.87393697,1.31510409,0.02021830,0.00000000,0.95921018,0.62079973,0.00457438,0.94811043
-5.86793397,1.24322791,0.01950857,0.00000000,0.90906251,0.58647500,0.00447597,0.89661826
-5.86193097,1.17370706,0.01878642,0.00000000,0.86028497,0.55318964,0.00437656,0.84673974
-5.85592796,1.10697590,0.01806106,0.00000000,0.81321845,0.52113284,0.00427888,0.79878802
-5.84992496,1.04345694,0.01734274,0.00000000,0.76819992,0.49048517,0.00418591,0.75306816
-5.84392196,0.98355583,0.01664246,0.00000000,0.72555924,0.46141670,0.00410075,0.70987359
-5.83791896,0.92765495,0.01597166,0.00000000,0.68561442,0.43408444,0.00402653,0.66948147
-5.83191596,0.87610582,0.01534184,0.00000000,0.64866567,0.40862961,0.00396630,0.63214729
-5.82591296,0.82922071,0.01476413,0.00000000,0.61498842,0.38517450,0.00392290,0.59809883
-5.81990995,0.78726397,0.01424895,0.00000000,0.58482573,0.36381940,0.00389884,0.56753002
-5.81390695,0.75044356,0.01380560,0.00000000,0.55838064,0.34463972,0.00389623,0.54059491
-5.80790395,0.71890336,0.01344186,0.00000000,0.53580883,0.32768341,0.00391664,0.51740222
-5.80190095,0.69271686,0.01316376,0.00000000,0.51721216,0.31296914,0.00396108,0.49801086
-5.79589795,0.67188263,0.01297527,0.00000000,0.50263357,0.30048517,0.00402992,0.48242675
-5.78989495,0.65632204,0.01287813,0.00000000,0.49205369,0.29018922,0.00412287,0.47060129
-5.78389195,0.64587962,0.01287181,0.00000000,0.48538957,0.28200932,0.00423898,0.46243161
-5.77788894,0.64032604,0.01295342,0.00000000,0.48249567,0.27584588,0.00437668,0.45776277
-5.77188594,0.63936394,0.01311785,0.00000000,0.48316729,0.27157461,0.00453378,0.45639194
-5.76588294,0.64263641,0.01335791,0.00000000,0.48714639,0.26905062,0.00470762,0.45807442
-5.75987994,0.64973780,0.01366460,0.00000000,0.49412962,0.26811311,0.00489508,0.46253137
-5.75387694,0.66022648,0.01402740,0.00000000,0.50377836,0.26859086,0.00509274,0.46945883
-5.74787394,0.67363915,0.01443465,0.00000000,0.51573028,0.27030791,0.00529697,0.47853777
-5.74187094,0.68950579,0.01487402,0.00000000,0.52961205,0.27308937,0.00550406,0.48944468
-5.73586793,0.70736488,0.01533292,0.00000000,0.54505257,0.27676707,0.00571035,0.50186217
-5.72986493,0.72677791,0.01579898,0.00000000,0.56169605,0.28118457,0.00591232,0.51548908
-5.72386193,0.74734270,0.01626054,0.00000000,0.57921450,0.28620154,0.00610673,0.53004966
-5.71785893,0.76870473,0.01670702,0.00000000,0.59731881,0.29169708,0.00629070,0.54530132
-5.71185593,0.79056595,0.01712939,0.00000000,0.61576792,0.29757186,0.00646179,0.56104052
-5.70585293,0.81269072,0.01752045,0.00000000,0.63437566,0.30374911,0.00661802,0.57710660
-5.69984992,0.83490845,0.01787512,0.00000000,0.65301472,0.31017422,0.00675799,0.59338324
-5.69384692,0.85711297,0.01819058,0.00000000,0.67161766,0.31681314,0.00688077,0.60979757
-5.68784392,0.87925850,0.01846639,0.00000000,0.69017468,0.32364963,0.00698599,0.62631694
-5.68184092,0.90135260,0.01870445,0.00000000,0.70872832,0.33068162,0.00707378,0.64294353
-5.67583792,0.92344648,0.01890891,0.00000000,0.72736530,0.33791676,0.00714468,0.65970707
-5.66983492,0.94562302,0.01908595,0.00000000,0.74620585,0.34536762,0.00719963,0.67665621
-5.66383192,0.96798348,0.01924352,0.00000000,0.76539103,0.35304670,0.00723987,0.69384881
-5.65782891,0.99063337,0.01939099,0.00000000,0.78506883,0.36096163,0.00726686,0.71134193
-5.65182591,1.01366833,0.01953871,0.00000000,0.80537961,0.36911080,0.00728224,0.72918185
-5.64582291,1.03716095,0.01969765,0.00000000,0.82644182,0.37747975,0.00728766,0.74739495
-5.63981991,1.06114905,0.01987888,0.00000000,0.84833873,0.38603843,0.00728482,0.76597971
-5.63381691,1.08562619,0.02009315,0.00000000,0.87110695,0.39473957,0.00727530,0.78490050
-5.62781391,1.11053490,0.02035044,0.00000000,0.89472748,0.40351825,0.00726061,0.80408341
-5.62181091,1.13576305,0.02065962,0.00000000,0.91911968,0.41229261,0.00724204,0.82341438
-5.61580790,1.16114342,0.02102807,0.00000000,0.94413880,0.42096565,0.00722072,0.84273979
-5.60980490,1.18645661,0.02146143,0.00000000,0.96957708,0.42942815,0.00719754,0.86186944
-5.60380190,1.21143707,0.02196339,0.00000000,0.99516847,0.43756231,0.00717320,0.88058183
-5.59779890,1.23578190,0.02253559,0.00000000,1.02059693,0.44524603,0.00714817,0.89863136
-5.59179590,1.25916192,0.02317757,0.00000000,1.04550769,0.45235755,0.00712268,0.91575723
-5.58579290,1.28123444,0.02388679,0.00000000,1.06952109,0.45878019,0.00709683,0.93169337
-5.57978989,1.30165707,0.02465876,0.00000000,1.09224819,0.46440694,0.00707049,0.94617911
-5.57378689,1.32010179,0.02548718,0.00000000,1.11330751,0.46914460,0.00704343,0.95896984
-5.56778389,1.33626869,0.02636420,0.00000000,1.13234179,0.47291744,0.00701527,0.96984735
-5.56178089,1.34989864,0.02728060,0.00000000,1.14903423,0.47567005,0.00698553,0.97862914
-5.55577789,1.36078439,0.02822619,0.00000000,1.16312321,0.47736935,0.00695367,0.98517648
-5.54977489,1.36877957,0.02919002,0.00000000,1.17441480,0.47800581,0.00691909,0.98940076
-5.54377189,1.37380543,0.03016079,0.00000000,1.18279260,0.47759369,0.00688116,0.99126800
-5.53776888,1.37585496,0.03112712,0.00000000,1.18822443,0.47617064,0.00683925,0.99080131
-5.53176588,1.37499449,0.03207791,0.00000000,1.19076563,0.47379642,0.00679273,0.98808136
-5.52576288,1.37136280,0.03300263,0.00000000,1.19055891,0.47055122,0.00674105,0.98324494
-5.51975988,1.36516801,0.03389164,0.00000000,1.18783103,0.46653345,0.00668368,0.97648174
-5.51375688,1.35668247,0.03473642,0.00000000,1.18288641,0.46185734,0.00662023,0.96802967
-5.50775388,1.34623609,0.03552987,0.00000000,1.17609817,0.45665036,0.00655042,0.95816898
-5.50175088,1.33420841,0.03626648,0.00000000,1.16789726,0.45105066,0.00647411,0.94721548
-5.49574787,1.32101990,0.03694251,0.00000000,1.15875997,0.44520464,0.00639137,0.93551318
-5.48974487,1.30712275,0.03755616,0.00000000,1.14919475,0.43926462,0.00630245,0.92342670
-5.48374187,1.29299147,0.03810759,0.00000000,1.13972867,0.43338673,0.00620785,0.91133361
