energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.32626573,0.01777229,0.02480678,0.01642340,1.22410547,1.61259930,0.00426083,2.17545252
-5.99399700,3.39070324,0.02094872,0.02922735,0.01964100,1.28870797,1.60155047,0.00507769,2.22181358
-5.98799400,3.47639882,0.02461753,0.03433186,0.02337706,1.36597353,1.59526350,0.00601947,2.28243982
-5.98199100,3.58734649,0.02880275,0.04015351,0.02767960,1.45753457,1.59553011,0.00709398,2.35993747
-5.97598799,3.72715443,0.03352251,0.04671682,0.03259527,1.56482442,1.60400467,0.00830786,2.45664706
-5.96998499,3.89888048,0.03878732,0.05403513,0.03816797,1.68900373,1.62213798,0.00966616,2.57453430
-5.96398199,4.10487687,0.04459823,0.06210811,0.04443752,1.83088969,1.65111650,0.01117181,2.71508693
-5.95797899,4.34665049,0.05094528,0.07091941,0.05143822,1.99089091,1.69180912,0.01282527,2.87922183
-5.95197599,4.62474469,0.05780593,0.08043452,0.05919754,2.16895106,1.74472377,0.01462407,3.06720643
-5.94597299,4.93864828,0.06514397,0.09059911,0.06773497,2.36450422,1.80997558,0.01656253,3.27859831
-5.93996998,5.28673679,0.07290865,0.10133783,0.07706094,2.57644477,1.88726810,0.01863148,3.51220640
-5.93396698,5.66625014,0.08103441,0.11255379,0.08717601,2.80311424,1.97588854,0.02081812,3.76607661
-5.92796398,6.07330956,0.08944109,0.12412885,0.09807030,3.04230701,2.07471768,0.02310604,4.03750403
-5.92196098,6.50297528,0.09803469,0.13592472,0.10972321,3.29129619,2.18225435,0.02547530,4.32307250
-5.91595798,6.94934484,0.10670883,0.14778495,0.12210334,3.54687996,2.29665393,0.02790270,4.61872195
-5.90995498,7.40569014,0.11534680,0.15953784,0.13516878,3.80544805,2.41577986,0.03036217,4.91984190
-5.90395198,7.86462947,0.12382413,0.17100020,0.14886752,4.06306671,2.53726623,0.03282533,5.22138891
-5.89794897,8.31832910,0.13201175,0.18198186,0.16313815,4.31557988,2.65858953,0.03526210,5.51802428
-5.89194597,8.75872721,0.13977951,0.19229081,0.17791057,4.55872298,2.77714659,0.03764151,5.80426712
-5.88594297,9.17777183,0.14699998,0.20173876,0.19310686,4.78824536,2.89033603,0.03993245,6.07465731
-5.87993997,9.56766334,0.15355237,0.21014693,0.20864206,5.00003629,2.99563977,0.04210454,6.32392161
-5.87393697,9.92109146,0.15932647,0.21735185,0.22442490,5.19024951,3.09070147,0.04412899,6.54713649
-5.86793397,10.23145681,0.16422630,0.22321088,0.24035839,5.35542086,3.17339869,0.04597936,6.73988052
-5.86193097,10.49306770,0.16817338,0.22760718,0.25634027,5.49257386,3.24190578,0.04763229,6.89836996
-5.85592796,10.70130348,0.17110960,0.23045397,0.27226321,5.59930846,3.29474514,0.04906812,7.01957169
-5.84992496,10.85273795,0.17299925,0.23169785,0.28801493,5.67386914,3.33082476,0.05027127,7.10128866
-5.84392196,10.94521776,0.17383040,0.23132096,0.30347820,5.71518940,3.34946086,0.05123064,7.14221437
-5.83791896,10.97789322,0.17361546,0.22934197,0.31853076,5.72291081,3.35038493,0.05193961,7.14195444
-5.83191596,10.95120154,0.17239086,0.22581580,0.33304535,5.69737625,3.33373565,0.05239609,7.10101503
-5.82591296,10.86680442,0.17021591,0.22083204,0.34688995,5.63959821,3.30003629,0.05260225,7.02075934
-5.81990995,10.72748474,0.16717095,0.21451225,0.35992819,5.55120416,3.25015951,0.05256417,6.90333511
-5.81390695,10.53700858,0.16335477,0.20700616,0.37202032,5.43436243,3.18528160,0.05229135,6.75157751
-5.80790395,10.29996045,0.15888152,0.19848700,0.38302456,5.29169250,3.10682878,0.05179619,6.56889258
-5.80190095,10.02156069,0.15387720,0.18914617,0.39279908,5.12616456,3.01641849,0.05109333,6.35912736
