energy_ev,total_up,Ag_p_up,Ag_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.19861022,0.69288130,1.31471050,0.70693211,0.44759108,0.00409434,0.24750164,0.00824010,1.05151815
-5.99399700,3.28748308,0.72124050,1.36501069,0.70845704,0.45620563,0.00379208,0.26184229,0.00873636,1.06148766
-5.98799400,3.38315478,0.75024717,1.41897997,0.71117493,0.46548750,0.00350722,0.27698310,0.00924017,1.07284088
-5.98199100,3.48407743,0.77949882,1.47578656,0.71487960,0.47536006,0.00324153,0.29271586,0.00974422,1.08529550
-5.97598799,3.58872675,0.80861385,1.53460629,0.71936361,0.48574900,0.00299627,0.30883623,0.01024071,1.09857570
-5.96998499,3.69564265,0.83724443,1.59464248,0.72442599,0.49658398,0.00277221,0.32514852,0.01072158,1.11242163
-5.96398199,3.80346746,0.86508856,1.65514508,0.72987947,0.50779990,0.00256969,0.34147038,0.01117873,1.12659794
-5.95797899,3.91097990,0.89190061,1.71542835,0.73555691,0.51933750,0.00238866,0.35763712,0.01160429,1.14090062
-5.95197599,4.01712292,0.91749979,1.77488611,0.74131646,0.53114333,0.00222869,0.37350556,0.01199082,1.15516194
-5.94597299,4.12102381,0.94177596,1.83300396,0.74704510,0.54316894,0.00208906,0.38895714,0.01233159,1.16925289
-5.93996998,4.22200531,0.96469242,1.88936745,0.75266048,0.55536941,0.00196881,0.40390009,0.01262079,1.18308300
-5.93396698,4.31958688,0.98628532,1.94366601,0.75811071,0.56770106,0.00186682,0.41827057,0.01285373,1.19659756
-5.92796398,4.41347604,1.00665961,1.99569213,0.76337229,0.58011872,0.00178181,0.43203259,0.01302698,1.20977228
-5.92196098,4.50354984,1.02598171,2.04533587,0.76844623,0.59257248,0.00171245,0.44517677,0.01313852,1.22260579
-5.91595798,4.58982788,1.04446898,2.09257473,0.77335257,0.60500436,0.00165737,0.45771781,0.01318777,1.23511042
-5.90995498,4.67243798,1.06237672,2.13745972,0.77812379,0.61734501,0.00161522,0.46969097,0.01317564,1.24730190
-5.90395198,4.75157702,1.07998304,2.18009811,0.78279745,0.62951082,0.00158468,0.48114753,0.01310447,1.25918877
-5.89794897,4.82746904,1.09757268,2.22063394,0.78740864,0.64140172,0.00156453,0.49214954,0.01297799,1.27076219
-5.89194597,4.90032356,1.11542038,2.25922756,0.79198271,0.65289996,0.00155362,0.50276416,0.01280115,1.28198705
-5.88594297,4.97029677,1.13377486,2.29603525,0.79652896,0.66387000,0.00155092,0.51305786,0.01257998,1.29279501
-5.87993997,5.03745823,1.15284421,2.33119036,0.80103557,0.67415989,0.00155550,0.52309078,0.01232143,1.30308021
-5.87393697,5.10176532,1.17278363,2.36478701,0.80546638,0.68360398,0.00156657,0.53291165,0.01203310,1.31269801
-5.86793397,5.16304744,1.19368599,2.39686744,0.80975969,0.69202716,0.00158345,0.54255345,0.01172309,1.32146710
-5.86193097,5.22100099,1.21557608,2.42741388,0.81382919,0.69925041,0.00160558,0.55203017,0.01139975,1.32917499
-5.85592796,5.27519576,1.23840855,2.45634524,0.81756729,0.70509748,0.00163253,0.56133477,0.01107148,1.33558675
-5.84992496,5.32509245,1.26206995,2.48351917,0.82085036,0.70940240,0.00166398,0.57043854,0.01074651,1.34045655
-5.84392196,5.37007037,1.28638449,2.50873899,0.82354586,0.71201740,0.00169971,0.57929173,0.01043280,1.34354133
-5.83791896,5.40946356,1.31112349,2.53176536,0.82552086,0.71282094,0.00173964,0.58782560,0.01013779,1.34461600
-5.83191596,5.44260327,1.33601774,2.55233172,0.82665144,0.71172517,0.00178375,0.59595564,0.00986839,1.34348903
