energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,4.17815306,1.26285241,2.23240229,0.00667028,0.36116653,1.03519142,0.93918959,0.00603095,0.45369566
-5.99399700,4.11152751,1.23709708,2.20209614,0.00645379,0.34783501,1.01725856,0.92489688,0.00628073,0.44505591
-5.98799400,4.04214951,1.21046079,2.16979697,0.00625701,0.33423336,0.99722494,0.91040178,0.00658338,0.43576135
-5.98199100,3.97164188,1.18334195,2.13644577,0.00608027,0.32055884,0.97539951,0.89603521,0.00693843,0.42598388
-5.97598799,3.90159846,1.15614459,2.10298790,0.00592353,0.30699429,0.95210602,0.88210837,0.00734430,0.41590235
-5.96998499,3.83352783,1.12926537,2.07033743,0.00578642,0.29370377,0.92767330,0.86890286,0.00779823,0.40569677
-5.96398199,3.76880053,1.10308054,2.03934236,0.00566830,0.28082912,0.90242578,0.85666212,0.00829611,0.39554237
-5.95797899,3.70860188,1.07793360,2.01075247,0.00556832,0.26848746,0.87667471,0.84558466,0.00883251,0.38560418
-5.95197599,3.65389268,1.05412412,1.98519128,0.00548542,0.25676975,0.85071038,0.83581934,0.00940063,0.37603201
-5.94597299,3.60537946,1.03189818,1.96313346,0.00541841,0.24574032,0.82479565,0.82746268,0.00999237,0.36695635
-5.93996998,3.56349589,1.01144100,1.94488878,0.00536592,0.23543745,0.79916103,0.82055859,0.01059844,0.35848524
-5.93396698,3.52839600,0.99287206,1.93059345,0.00532645,0.22587478,0.77400138,0.81510032,0.01120853,0.35070219
-5.92796398,3.49995971,0.97624292,1.92020927,0.00529837,0.21704352,0.74947431,0.81103455,0.01181150,0.34366531
-5.92196098,3.47781032,0.96153777,1.91353052,0.00527993,0.20891530,0.72570032,0.80826757,0.01239570,0.33740760
-5.91595798,3.46134301,0.94867677,1.91019842,0.00526929,0.20144548,0.70276440,0.80667309,0.01294924,0.33193832
-5.90995498,3.44976286,0.93752186,1.90972207,0.00526449,0.19457679,0.68071903,0.80610135,0.01346032,0.32724535
-5.90395198,3.44213050,0.92788477,1.91150509,0.00526360,0.18824312,0.65958824,0.80638911,0.01391764,0.32329828
-5.89794897,3.43741278,0.91953670,1.91487623,0.00526465,0.18237321,0.63937242,0.80736996,0.01431067,0.32005207
-5.89194597,3.43453603,0.91221919,1.91912266,0.00526580,0.17689422,0.62005363,0.80888438,0.01463009,0.31745105
-5.88594297,3.43243893,0.90565554,1.92352385,0.00526538,0.17173492,0.60160087,0.81078900,0.01486801,0.31543295
