energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.38760342,0.00356590,0.27795705,0.80627615,0.29352702,0.36140051,1.34114367,0.76724934,0.00000000
-5.99399700,2.35661226,0.00332867,0.27403775,0.79267309,0.28497983,0.35018952,1.33088150,0.75802147,0.00000000
-5.98799400,2.32110416,0.00313821,0.26957957,0.77896984,0.27598528,0.33898312,1.31722732,0.74765916,0.00000000
-5.98199100,2.28172492,0.00299373,0.26471925,0.76558981,0.26667391,0.32802561,1.30034853,0.73643440,0.00000000
-5.97598799,2.23936496,0.00289514,0.25960817,0.75302717,0.25720535,0.31759780,1.28055899,0.72470281,0.00000000
-5.96998499,2.19512674,0.00284302,0.25440772,0.74183726,0.24776260,0.30800928,1.25830371,0.71289346,0.00000000
-5.96398199,2.15028651,0.00283853,0.24928443,0.73262523,0.23854571,0.29959026,1.23413972,0.70149662,0.00000000
-5.95797899,2.10625149,0.00288330,0.24440499,0.72603278,0.22976534,0.29268309,1.20871380,0.69104968,0.00000000
-5.95197599,2.06451340,0.00297931,0.23993122,0.72272312,0.22163621,0.28763364,1.18273784,0.68212163,0.00000000
-5.94597299,2.02659976,0.00312876,0.23601522,0.72336409,0.21437067,0.28478247,1.15696247,0.67529618,0.00000000
-5.93996998,1.99402391,0.00333394,0.23279473,0.72860976,0.20817244,0.28445597,1.13214995,0.67115408,0.00000000
-5.93396698,1.96823539,0.00359699,0.23038883,0.73908065,0.20323076,0.28695738,1.10904714,0.67025489,0.00000000
-5.92796398,1.95057171,0.00391977,0.22889421,0.75534305,0.19971490,0.29255799,1.08835942,0.67311874,0.00000000
-5.92196098,1.94221303,0.00430366,0.22838199,0.77788788,0.19776923,0.30148833,1.07072647,0.68020842,0.00000000
-5.91595798,1.94414101,0.00474929,0.22889526,0.80710966,0.19750891,0.31392973,1.05670058,0.69191245,0.00000000
-5.90995498,1.95710293,0.00525644,0.23044753,0.84328638,0.19901615,0.33000626,1.04672839,0.70852943,0.00000000
-5.90395198,1.98158236,0.00582375,0.23302194,0.88656097,0.20233731,0.34977741,1.04113637,0.73025438,0.00000000
-5.89794897,2.01777722,0.00644863,0.23657153,0.93692513,0.20748070,0.37323163,1.04012076,0.75716739,0.00000000
-5.89194597,2.06558608,0.00712705,0.24102040,0.99420652,0.21441521,0.40028113,1.04374197,0.78922518,0.00000000
-5.88594297,2.12460316,0.00785349,0.24626587,1.05805989,0.22306994,0.43075820,1.05192378,0.82625584,0.00000000
-5.87993997,2.19412250,0.00862089,0.25218151,1.12796302,0.23333465,0.46441347,1.06445704,0.86795720,0.00000000
-5.87393697,2.27315118,0.00942062,0.25862107,1.20321798,0.24506129,0.50091620,1.08100787,0.91389894,0.00000000
-5.86793397,2.36043149,0.01024257,0.26542303,1.28295819,0.25806647,0.53985710,1.10112970,0.96352870,0.00000000
-5.86193097,2.45447142,0.01107528,0.27241579,1.36616145,0.27213493,0.58075372,1.12427889,1.01618216,0.00000000
-5.85592796,2.55358280,0.01190617,0.27942327,1.45166893,0.28702402,0.62305849,1.14983312,1.07109683,0.00000000
-5.84992496,2.65592581,0.01272176,0.28627071,1.53820986,0.30246905,0.66616947,1.17711186,1.12742947,0.00000000
-5.84392196,2.75955884,0.01350801,0.29279049,1.62443128,0.31818943,0.70944360,1.20539822,1.18427655,0.00000000
-5.83791896,2.86249186,0.01425069,0.29882778,1.70893211,0.33389547,0.75221212,1.23396142,1.24069729,0.00000000
-5.83191596,2.96274186,0.01493580,0.30424580,1.79030037,0.34929568,0.79379778,1.26207898,1.29573845,0.00000000
-5.82591296,3.05838847,0.01554993,0.30893050,1.86715226,0.36410431,0.83353334,1.28905812,1.34846032,0.00000000
-5.81990995,3.14762785,0.01608072,0.31279457,1.93817168,0.37804887,0.87078048,1.31425543,1.39796265,0.00000000
-5.81390695,3.22882316,0.01651726,0.31578046,2.00214861,0.39087750,0.90494864,1.33709459,1.44340999,0.00000000
-5.80790395,3.30054975,0.01685041,0.31786246,2.05801473,0.40236572,0.93551282,1.35708124,1.48405522,0.00000000
-5.80190095,3.36163353,0.01707317,0.31904773,2.10487487,0.41232246,0.96202958,1.37381502,1.51926052,0.00000000
-5.79589795,3.41118121,0.01718083,0.31937617,2.14203283,0.42059507,0.98415060,1.38699818,1.54851490,0.00000000
-5.78989495,3.44860111,0.01717123,0.31891918,2.16901050,0.42707307,1.00163304,1.39644080,1.57144767,0.00000000
-5.78389195,3.47361413,0.01704475,0.31777731,2.18555944,0.43169050,1.01434624,1.40206247,1.58783715,0.00000000
-5.77788894,3.48625411,0.01680431,0.31607696,2.19166433,0.43442681,1.02227435,1.40389046,1.59761448,0.00000000
-5.77188594,3.48685797,0.01645528,0.31396604,2.18753826,0.43530615,1.02551483,1.40205465,1.60086226,0.00000000
-5.76588294,3.47604566,0.01600527,0.31160898,2.17361014,0.43439517,1.02427273,1.39677927,1.59780803,0.00000000
-5.75987994,3.45469109,0.01546386,0.30918102,2.15050474,0.43179941,1.01885112,1.38837191,1.58881306,0.00000000
-5.75387694,3.42388490,0.01484223,0.30686214,2.11901645,0.42765839,1.00963797,1.37721013,1.57435679,0.00000000
-5.74787394,3.38489070,0.01415287,0.30483065,2.08007795,0.42213971,0.99709020,1.36372618,1.55501761,0.00000000
-5.74187094,3.33909649,0.01340906,0.30325684,2.03472531,0.41543230,0.98171563,1.34839023,1.53145092,0.00000000
-5.73586793,3.28796309,0.01262454,0.30229675,1.98406096,0.40773928,0.96405351,1.33169279,1.50436517,0.00000000
-5.72986493,3.23297165,0.01181305,0.30208632,1.92921641,0.39927050,0.94465477,1.31412682,1.47449710,0.00000000
-5.72386193,3.17557219,0.01098796,0.30273612,1.87131598,0.39023539,0.92406252,1.29617016,1.44258702,0.00000000
-5.71785893,3.11713509,0.01016190,0.30432687,1.81144321,0.38083609,0.90279395,1.27826880,1.40935513,0.00000000
-5.71185593,3.05890732,0.00934650,0.30690581,1.75061104,0.37126130,0.88132413,1.26082163,1.37547974,0.00000000
-5.70585293,3.00197491,0.00855209,0.31048417,1.68973679,0.36168105,0.86007238,1.24416716,1.34157817,0.00000000
-5.69984992,2.94723287,0.00778759,0.31503574,1.62962257,0.35224252,0.83939163,1.22857259,1.30819098,0.00000000
-5.69384692,2.89536350,0.00706033,0.32049666,1.57094154,0.34306700,0.81956109,1.21422575,1.27576981,0.00000000
-5.68784392,2.84682354,0.00637605,0.32676641,1.51423005,0.33424804,0.80078221,1.20122997,1.24466931,0.00000000
-5.68184092,2.80184038,0.00573891,0.33371007,1.45988539,0.32585089,0.78317809,1.18960229,1.21514304,0.00000000
-5.67583792,2.76041703,0.00515152,0.34116161,1.40816887,0.31791291,0.76679585,1.17927486,1.18734336,0.00000000
-5.66983492,2.72234533,0.00461508,0.34892833,1.35921338,0.31044514,0.75161180,1.17009945,1.16132501,0.00000000
-5.66383192,2.68722653,0.00412952,0.35679613,1.31303480,0.30343465,0.73753904,1.16185505,1.13705202,0.00000000
-5.65782891,2.65449799,0.00369367,0.36453555,1.26954634,0.29684760,0.72443672,1.15425797,1.11440738,0.00000000
-5.65182591,2.62346492,0.00330543,0.37190837,1.22857489,0.29063285,0.71212076,1.14697419,1.09320502,0.00000000
-5.64582291,2.59333537,0.00296198,0.37867449,1.18987865,0.28472585,0.70037522,1.13963339,1.07320332,0.00000000
-5.63981991,2.56325730,0.00265996,0.38459894,1.15316509,0.27905263,0.68896400,1.13184410,1.05411968,0.00000000
-5.63381691,2.53235587,0.00239567,0.38945872,1.11810859,0.27353387,0.67764226,1.12320922,1.03564537,0.00000000
-5.62781391,2.49976984,0.00216520,0.39304933,1.08436720,0.26808866,0.66616725,1.11334152,1.01746018,0.00000000
