energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-6.00000000,8.60343080,1.67247103,6.37719066,0.03857657,0.12652860,1.22188271,0.52876315,1.57199718,0.00000000
-5.99399700,8.45686682,1.65724310,6.25564329,0.03859346,0.12309532,1.20682379,0.52413932,1.55155775,0.00000000
-5.98799400,8.32932250,1.64521910,6.14841443,0.03858824,0.12014317,1.19432115,0.52070841,1.53383435,0.00000000
-5.98199100,8.21942741,1.63590240,6.05464297,0.03855121,0.11763293,1.18396987,0.51837762,1.51852237,0.00000000
-5.97598799,8.12558817,1.62878815,5.97327976,0.03847369,0.11552441,1.17535117,0.51704358,1.50529438,0.00000000
-5.96998499,8.04604449,1.62337930,5.90312377,0.03834842,0.11377756,1.16804629,0.51659700,1.49381318,0.00000000
-5.96398199,7.97892386,1.61920127,5.84285803,0.03816987,0.11235346,1.16164942,0.51692704,1.48374430,0.00000000
-5.95797899,7.92229316,1.61581490,5.79108424,0.03793455,0.11121514,1.15577926,0.51792527,1.47476723,0.00000000
-5.95197599,7.87420559,1.61282709,5.74635532,0.03764114,0.11032816,1.15008893,0.51948897,1.46658503,0.00000000
-5.94597299,7.83274182,1.60989868,5.70720518,0.03729065,0.10966100,1.14427382,0.52152365,1.45893193,0.00000000
-5.93996998,7.79604464,1.60674947,5.67217533,0.03688633,0.10918521,1.13807732,0.52394476,1.45157869,0.00000000
-5.93396698,7.76234665,1.60316024,5.63983807,0.03643366,0.10887539,1.13129429,0.52667843,1.44433560,0.00000000
-5.92796398,7.72999104,1.59897172,5.60881631,0.03594004,0.10870893,1.12377235,0.52966131,1.43705310,0.00000000
-5.92196098,7.69744572,1.59408083,5.57780012,0.03541457,0.10866563,1.11541102,0.53283964,1.42962017,0.00000000
-5.91595798,7.66331147,1.58843435,5.54556019,0.03486762,0.10872716,1.10615902,0.53616747,1.42196062,0.00000000
-5.90995498,7.62632484,1.58202063,5.51095866,0.03431043,0.10887645,1.09600983,0.53960432,1.41402772,0.00000000
-5.90395198,7.58535674,1.57485962,5.47295760,0.03375458,0.10909705,1.08499593,0.54311237,1.40579754,0.00000000
-5.89794897,7.53940793,1.56699208,5.43062555,0.03321153,0.10937248,1.07318201,0.54665345,1.39726133,0.00000000
-5.89194597,7.48760242,1.55846835,5.38314250,0.03269208,0.10968560,1.06065756,0.55018596,1.38841759,0.00000000
-5.88594297,7.42917996,1.54933748,5.32980378,0.03220590,0.11001814,1.04752904,0.55366199,1.37926428,0.00000000
-5.87993997,7.36348861,1.53963723,5.27002302,0.03176109,0.11035031,1.03391225,0.55702491,1.36979155,0.00000000
-5.87393697,7.28997832,1.52938561,5.20333457,0.03136379,0.11066059,1.01992502,0.56020743,1.35997566,0.00000000
-5.86793397,7.20819643,1.51857434,5.12939552,0.03101792,0.11092567,1.00568054,0.56313063,1.34977418,0.00000000
-5.86193097,7.11778545,1.50716463,5.04798750,0.03072499,0.11112065,0.99128171,0.56570366,1.33912308,0.00000000
-5.85592796,7.01848370,1.49508557,4.95901825,0.03048398,0.11121937,0.97681654,0.56782462,1.32793568,0.00000000
-5.84992496,6.91012875,1.48223518,4.86252297,0.03029145,0.11119494,0.96235490,0.56938234,1.31610370,0.00000000
-5.84392196,6.79266360,1.46848404,4.75866541,0.03014164,0.11102045,0.94794653,0.57025916,1.30350033,0.00000000
-5.83791896,6.66614521,1.45368145,4.64773842,0.03002674,0.11066979,0.93362047,0.57033459,1.28998516,0.00000000
-5.83191596,6.53075466,1.43766352,4.53016373,0.02993728,0.11011855,0.91938575,0.56948968,1.27541081,0.00000000
-5.82591296,6.38680814,1.42026298,4.40649076,0.02986256,0.10934496,0.90523323,0.56761201,1.25963083,0.00000000
-5.81990995,6.23476777,1.40132002,4.27739401,0.02979116,0.10833085,0.89113851,0.56460083,1.24250836,0.00000000
-5.81390695,6.07525100,1.38069347,4.14366867,0.02971149,0.10706246,0.87706558,0.56037232,1.22392530,0.00000000
-5.80790395,5.90903756,1.35827178,4.00622420,0.02961235,0.10553123,0.86297097,0.55486452,1.20379113,0.00000000
-5.80190095,5.73707270,1.33398310,3.86607542,0.02948349,0.10373439,0.84880830,0.54804172,1.18205112,0.00000000
-5.79589795,5.56046579,1.30780375,3.72433094,0.02931608,0.10167528,0.83453269,0.53989800,1.15869320,0.00000000
-5.78989495,5.38048325,1.27976470,3.58217879,0.02910319,0.09936359,0.82010494,0.53045968,1.13375322,0.00000000
-5.78389195,5.19853554,1.24995554,3.44086914,0.02884011,0.09681517,0.80549529,0.51978655,1.10731805,0.00000000
-5.77788894,5.01615765,1.21852561,3.30169425,0.02852462,0.09405180,0.79068633,0.50797164,1.07952641,0.00000000
-5.77188594,4.83498330,1.18568234,3.16596605,0.02815708,0.09110053,0.77567512,0.49513964,1.05056720,0.00000000
-5.76588294,4.65671344,1.15168660,3.03499160,0.02774049,0.08799295,0.76047434,0.48144380,1.02067538,0.00000000
-5.75987994,4.48307960,1.11684542,2.91004713,0.02728029,0.08476419,0.74511232,0.46706157,0.99012541,0.00000000
-5.75387694,4.31580365,1.08150234,2.79235153,0.02678418,0.08145186,0.72963213,0.45218903,0.95922275,0.00000000
-5.74787394,4.15655502,1.04602580,2.68303989,0.02626175,0.07809483,0.71408969,0.43703445,0.92829350,0.00000000
-5.74187094,4.00690753,1.01079626,2.58313837,0.02572403,0.07473207,0.69855102,0.42181115,0.89767295,0.00000000
