energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.51787362,0.53195973,0.47171979,0.01565338,0.24252951,0.11495683,0.00000000
-5.99399700,1.53082425,0.53613593,0.47259486,0.01586488,0.24349082,0.11776808,0.00000000
-5.98799400,1.54341239,0.53955732,0.47385931,0.01605976,0.24414520,0.12060174,0.00000000
-5.98199100,1.55526891,0.54216547,0.47535764,0.01623838,0.24446445,0.12342904,0.00000000
-5.97598799,1.56597124,0.54389472,0.47691166,0.01640094,0.24441648,0.12621257,0.00000000
-5.96998499,1.57505218,0.54467299,0.47832495,0.01654742,0.24396535,0.12890670,0.00000000
-5.96398199,1.58201212,0.54442345,0.47938858,0.01667764,0.24307188,0.13145843,0.00000000
-5.95797899,1.58633439,0.54306700,0.47988778,0.01679121,0.24169472,0.13380868,0.00000000
-5.95197599,1.58750283,0.54052548,0.47960929,0.01688767,0.23979190,0.13589410,0.00000000
-5.94597299,1.58502111,0.53672548,0.47834905,0.01696646,0.23732272,0.13764907,0.00000000
-5.93996998,1.57843255,0.53160238,0.47591989,0.01702711,0.23424984,0.13900817,0.00000000
-5.93396698,1.56733974,0.52510467,0.47215872,0.01706927,0.23054150,0.13990860,0.00000000
-5.92796398,1.55142272,0.51719796,0.46693306,0.01709284,0.22617366,0.14029285,0.00000000
-5.92196098,1.53045489,0.50786878,0.46014641,0.01709810,0.22113208,0.14011113,0.00000000
-5.91595798,1.50431572,0.49712757,0.45174225,0.01708570,0.21541396,0.13932368,0.00000000
-5.90995498,1.47299956,0.48501096,0.44170655,0.01705680,0.20902929,0.13790273,0.00000000
-5.90395198,1.43662005,0.47158296,0.43006851,0.01701304,0.20200170,0.13583407,0.00000000
-5.89794897,1.39540983,0.45693507,0.41689969,0.01695650,0.19436872,0.13311801,0.00000000
-5.89194597,1.34971548,0.44118514,0.40231142,0.01688966,0.18618152,0.12976995,0.00000000
-5.88594297,1.29998797,0.42447519,0.38645079,0.01681527,0.17750411,0.12582023,0.00000000
-5.87993997,1.24676901,0.40696803,0.36949521,0.01673621,0.16841194,0.12131347,0.00000000
-5.87393697,1.19067395,0.38884301,0.35164612,0.01665527,0.15899012,0.11630734,0.00000000
-5.86793397,1.13237213,0.37029107,0.33312183,0.01657501,0.14933125,0.11087088,0.00000000
-5.86193097,1.07256554,0.35150919,0.31415013,0.01649753,0.13953292,0.10508239,0.00000000
-5.85592796,1.01196689,0.33269472,0.29496081,0.01642426,0.12969510,0.09902706,0.00000000
-5.84992496,0.95127801,0.31403973,0.27577848,0.01635579,0.11991753,0.09279442,0.00000000
-5.84392196,0.89116960,0.29572561,0.25681606,0.01629177,0.11029710,0.08647566,0.00000000
-5.83791896,0.83226313,0.27791835,0.23826905,0.01623078,0.10092543,0.08016107,0.00000000
-5.83191596,0.77511566,0.26076442,0.22031092,0.01617035,0.09188676,0.07393759,0.00000000
-5.82591296,0.72020803,0.24438776,0.20308963,0.01610695,0.08325617,0.06788658,0.00000000
-5.81990995,0.66793668,0.22888762,0.18672542,0.01603613,0.07509812,0.06208191,0.00000000
-5.81390695,0.61860934,0.21433753,0.17130980,0.01595269,0.06746552,0.05658844,0.00000000
-5.80790395,0.57244435,0.20078535,0.15690577,0.01585085,0.06039916,0.05146082,0.00000000
-5.80190095,0.52957341,0.18825419,0.14354903,0.01572457,0.05392756,0.04674272,0.00000000
-5.79589795,0.49004731,0.17674424,0.13125007,0.01556783,0.04806724,0.04246646,0.00000000
-5.78989495,0.45384409,0.16623533,0.11999708,0.01537490,0.04282331,0.03865302,0.00000000
-5.78389195,0.42087904,0.15668989,0.10975919,0.01514067,0.03819035,0.03531233,0.00000000
-5.77788894,0.39101591,0.14805638,0.10049017,0.01486096,0.03415355,0.03244387,0.00000000
-5.77188594,0.36407869,0.14027282,0.09213212,0.01453267,0.03068999,0.03003758,0.00000000
-5.76588294,0.33986339,0.13327026,0.08461917,0.01415408,0.02777006,0.02807486,0.00000000
-5.75987994,0.31814941,0.12697620,0.07788090,0.01372493,0.02535893,0.02652977,0.00000000
-5.75387694,0.29870990,0.12131767,0.07184545,0.01324647,0.02341805,0.02537034,0.00000000
-5.74787394,0.28132103,0.11622395,0.06644221,0.01272152,0.02190656,0.02455992,0.00000000
-5.74187094,0.26576987,0.11162895,0.06160404,0.01215433,0.02078272,0.02405851,0.00000000
-5.73586793,0.25186077,0.10747304,0.05726897,0.01155055,0.02000517,0.02382418,0.00000000
-5.72986493,0.23942032,0.10370460,0.05338145,0.01091695,0.01953411,0.02381436,0.00000000
-5.72386193,0.22830084,0.10028107,0.04989314,0.01026130,0.01933231,0.02398714,0.00000000
-5.71785893,0.21838263,0.09716965,0.04676330,0.00959206,0.01936601,0.02430239,0.00000000
-5.71185593,0.20957505,0.09434767,0.04395877,0.00891816,0.01960561,0.02472289,0.00000000
-5.70585293,0.20181660,0.09180269,0.04145378,0.00824876,0.02002621,0.02521530,0.00000000
-5.69984992,0.19507419,0.08953235,0.03922941,0.00759298,0.02060796,0.02575092,0.00000000
-5.69384692,0.18934168,0.08754397,0.03727296,0.00695970,0.02133622,0.02630641,0.00000000
-5.68784392,0.18463776,0.08585399,0.03557716,0.00635739,0.02220153,0.02686426,0.00000000
-5.68184092,0.18100347,0.08448718,0.03413935,0.00579394,0.02319934,0.02741310,0.00000000
-5.67583792,0.17849907,0.08347566,0.03296052,0.00527660,0.02432962,0.02794780,0.00000000
-5.66983492,0.17720066,0.08285777,0.03204444,0.00481184,0.02559623,0.02846940,0.00000000
