energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.17071483,-6.54445985,0.03019283,-0.12459335,0.37279701,-0.64027015,1.42689412,-2.02523831,1.19299945,-0.83307189,0.06599408,-0.09336865,1.62947414,-2.96114436
-5.99399700,4.51256679,-6.81148561,0.03351866,-0.12582661,0.40613970,-0.66887813,1.55713930,-2.12219815,1.29714549,-0.86576324,0.06915181,-0.09702396,1.76022572,-3.08366763
-5.98799400,4.87196438,-7.09208468,0.03696795,-0.12707170,0.44092681,-0.69874165,1.69429708,-2.22242663,1.40544720,-0.90016471,0.07263846,-0.10095396,1.89818308,-3.21269163
-5.98199100,5.24419782,-7.38305585,0.04050248,-0.12832363,0.47667607,-0.72954705,1.83673319,-2.32460780,1.51650544,-0.93596217,0.07639322,-0.10511780,2.04160138,-3.34671544
-5.97598799,5.62402444,-7.68077218,0.04407914,-0.12956960,0.51285094,-0.76092962,1.98263149,-2.42729141,1.62876198,-0.97278136,0.08034640,-0.10946661,2.18853793,-3.48405221
-5.96998499,6.00577217,-7.98121834,0.04765066,-0.13078895,0.54887125,-0.79247779,2.13002581,-2.52891623,1.74053186,-1.01019006,0.08442122,-0.11394401,2.33688986,-3.62284622
-5.96398199,6.38346595,-8.28004274,0.05116658,-0.13195344,0.58412653,-0.82373904,2.27684009,-2.62783839,1.85004238,-1.04770237,0.08853580,-0.11848676,2.48444001,-3.76109631
-5.95797899,6.75097315,-8.57262435,0.05457444,-0.13302799,0.61799146,-0.85422782,2.42093551,-2.72236430,1.95547801,-1.08478522,0.09260547,-0.12302586,2.62890955,-3.89668553
-5.95197599,7.10216289,-8.85415380,0.05782113,-0.13397176,0.64984303,-0.88343504,2.56016331,-2.81078745,2.05502916,-1.12086705,0.09654515,-0.12748786,2.76801544,-4.02741699
-5.94597299,7.43107331,-9.11972741,0.06085426,-0.13473956,0.67907874,-0.91083922,2.69242120,-2.89142813,2.14694332,-1.15534872,0.10027186,-0.13179648,2.89953065,-4.15105533
-5.93996998,7.73208011,-9.36445222,0.06362371,-0.13528355,0.70513515,-0.93591889,2.81571135,-2.96267509,2.22957631,-1.18761625,0.10370712,-0.13587441,3.02134474,-4.26537292
