energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,0.57896880,0.00264820,0.00006603,0.17134079,0.28836212,0.06300035,0.19653187
-5.99399700,0.62174341,0.00320176,0.00007742,0.17932349,0.31066659,0.06837852,0.20449853
-5.98799400,0.68436085,0.00393865,0.00009178,0.19303775,0.34258225,0.07604076,0.21894358
-5.98199100,0.76750242,0.00489353,0.00010946,0.21262873,0.38442137,0.08602750,0.23994025
-5.97598799,0.87185105,0.00610764,0.00013088,0.23824649,0.43647588,0.09838062,0.26755859
-5.96998499,0.99804858,0.00762937,0.00015648,0.27003616,0.49899389,0.11313707,0.30185233
-5.96398199,1.14664454,0.00951471,0.00018673,0.30812569,0.57215207,0.13032162,0.34284315
-5.95797899,1.31803856,0.01182755,0.00022215,0.35261157,0.65602535,0.14993885,0.39050273
-5.95197599,1.51241882,0.01463981,0.00026327,0.40354317,0.75055493,0.17196492,0.44473376
-5.94597299,1.72969932,0.01803124,0.00031063,0.46090654,0.85551654,0.19633946,0.50535081
-5.93996998,1.96945920,0.02208894,0.00036481,0.52460832,0.97049049,0.22295795,0.57206207
-5.93396698,2.23088747,0.02690649,0.00042635,0.59446071,1.09483553,0.25166514,0.64445328
-5.92796398,2.51273639,0.03258260,0.00049578,0.67016838,1.22766823,0.28224991,0.72197486
-5.92196098,2.81328684,0.03921930,0.00057361,0.75131817,1.36784991,0.31444193,0.80393339
-5.91595798,3.13032841,0.04691955,0.00066029,0.83737223,1.51398234,0.34791058,0.88948835
-5.90995498,3.46115671,0.05578438,0.00075619,0.92766538,1.66441387,0.38226637,0.97765490
-5.90395198,3.80258941,0.06590942,0.00086161,1.02140702,1.81725644,0.41706499,1.06731315
-5.89794897,4.15100191,0.07738100,0.00097671,1.11768789,1.97041406,0.45181411,1.15722423
-5.89194597,4.50238245,0.09027177,0.00110153,1.21549180,2.12162236,0.48598291,1.24605281
-5.88594297,4.85240565,0.10463612,0.00123596,1.31371187,2.26849840,0.51901397,1.33239586
-5.87993997,5.19652213,0.12050534,0.00137970,1.41117117,2.40859923,0.55033728,1.41481642
-5.87393697,5.53006144,0.13788290,0.00153224,1.50664670,2.53948725,0.57938590,1.49188153
-5.86793397,5.84834437,0.15673993,0.00169287,1.59889623,2.65879972,0.60561249,1.56220266
-5.86193097,6.14680013,0.17701126,0.00186065,1.68668658,2.76431970,0.62850626,1.62447691
-5.85592796,6.42108390,0.19859210,0.00203439,1.76882262,2.85404521,0.64760943,1.67752736
-5.84992496,6.66718972,0.22133580,0.00221267,1.84417555,2.92625356,0.66253250,1.72034059
-5.84392196,6.88155415,0.24505283,0.00239384,1.91170955,2.97955784,0.67296764,1.75209959
-5.83791896,7.06114653,0.26951112,0.00257600,1.97050575,3.01295294,0.67869954,1.77221071
-5.83191596,7.20354248,0.29443805,0.00275709,2.01978258,3.02584890,0.67961321,1.78032311
-5.82591296,7.30697782,0.31952407,0.00293485,2.05891203,3.01809001,0.67569838,1.77634002
-5.81990995,7.37038166,0.34442804,0.00310688,2.08743123,2.98995889,0.66705024,1.76042117
-5.81390695,7.39338797,0.36878414,0.00327073,2.10504919,2.94216543,0.65386653,1.73297644
-5.80790395,7.37632631,0.39221029,0.00342389,2.11164883,2.87582127,0.63644125,1.69465104
-5.80190095,7.32019327,0.41431782,0.00356389,2.10728441,2.79240122,0.61515518,1.64630316
-5.79589795,7.22660696,0.43472194,0.00368836,2.09217484,2.69369375,0.59046372,1.58897519
-5.78989495,7.09774756,0.45305288,0.00379508,2.06669347,2.58174284,0.56288284,1.52385990
-5.78389195,6.93628738,0.46896697,0.00388208,2.03135493,2.45878430,0.53297356,1.45226348
-5.77788894,6.74531377,0.48215744,0.00394766,1.98679981,2.32717931,0.50132590,1.37556690
-5.77188594,6.52824867,0.49236433,0.00399047,1.93377764,2.18934825,0.46854296,1.29518747
-5.76588294,6.28876753,0.49938311,0.00400956,1.87312913,2.04770755,0.43522565,1.21254211
-5.75987994,6.03072077,0.50307161,0.00400441,1.80576796,1.90461188,0.40195891,1.12901384
-5.75387694,5.75805959,0.50335495,0.00397495,1.73266262,1.76230366,0.36929965,1.04592236
-5.74787394,5.47476785,0.50022820,0.00392159,1.65481885,1.62287120,0.33776681,0.96449976
-5.74187094,5.18480076,0.49375667,0.00384518,1.57326267,1.48821623,0.30783378,0.88587162
-5.73586793,4.89203087,0.48407382,0.00374702,1.48902439,1.36003111,0.27992301,0.81104362
-5.72986493,4.60020085,0.47137683,0.00362882,1.40312356,1.23978513,0.25440298,0.74089351
-5.72386193,4.31288272,0.45592015,0.00349264,1.31655495,1.12871930,0.23158696,0.67616781
-5.71785893,4.03344245,0.43800719,0.00334084,1.23027563,1.02784819,0.21173352,0.61748261
-5.71185593,3.76500889,0.41798063,0.00317601,1.14519300,0.93796752,0.19504823,0.56532757
-5.70585293,3.51044618,0.39621173,0.00300091,1.06215395,0.85966582,0.18168613,0.52007220
-5.69984992,3.27232842,0.37308917,0.00281837,0.98193497,0.79333849,0.17175464,0.48197338
-5.69384692,3.05291621,0.34900775,0.00263123,0.90523352,0.73920281,0.16531644,0.45118344
-5.68784392,2.85413439,0.32435758,0.00244226,0.83266040,0.69731266,0.16239204,0.42775779
-5.68184092,2.67755102,0.29951399,0.00225411,0.76473351,0.66757171,0.16296169,0.41166173
-5.67583792,2.52435772,0.27482864,0.00206922,0.70187289,0.64974455,0.16696671,0.40277600
-5.66983492,2.39535206,0.25062198,0.00188979,0.64439728,0.64346543,0.17430994,0.40090079
-5.66383192,2.29092273,0.22717733,0.00171775,0.59252223,0.64824446,0.18485555,0.40575843
-5.65782891,2.21103857,0.20473666,0.00155470,0.54635987,0.66347172,0.19842834,0.41699485
-5.65182591,2.15524273,0.18349802,0.00140192,0.50592044,0.68841994,0.21481273,0.43418031
-5.64582291,2.12265309,0.16361470,0.00126037,0.47111561,0.72224646,0.23375186,0.45680991
-5.63981991,2.11197032,0.14519579,0.00113066,0.44176349,0.76399561,0.25494700,0.48430449
-5.63381691,2.12149446,0.12830815,0.00101312,0.41759549,0.81260230,0.27805782,0.51601251
-5.62781391,2.14915107,0.11297949,0.00090775,0.39826466,0.86689816,0.30270368,0.55121370
-5.62181091,2.19252718,0.09920232,0.00081433,0.38335572,0.92562067,0.32846644,0.58912470
-5.61580790,2.24891740,0.08693848,0.00073240,0.37239622,0.98742636,0.35489472,0.62890749
-5.60980490,2.31537957,0.07612410,0.00066131,0.36486888,1.05090814,0.38151012,0.66968039
-5.60380190,2.38879925,0.06667475,0.00060026,0.36022477,1.11461709,0.40781501,0.71053211
-5.59779890,2.46596149,0.05849045,0.00054835,0.35789692,1.17708831,0.43330204,0.75053832
-5.59179590,2.54362814,0.05146055,0.00050459,0.35731416,1.23687032,0.45746510,0.78878053
-5.58579290,2.61861839,0.04546821,0.00046796,0.35791480,1.29255714,0.47981121,0.82436670
-5.57978989,2.68788979,0.04039443,0.00043744,0.35915966,1.34282184,0.49987313,0.85645269
-5.57378689,2.74861703,0.03612154,0.00041203,0.36054439,1.38645015,0.51722200,0.88426393
-5.56778389,2.79826553,0.03253615,0.00039077,0.36161031,1.42237286,0.53147949,0.90711601
-5.56178089,2.83465689,0.02953151,0.00037277,0.36195391,1.44969516,0.54232893,0.92443356
-5.55577789,2.85602370,0.02700926,0.00035723,0.36123432,1.46772185,0.54952483,0.93576631
-5.54977489,2.86105137,0.02488070,0.00034344,0.35917892,1.47597683,0.55290029,0.94080154
-5.54377189,2.84890534,0.02306752,0.00033079,0.35558662,1.47421596,0.55237195,0.93937229
-5.53776888,2.81924242,0.02150216,0.00031877,0.35032894,1.46243253,0.54794217,0.93146086
-5.53176588,2.77220607,0.02012769,0.00030699,0.34334891,1.44085500,0.53969836,0.91719741
-5.52576288,2.70840568,0.01889748,0.00029512,0.33465771,1.40993694,0.52780936,0.89685356
-5.51975988,2.62888115,0.01777449,0.00028298,0.32432953,1.37033958,0.51251910,0.87083141
-5.51375688,2.53505416,0.01673055,0.00027044,0.31249455,1.32290778,0.49413789,0.83964837
-5.50775388,2.42866869,0.01574527,0.00025745,0.29933071,1.26864042,0.47303157,0.80391848
-5.50175088,2.31172322,0.01480510,0.00024403,0.28505431,1.20865649,0.44960915,0.76433124
-5.49574787,2.18639772,0.01390219,0.00023025,0.26991010,1.14415852,0.42430953,0.72162861
-5.48974487,2.05497848,0.01303328,0.00021623,0.25416104,1.07639460,0.39758772,0.67658145
-5.48374187,1.91978380,0.01219872,0.00020210,0.23807825,1.00662092,0.36990137,0.62996629
-5.47773887,1.78309340,0.01140141,0.00018802,0.22193143,0.93606600,0.34169789,0.58254326
-5.47173587,1.64708410,0.01064595,0.00017417,0.20598017,0.86589801,0.31340290,0.53503623
-5.46573287,1.51377374,0.00993780,0.00016072,0.19046623,0.79719633,0.28541022,0.48811555
-5.45972986,1.38497499,0.00928261,0.00014781,0.17560718,0.73092809,0.25807375,0.44238413
-5.45372686,1.26226006,0.00868561,0.00013560,0.16159145,0.66793024,0.23170139,0.39836702
-5.44772386,1.14693673,0.00815121,0.00012421,0.14857483,0.60889755,0.20655111,0.35650467
-5.44172086,1.04003568,0.00768259,0.00011375,0.13667847,0.55437632,0.18282909,0.31714983
-5.43571786,0.94230861,0.00728149,0.00010430,0.12598836,0.50476377,0.16068973,0.28056785
-5.42971486,0.85423622,0.00694807,0.00009591,0.11655617,0.46031256,0.14023752,0.24694007
-5.42371186,0.77604493,0.00668086,0.00008861,0.10840123,0.42113985,0.12153025,0.21636985
-5.41770885,0.70773093,0.00647684,0.00008242,0.10151372,0.38724031,0.10458340,0.18889080
-5.41170585,0.64908997,0.00633148,0.00007730,0.09585870,0.35850213,0.08937541,0.16447662
-5.40570285,0.59975152,0.00623895,0.00007324,0.09138087,0.33472545,0.07585340,0.14305210
-5.39969985,0.55921577,0.00619232,0.00007018,0.08800992,0.31564230,0.06393915,0.12450472
-5.39369685,0.52689201,0.00618381,0.00006807,0.08566629,0.30093746,0.05353503,0.10869651
-5.38769385,0.50213735,0.00620506,0.00006684,0.08426715,0.29026951,0.04452963,0.09547572
-5.38169085,0.48429447,0.00624740,0.00006641,0.08373249,0.28329150,0.03680298,0.08468791
-5.37568784,0.47272768,0.00630212,0.00006671,0.08399115,0.27967084,0.03023114,0.07618645
-5.36968484,0.46685642,0.00636078,0.00006766,0.08498670,0.27910782,0.02469023,0.06984190
-5.36368184,0.46618565,0.00641544,0.00006919,0.08668303,0.28135262,0.02005967,0.06555049
-5.35767884,0.47033253,0.00645886,0.00007122,0.08906949,0.28622028,0.01622476,0.06324126
-5.35167584,0.47904900,0.00648474,0.00007371,0.09216554,0.29360356,0.01307864,0.06288204
-5.34567284,0.49223996,0.00648787,0.00007658,0.09602469,0.30348327,0.01052359,0.06448403
-5.33966983,0.50997648,0.00646422,0.00007981,0.10073767,0.31593598,0.00847181,0.06810500
-5.33366683,0.53250400,0.00641104,0.00008335,0.10643464,0.33113875,0.00684575,0.07385102
-5.32766383,0.56024483,0.00632686,0.00008718,0.11328632,0.34937076,0.00557804,0.08187657
-5.32166083,0.59379500,0.00621152,0.00009128,0.12150380,0.37101147,0.00461117,0.09238299
-5.31565783,0.63391471,0.00606603,0.00009565,0.13133705,0.39653522,0.00389692,0.10561514
-5.30965483,0.68151244,0.00589257,0.00010029,0.14307180,0.42650195,0.00339559,0.12185609
-5.30365183,0.73762230,0.00569427,0.00010521,0.15702471,0.46154395,0.00307519,0.14141988
-5.29764882,0.80337450,0.00547512,0.00011044,0.17353685,0.50234848,0.00291060,0.16464212
-5.29164582,0.87995911,0.00523975,0.00011600,0.19296521,0.54963632,0.00288261,0.19186853
-5.28564282,0.96858324,0.00499328,0.00012191,0.21567242,0.60413638,0.00297706,0.22344152
-5.27963982,1.07042227,0.00474107,0.00012822,0.24201473,0.66655665,0.00318396,0.25968482
-5.27363682,1.18656590,0.00448860,0.00013495,0.27232830,0.73755203,0.00349670,0.30088661
-5.26763382,1.31796035,0.00424124,0.00014213,0.30691421,0.81768977,0.00391126,0.34728144
-5.26163082,1.46534823,0.00400412,0.00014979,0.34602243,0.90741337,0.00442550,0.39903157
-5.25562781,1.62920803,0.00378196,0.00015795,0.38983531,1.00700635,0.00503854,0.45620829
-5.24962481,1.80969570,0.00357899,0.00016662,0.43845120,1.11655706,0.00575016,0.51877415
-5.24362181,2.00659073,0.00339883,0.00017579,0.49186875,1.23592622,0.00656029,0.58656684
-5.23761881,2.21924972,0.00324449,0.00018544,0.54997279,1.36471895,0.00746860,0.65928570
-5.23161581,2.44657015,0.00311830,0.00019555,0.61252244,1.50226282,0.00847417,0.73648181
-5.22561281,2.68696729,0.00302194,0.00020604,0.67914238,1.64759385,0.00957519,0.81755254
-5.21960980,2.93836660,0.00295652,0.00021686,0.74931795,1.79945187,0.01076886,0.90174131
-5.21360680,3.19821388,0.00292260,0.00022790,0.82239470,1.95628646,0.01205135,0.98814315
-5.20760380,3.46350448,0.00292032,0.00023905,0.89758301,2.11627446,0.01341783,1.07571658
-5.20160080,3.73083239,0.00294952,0.00025018,0.97396812,2.27734952,0.01486271,1.16330171
-5.19559780,3.99645888,0.00300988,0.00026116,1.05052552,2.43724337,0.01637994,1.24964460
-5.18959480,4.25639953,0.00310105,0.00027182,1.12614175,2.59353826,0.01796338,1.33342716
-5.18359180,4.50652742,0.00322284,0.00028200,1.19964010,2.74372920,0.01960738,1.41330184
-5.17758879,4.74268913,0.00337535,0.00029154,1.26981043,2.88529395,0.02130734,1.48792995
-5.17158579,4.96082952,0.00355911,0.00030028,1.33544228,3.01576831,0.02306034,1.55602210
-5.16558279,5.15712041,0.00377525,0.00030807,1.39536000,3.13282389,0.02486584,1.61637919
-5.15957979,5.32808765,0.00402557,0.00031479,1.44845857,3.23434487,0.02672631,1.66793227
-5.15357679,5.47073113,0.00431261,0.00032033,1.49373851,3.31850062,0.02864781,1.70977923
-5.14757379,5.58263203,0.00463976,0.00032462,1.53033854,3.38381070,0.03064049,1.74121688
