energy_ev,total_up,Ge_p_up,Ge_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,4.91211807,0.15185036,0.00000000,1.65012815,2.60291768,0.01584418,2.61339201
-5.99399700,5.00115110,0.15343819,0.00000000,1.66608926,2.66769522,0.01656216,2.66362284
-5.98799400,5.07574476,0.15494638,0.00000000,1.67685485,2.72367543,0.01727637,2.70523121
-5.98199100,5.13506438,0.15636080,0.00000000,1.68235223,2.77021940,0.01797892,2.73773770
-5.97598799,5.17848368,0.15766520,0.00000000,1.68257492,2.80684153,0.01866164,2.76080015
-5.96998499,5.20560485,0.15884213,0.00000000,1.67758674,2.83322124,0.01931621,2.77422429
-5.96398199,5.21627356,0.15987393,0.00000000,1.66752443,2.84921026,0.01993427,2.77797051
-5.95797899,5.21058789,0.16074372,0.00000000,1.65259836,2.85483511,0.02050764,2.77215658
-5.95197599,5.18890080,0.16143648,0.00000000,1.63309115,2.85029484,0.02102841,2.75705614
-5.94597299,5.15181568,0.16193994,0.00000000,1.60935410,2.83595406,0.02148919,2.73309281
-5.93996998,5.10017501,0.16224543,0.00000000,1.58180132,2.81233168,0.02188329,2.70083018
-5.93396698,5.03504266,0.16234851,0.00000000,1.55090180,2.78008598,0.02220487,2.66095815
-5.92796398,4.95768034,0.16224939,0.00000000,1.51716961,2.73999653,0.02244914,2.61427606
-5.92196098,4.86951913,0.16195318,0.00000000,1.48115263,2.69294392,0.02261253,2.56167332
-5.91595798,4.77212738,0.16146982,0.00000000,1.44342024,2.63988807,0.02269278,2.50410837
-5.90995498,4.66717617,0.16081390,0.00000000,1.40455054,2.58184607,0.02268907,2.44258677
-5.90395198,4.55640354,0.16000425,0.00000000,1.36511758,2.51987024,0.02260211,2.37813919
-5.89794897,4.44157915,0.15906332,0.00000000,1.32567919,2.45502720,0.02243413,2.31180025
-5.89194597,4.32447020,0.15801657,0.00000000,1.28676596,2.38837865,0.02218890,2.24458869
