energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,9.66693848,0.01268612,1.59278337,2.24650731,5.88180695,0.08443706,1.94616393
-5.99399700,9.87931163,0.01259681,1.65856633,2.28424441,6.03021764,0.08659471,1.94645473
-5.98799400,10.10305065,0.01254628,1.72539707,2.31866634,6.18791580,0.08888150,1.94922227
-5.98199100,10.33655926,0.01253114,1.79271236,2.34939726,6.35398028,0.09124282,1.95448695
-5.97598799,10.57763534,0.01254763,1.85987028,2.37606654,6.52704728,0.09362283,1.96213907
-5.96998499,10.82348971,0.01259181,1.92615574,2.39831697,6.70531644,0.09596580,1.97194125
-5.96398199,11.07079073,0.01265973,1.99078969,2.41581491,6.88657495,0.09821732,1.98353641
-5.95797899,11.31573448,0.01274765,2.05294205,2.42826191,7.06823978,0.10032570,1.99646070
-5.95197599,11.55413862,0.01285223,2.11174819,2.43540749,7.24741714,0.10224309,2.01016116
-5.94597299,11.78155762,0.01297063,2.16632860,2.43706246,7.42097777,0.10392671,2.02401709
-5.93996998,11.99341525,0.01310071,2.21581130,2.43311227,7.58564568,0.10533982,2.03736441
-5.93396698,12.18515022,0.01324106,2.25935633,2.42352977,7.73809746,0.10645263,2.04952191
-5.92796398,12.35236941,0.01339104,2.29618143,2.40838700,7.87506878,0.10724295,2.05981829
-5.92196098,12.49100338,0.01355078,2.32558820,2.38786517,7.99346420,0.10769678,2.06761894
-5.91595798,12.59745812,0.01372111,2.34698756,2.36226279,8.09046629,0.10780850,2.07235140
-5.90995498,12.66875728,0.01390341,2.35992371,2.33200121,8.16363984,0.10758103,2.07352844
-5.90395198,12.70266930,0.01409949,2.36409553,2.29762753,8.21102714,0.10702563,2.07076787
-5.89794897,12.69781424,0.01431138,2.35937446,2.25981438,8.23123057,0.10616157,2.06380851
-5.89194597,12.65374599,0.01454109,2.34581813,2.21935665,8.22347899,0.10501555,2.05252146
-5.88594297,12.57100599,0.01479038,2.32367895,2.17716483,8.18767519,0.10362097,2.03691659
-5.87993997,12.45114600,0.01506056,2.29340708,2.13425493,8.12442216,0.10201705,2.01714391
-5.87393697,12.29671817,0.01535220,2.25564749,2.09173493,8.03502674,0.10024774,1.99348982
-5.86793397,12.11123203,0.01566504,2.21123079,2.05078780,7.92148016,0.09836061,1.96636864
-5.86193097,11.89907899,0.01599775,2.16115795,2.01265096,7.78641550,0.09640563,1.93630955
-5.85592796,11.66542627,0.01634789,2.10657908,1.97859246,7.63304344,0.09443385,1.90393977
-5.84992496,11.41608326,0.01671187,2.04876673,1.94988405,7.46506790,0.09249611,1.86996448
-5.84392196,11.15734397,0.01708496,1.98908430,1.92777139,7.28658453,0.09064175,1.83514434
-5.83791896,10.89581075,0.01746144,1.92895048,1.91344195,7.10196497,0.08891731,1.80027150
-5.83191596,10.63820455,0.01783470,1.86980064,1.90799126,6.91573103,0.08736535,1.76614493
-5.82591296,10.39116796,0.01819749,1.81304640,1.91238832,6.73242271,0.08602328,1.73354608
-5.81990995,10.16106748,0.01854220,1.76003452,1.92744125,6.55646465,0.08492236,1.70321560
-5.81390695,9.95380168,0.01886111,1.71200664,1.95376442,6.39203547,0.08408681,1.67583210
-5.80790395,9.77462176,0.01914674,1.67006102,1.99174843,6.24294435,0.08353309,1.65199351
-5.80190095,9.62797088,0.01939211,1.63511785,2.04153436,6.11251926,0.08326939,1.63220178
-5.79589795,9.51734808,0.01959106,1.60788925,2.10299401,6.00351047,0.08329526,1.61685140
-5.78989495,9.44520182,0.01973851,1.58885535,2.17571730,5.91801281,0.08360157,1.60622198
-5.78389195,9.41285735,0.01983061,1.57824724,2.25900848,5.85740936,0.08417067,1.60047522
-5.77788894,9.42048115,0.01986493,1.57603785,2.35189193,5.82233865,0.08497676,1.59965625
-5.77188594,9.46708403,0.01984052,1.58194118,2.45312852,5.81268643,0.08598666,1.60369920
-5.76588294,9.55056374,0.01975789,1.59542014,2.56124258,5.82760253,0.08716067,1.61243675
-5.75987994,9.66778584,0.01961898,1.61570317,2.67455954,5.86554227,0.08845381,1.62561329
