energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-6.00000000,1.89548231,-2.19933708,0.50741522,-0.64456183,0.49822214,-0.57258502,0.02218372,-0.02628735,0.50610178,-0.53208902,0.47826128,-0.60583599,0.00000000,-0.00000000
-5.99399700,1.84877418,-2.11508710,0.48555325,-0.61151318,0.48687462,-0.55043804,0.02157051,-0.02524179,0.50393995,-0.51945128,0.45740167,-0.57593313,0.00000000,-0.00000000
-5.98799400,1.81137781,-2.03601339,0.46678481,-0.57983591,0.47820347,-0.52974855,0.02108733,-0.02423581,0.50404716,-0.50852553,0.43907531,-0.54704282,0.00000000,-0.00000000
-5.98199100,1.78349560,-1.96346174,0.45126646,-0.55003675,0.47225428,-0.51089959,0.02074324,-0.02329416,0.50639796,-0.49956169,0.42341027,-0.51959831,0.00000000,-0.00000000
-5.97598799,1.76508947,-1.89858938,0.43908034,-0.52256525,0.46899849,-0.49422037,0.02054330,-0.02243948,0.51091469,-0.49276217,0.41046578,-0.49398432,0.00000000,-0.00000000
-5.96998499,1.75589581,-1.84233542,0.43023791,-0.49780442,0.46833720,-0.47997693,0.02048873,-0.02169160,0.51747213,-0.48827617,0.40023520,-0.47052779,0.00000000,-0.00000000
-5.96398199,1.75544707,-1.79540038,0.42468553,-0.47606419,0.47010723,-0.46836535,0.02057707,-0.02106708,0.52590358,-0.48619619,0.39265098,-0.44949137,0.00000000,-0.00000000
-5.95797899,1.76309841,-1.75823522,0.42231116,-0.45757768,0.47408889,-0.45950774,0.02080252,-0.02057881,0.53600778,-0.48655660,0.38759106,-0.43106936,0.00000000,-0.00000000
-5.95197599,1.77805790,-1.73103962,0.42295203,-0.44250020,0.48001530,-0.45345086,0.02115642,-0.02023573,0.54755659,-0.48933440,0.38488637,-0.41538631,0.00000000,-0.00000000
-5.94597299,1.79941872,-1.71376897,0.42640258,-0.43091074,0.48758262,-0.45016746,0.02162773,-0.02004283,0.56030269,-0.49445191,0.38432908,-0.40249800,0.00000000,-0.00000000
