energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,6.19869040,0.05103468,1.50929910,0.60092601,0.48078763,3.16463663,2.66492585,1.80569306,0.00000000
-5.99399700,5.96728095,0.04966886,1.42159717,0.59573268,0.46747798,3.00234087,2.53084406,1.76786423,0.00000000
-5.98799400,5.73375389,0.04811418,1.33643936,0.58973257,0.45310038,2.84232524,2.39995801,1.72610806,0.00000000
-5.98199100,5.49958538,0.04639524,1.25442149,0.58287693,0.43777182,2.68584126,2.27297769,1.68064312,0.00000000
-5.97598799,5.26619583,0.04453821,1.17603580,0.57514956,0.42162338,2.53401997,2.15048414,1.63177536,0.00000000
-5.96998499,5.03493814,0.04257001,1.10167142,0.56656505,0.40479762,2.38786827,2.03293479,1.57988966,0.00000000
-5.96398199,4.80709092,0.04051756,1.03161780,0.55716675,0.38744594,2.24826984,1.92067231,1.52544064,0.00000000
-5.95797899,4.58385690,0.03840710,0.96607093,0.54702452,0.36972638,2.11599058,1.81393668,1.46894342,0.00000000
-5.95197599,4.36636678,0.03626365,0.90514201,0.53623245,0.35180165,1.99168811,1.71288007,1.41096458,0.00000000
-5.94597299,4.15568825,0.03411051,0.84886825,0.52490665,0.33383767,1.87592493,1.61758380,1.35211379,0.00000000
-5.93996998,3.95283958,0.03196903,0.79722542,0.51318319,0.31600253,1.76918453,1.52807689,1.29303629,0.00000000
-5.93396698,3.75880691,0.02985833,0.75014148,0.50121630,0.29846595,1.67188978,1.44435537,1.23440634,0.00000000
-5.92796398,3.57456424,0.02779534,0.70751100,0.48917683,0.28139904,1.58442259,1.36640166,1.17692166,0.00000000
-5.92196098,3.40109450,0.02579473,0.66920961,0.47725085,0.26497445,1.50714403,1.29420317,1.12129875,0.00000000
-5.91595798,3.23941039,0.02386911,0.63510810,0.46563858,0.24936673,1.44041385,1.22776943,1.06826890,0.00000000
-5.90995498,3.09057336,0.02202916,0.60508545,0.45455325,0.23475270,1.38460843,1.16714692,1.01857462,0.00000000
-5.90395198,2.95570905,0.02028390,0.57904048,0.44422006,0.22131181,1.34013621,1.11243109,0.97296612,0.00000000
-5.89794897,2.83601775,0.01864090,0.55690152,0.43487486,0.20922626,1.30744975,1.06377488,0.93219754,0.00000000
-5.89194597,2.73277860,0.01710656,0.53863376,0.42676248,0.19868085,1.28705350,1.02139337,0.89702230,0.00000000
-5.88594297,2.64734627,0.01568631,0.52424414,0.42013468,0.18986223,1.27950685,0.98556432,0.86818755,0.00000000
-5.87993997,2.58113938,0.01438484,0.51378327,0.41524725,0.18295768,1.28542187,0.95662430,0.84642695,0.00000000
-5.87393697,2.53562019,0.01320627,0.50734471,0.41235648,0.17815318,1.30545531,0.93496068,0.83245174,0.00000000
-5.86793397,2.51226532,0.01215427,0.50506124,0.41171471,0.17563069,1.34029506,0.92099940,0.82693982,0.00000000
-5.86193097,2.51252790,0.01123210,0.50709850,0.41356499,0.17556473,1.39064085,0.91518906,0.83052265,0.00000000
-5.85592796,2.53779171,0.01044269,0.51364605,0.41813487,0.17811818,1.45717973,0.91798165,0.84377009,0.00000000
-5.84992496,2.58931849,0.00978858,0.52490629,0.42562940,0.18343735,1.54055670,0.92981070,0.86717330,0.00000000
-5.84392196,2.66818974,0.00927188,0.54108149,0.43622360,0.19164646,1.64134130,0.95106734,0.90112604,0.00000000
-5.83791896,2.77524505,0.00889415,0.56235949,0.45005448,0.20284162,1.75999103,0.98207531,0.94590486,0.00000000
-5.83191596,2.91101894,0.00865627,0.58889850,0.46721309,0.21708462,1.89681266,1.02306568,1.00164892,0.00000000
-5.82591296,3.07567872,0.00855831,0.62081157,0.48773677,0.23439656,2.05192273,1.07415223,1.06834013,0.00000000
-5.81990995,3.26896606,0.00859938,0.65815128,0.51160220,0.25475180,2.22520868,1.13530846,1.14578470,0.00000000
-5.81390695,3.49014501,0.00877745,0.70089525,0.53871951,0.27807246,2.41629204,1.20634721,1.23359706,0.00000000
