energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,Se_s_up,Se_p_up
-6.00000000,19.37524570,1.94048743,16.44532559,1.49790690,0.00000000,0.12105314,0.94487649
-5.99399700,19.33248023,1.96438654,16.37697300,1.49559223,0.00000000,0.12192616,0.96592039
-5.98799400,19.24713300,1.99108335,16.26837339,1.49032826,0.00000000,0.12250165,0.98565533
-5.98199100,19.11733261,2.02007583,16.11829334,1.48196089,0.00000000,0.12274692,1.00385341
-5.97598799,18.94220614,2.05087711,15.92637849,1.47040814,0.00000000,0.12263571,1.02034125
-5.96998499,18.72192816,2.08302691,15.69319005,1.45566242,0.00000000,0.12214895,1.03500442
-5.96398199,18.45773336,2.11610047,15.42020969,1.43779009,0.00000000,0.12127525,1.04778996
-5.95797899,18.15189183,2.14971479,15.10981225,1.41692829,0.00000000,0.12001134,1.05870675
-5.95197599,17.80764753,2.18353162,14.76520705,1.39327920,0.00000000,0.11836213,1.06782375
-5.94597299,17.42912209,2.21725723,14.39035001,1.36710186,0.00000000,0.11634068,1.07526594
-5.93996998,17.02118759,2.25063899,13.98982981,1.33870202,0.00000000,0.11396784,1.08120817
-5.93396698,16.58931326,2.28345886,13.56873290,1.30842042,0.00000000,0.11127167,1.08586695
-5.92796398,16.13939228,2.31552441,13.13249235,1.27662003,0.00000000,0.10828669,1.08949050
-5.92196098,15.67755556,2.34665786,12.68672700,1.24367280,0.00000000,0.10505287,1.09234743
-5.91595798,15.20998028,2.37668404,12.23707710,1.20994660,0.00000000,0.10161447,1.09471445
-5.90995498,14.74270083,2.40541809,11.78904310,1.17579285,0.00000000,0.09801884,1.09686365
-5.90395198,14.28143003,2.43265400,11.34783405,1.14153546,0.00000000,0.09431503,1.09904989
-5.89794897,13.83139784,2.45815485,10.91823138,1.10746160,0.00000000,0.09055249,1.10149891
-5.89194597,13.39721408,2.48164574,10.50447338,1.07381449,0.00000000,0.08677976,1.10439678
-5.88594297,12.98276060,2.50281018,10.11016456,1.04078880,0.00000000,0.08304321,1.10788112
-5.87993997,12.59111684,2.52129054,9.73821299,1.00852851,0.00000000,0.07938598,1.11203472
-5.87393697,12.22452144,2.53669278,9.39079746,0.97712744,0.00000000,0.07584704,1.11688189
-5.86793397,11.88437053,2.54859570,9.06936482,0.94663222,0.00000000,0.07246046,1.12238773
-5.86193097,11.57125201,2.55656431,8.77465678,0.91704750,0.00000000,0.06925490,1.12846055
-5.85592796,11.28501311,2.56016676,8.50676379,0.88834297,0.00000000,0.06625330,1.13495730
-5.84992496,11.02485715,2.55899413,8.26520263,0.86046189,0.00000000,0.06347282,1.14169191
-5.84392196,10.78946413,2.55268191,8.04901329,0.83333039,0.00000000,0.06092501,1.14844600
-5.83791896,10.57712844,2.54093199,7.85686990,0.80686712,0.00000000,0.05861611,1.15498167
-5.83191596,10.38590659,2.52353392,7.68719983,0.78099277,0.00000000,0.05654754,1.16105552
-5.82591296,10.21376716,2.50038402,7.53830493,0.75563871,0.00000000,0.05471654,1.16643338
-5.81990995,10.05873540,2.47150128,7.40847890,0.73075446,0.00000000,0.05311689,1.17090476
-5.81390695,9.91902506,2.43703879,7.29611486,0.70631360,0.00000000,0.05173964,1.17429650
-5.80790395,9.79315109,2.39729008,7.19979828,0.68231764,0.00000000,0.05057390,1.17648456
-5.80190095,9.68001757,2.35268956,7.11838056,0.65879796,0.00000000,0.04960758,1.17740356
-5.79589795,9.57897670,2.30380707,7.05103035,0.63581548,0.00000000,0.04882808,1.17705335
-5.78989495,9.48985637,2.25133631,6.99726012,0.61345836,0.00000000,0.04822289,1.17550215
-5.78389195,9.41295514,2.19607785,6.95692750,0.59183776,0.00000000,0.04778004,1.17288619
-5.77788894,9.34900534,2.13891709,6.93021157,0.57108195,0.00000000,0.04748852,1.16940559
-5.77188594,9.29910673,2.08079828,6.91756600,0.55132921,0.00000000,0.04733844,1.16531676
-5.76588294,9.26463433,2.02269561,6.91965192,0.53271983,0.00000000,0.04732119,1.16092157
-5.75987994,9.24712580,1.96558263,6.93725451,0.51538774,0.00000000,0.04742935,1.15655376
-5.75387694,9.24815435,1.91040133,6.97118803,0.49945217,0.00000000,0.04765661,1.15256340
-5.74787394,9.26919429,1.85803206,7.02219482,0.48500983,0.00000000,0.04799748,1.14929995
-5.74187094,9.31148649,1.80926566,7.09084386,0.47212800,0.00000000,0.04844700,1.14709494
-5.73586793,9.37591116,1.76477887,7.17743476,0.46083886,0.00000000,0.04900043,1.14624516
-5.72986493,9.46287506,1.72511392,7.28191276,0.45113545,0.00000000,0.04965288,1.14699710
-5.72386193,9.57221954,1.69066317,7.40379960,0.44296927,0.00000000,0.05039900,1.14953372
-5.71785893,9.70315470,1.66165920,7.54214466,0.43624991,0.00000000,0.05123265,1.15396405
-5.71185593,9.85422402,1.63817089,7.69549961,0.43084639,0.00000000,0.05214678,1.16031636
-5.70585293,10.02330188,1.62010531,7.86191849,0.42659051,0.00000000,0.05313325,1.16853536
-5.69984992,10.20762514,1.60721547,8.03898420,0.42328169,0.00000000,0.05418285,1.17848350
-5.69384692,10.40385795,1.59911342,8.22386073,0.42069341,0.00000000,0.05528547,1.18994657
-5.68784392,10.60818757,1.59528826,8.41336928,0.41858063,0.00000000,0.05643028,1.20264328
-5.68184092,10.81644708,1.59512817,8.60408518,0.41668817,0.00000000,0.05760608,1.21623844
-5.67583792,11.02425981,1.59794568,8.79245132,0.41475941,0.00000000,0.05880181,1.23035917
