energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,2.10073045,0.01704265,0.15096320,0.61280357,0.77287075,0.09831023,0.00991088,1.02050505
-5.99399700,2.06420072,0.01597855,0.15621187,0.60821503,0.77556053,0.09735194,0.00928886,0.98606270
-5.98799400,2.03580007,0.01491030,0.16206633,0.60634264,0.78266161,0.09728445,0.00869616,0.95472359
-5.98199100,2.01701914,0.01385451,0.16851639,0.60751528,0.79469570,0.09819849,0.00814245,0.92734498
-5.97598799,2.00913189,0.01282693,0.17553182,0.61199078,0.81209114,0.10017310,0.00763708,0.90468859
-5.96998499,2.01315683,0.01184224,0.18306212,0.61994705,0.83516735,0.10327368,0.00718902,0.88739917
-5.96398199,2.02982528,0.01091372,0.19103707,0.63147540,0.86412203,0.10755022,0.00680672,0.87598647
-5.95797899,2.05955813,0.01005308,0.19936806,0.64657637,0.89902154,0.11303568,0.00649801,0.87081091
-5.95197599,2.10245147,0.00927033,0.20795024,0.66515827,0.93979503,0.11974470,0.00627005,0.87207356
-5.94597299,2.15827195,0.00857363,0.21666534,0.68703834,0.98623232,0.12767249,0.00612919,0.87981087
-5.93996998,2.22646175,0.00796929,0.22538503,0.71194664,1.03798603,0.13679405,0.00608096,0.89389401
-5.93396698,2.30615305,0.00746180,0.23397478,0.73953248,1.09457756,0.14706376,0.00612989,0.91403318
-5.92796398,2.39619137,0.00705381,0.24229788,0.76937313,1.15540707,0.15841521,0.00627949,0.93978645
-5.92196098,2.49516695,0.00674628,0.25021961,0.80098452,1.21976690,0.17076152,0.00653210,0.97057309
-5.91595798,2.60145292,0.00653857,0.25761119,0.83383360,1.28685813,0.18399590,0.00688881,1.00569061
-5.90995498,2.71324901,0.00642858,0.26435352,0.86735186,1.35580965,0.19799269,0.00734932,1.04433534
-5.90395198,2.82862913,0.00641291,0.27034039,0.90094950,1.42569901,0.21260879,0.00791183,1.08562542
-5.89794897,2.94559124,0.00648705,0.27548103,0.93403000,1.49557443,0.22768534,0.00857296,1.12862584
-5.89194597,3.06210798,0.00664550,0.27970209,0.96600433,1.56447724,0.24304995,0.00932759,1.17237445
-5.88594297,3.17617619,0.00688198,0.28294876,0.99630469,1.63146386,0.25851910,0.01016886,1.21590812
-5.87993997,3.28586420,0.00718960,0.28518515,1.02439711,1.69562687,0.27390096,0.01108804,1.25828843
-5.87393697,3.38935529,0.00756100,0.28639403,1.04979281,1.75611437,0.28899848,0.01207459,1.29862581
-5.86793397,3.48498641,0.00798848,0.28657580,1.07205791,1.81214731,0.30361264,0.01311616,1.33610162
-5.86193097,3.57128121,0.00846416,0.28574703,1.09082147,1.86303425,0.31754599,0.01419869,1.36998748
-5.85592796,3.64697693,0.00898009,0.28393857,1.10578149,1.90818341,0.33060620,0.01530660,1.39966130
-5.84992496,3.71104470,0.00952832,0.28119344,1.11670916,1.94711196,0.34260975,0.01642296,1.42461971
-5.84392196,3.76270326,0.01010099,0.27756458,1.12345105,1.97945231,0.35338553,0.01752982,1.44448659
-5.83791896,3.80142619,0.01069039,0.27311272,1.12592948,2.00495585,0.36277835,0.01860854,1.45901762
-5.83191596,3.82694313,0.01128899,0.26790433,1.12414123,2.02349399,0.37065225,0.01964020,1.46810095
-5.82591296,3.83923523,0.01188947,0.26200996,1.11815455,2.03505700,0.37689350,0.02060601,1.47175403
-5.81990995,3.83852557,0.01248471,0.25550280,1.10810481,2.03975079,0.38141324,0.02148783,1.47011703
-5.81390695,3.82526517,0.01306781,0.24845768,1.09418887,2.03779185,0.38414959,0.02226861,1.46344316
-5.80790395,3.80011505,0.01363206,0.24095036,1.07665841,2.02950076,0.38506927,0.02293289,1.45208629
-5.80190095,3.76392522,0.01417098,0.23305721,1.05581244,2.01529428,0.38416856,0.02346720,1.43648656
-5.79589795,3.71771089,0.01467824,0.22485507,1.03198911,1.99567625,0.38147354,0.02386050,1.41715426
-5.78989495,3.66262659,0.01514777,0.21642131,1.00555714,1.97122742,0.37703971,0.02410449,1.39465272
-5.78389195,3.59993863,0.01557368,0.20783396,0.97690689,1.94259420,0.37095077,0.02419385,1.36958072
-5.77788894,3.53099634,0.01595042,0.19917180,0.94644152,1.91047645,0.36331675,0.02412641,1.34255486
-5.77188594,3.45720235,0.01627273,0.19051433,0.91456816,1.87561423,0.35427146,0.02390321,1.31419234
-5.76588294,3.37998253,0.01653584,0.18194159,0.88168945,1.83877355,0.34396932,0.02352843,1.28509472
-5.75987994,3.30075583,0.01673551,0.17353368,0.84819563,1.80073135,0.33258159,0.02300924,1.25583295
-5.75387694,3.22090449,0.01686821,0.16537007,0.81445722,1.76225958,0.32029234,0.02235559,1.22693386
-5.74787394,3.14174517,0.01693123,0.15752859,0.78081863,1.72410888,0.30729400,0.02157986,1.19886865
-5.74187094,3.06450154,0.01692288,0.15008428,0.74759272,1.68699196,0.29378284,0.02069644,1.17204336
-5.73586793,2.99027893,0.01684260,0.14310792,0.71505643,1.65156718,0.27995441,0.01972132,1.14679153
-5.72986493,2.92004176,0.01669116,0.13666461,0.68344770,1.61842277,0.26599926,0.01867159,1.12336924
-5.72386193,2.85459436,0.01647074,0.13081228,0.65296353,1.58806233,0.25209879,0.01756493,1.10195244
-5.71785893,2.79456600,0.01618510,0.12560024,0.62375945,1.56089208,0.23842175,0.01641916,1.08263674
-5.71185593,2.74040062,0.01583959,0.12106806,0.59595010,1.53721055,0.22512112,0.01525176,1.06543946
-5.70585293,2.69235199,0.01544121,0.11724459,0.56961118,1.51720125,0.21233181,0.01407944,1.05030393
-5.69984992,2.65048457,0.01499860,0.11414749,0.54478239,1.50092887,0.20016894,0.01291782,1.03710587
-5.69384692,2.61468034,0.01452199,0.11178306,0.52147134,1.48833933,0.18872700,0.01178111,1.02566174
-5.68784392,2.58465174,0.01402307,0.11014665,0.49965836,1.47926394,0.17807974,0.01068187,1.01573863
-5.68184092,2.55996026,0.01351485,0.10922345,0.47930176,1.47342773,0.16828077,0.00963090,1.00706556
-5.67583792,2.54004040,0.01301146,0.10898980,0.46034362,1.47046181,0.15936485,0.00863714,0.99934584
-5.66983492,2.52422808,0.01252791,0.10941480,0.44271563,1.46991940,0.15134986,0.00770770,0.99226994
-5.66383192,2.51179255,0.01207986,0.11046235,0.42634491,1.47129489,0.14423911,0.00684786,0.98552871
-5.65782891,2.50197052,0.01168327,0.11209332,0.41115951,1.47404529,0.13802414,0.00606125,0.97882624
-5.65182591,2.49400113,0.01135417,0.11426787,0.39709337,1.47761310,0.13268764,0.00534993,0.97189213
-5.64582291,2.48716028,0.01110829,0.11694775,0.38409068,1.48144954,0.12820643,0.00471468,0.96449254
-5.63981991,2.48079266,0.01096077,0.12009841,0.37210927,1.48503718,0.12455438,0.00415511,0.95643983
-5.63381691,2.47434026,0.01092583,0.12369096,0.36112315,1.48791079,0.12170502,0.00366995,0.94760014
-5.62781391,2.46736567,0.01101649,0.12770364,0.35112392,1.48967552,0.11963380,0.00325727,0.93789881
-5.62181091,2.45956952,0.01124429,0.13212299,0.34212123,1.49002145,0.11831982,0.00291466,0.92732343
-5.61580790,2.45080078,0.01161898,0.13694440,0.33414204,1.48873389,0.11774694,0.00263950,0.91592415
-5.60980490,2.44105992,0.01214831,0.14217223,0.32722909,1.48569901,0.11790431,0.00242910,0.90381158
-5.60380190,2.43049444,0.01283777,0.14781937,0.32143830,1.48090451,0.11878612,0.00228088,0.89115205
-5.59779890,2.41938739,0.01369041,0.15390633,0.31683550,1.47443550,0.12039072,0.00219252,0.87816071
-5.59179590,2.40813939,0.01470668,0.16045985,0.31349263,1.46646589,0.12271909,0.00216203,0.86509250
-5.58579290,2.39724521,0.01588428,0.16751122,0.31148340,1.45724582,0.12577284,0.00218788,0.85223170
-5.57978989,2.38726615,0.01721804,0.17509432,0.31087883,1.44708599,0.12955163,0.00226902,0.83988020
-5.57378689,2.37879975,0.01869991,0.18324341,0.31174275,1.43633973,0.13405047,0.00240488,0.82834526
-5.56778389,2.37244823,0.02031890,0.19199096,0.31412741,1.42538386,0.13925674,0.00259537,0.81792713
-5.56178089,2.36878737,0.02206116,0.20136546,0.31806948,1.41459931,0.14514739,0.00284084,0.80890712
-5.55577789,2.36833712,0.02391006,0.21138924,0.32358647,1.40435248,0.15168628,0.00314197,0.80153652
-5.54977489,2.37153531,0.02584634,0.22207660,0.33067376,1.39497825,0.15882196,0.00349971,0.79602685
-5.54377189,2.37871539,0.02784834,0.23343200,0.33930226,1.38676523,0.16648601,0.00391513,0.79254172
-5.53776888,2.39008899,0.02989228,0.24544857,0.34941686,1.37994392,0.17459207,0.00438925,0.79119059
-5.53176588,2.40573364,0.03195265,0.25810678,0.36093551,1.37467795,0.18303570,0.00492289,0.79202443
-5.52576288,2.42558584,0.03400254,0.27137335,0.37374910,1.37105856,0.19169510,0.00551649,0.79503346
-5.51975988,2.44943919,0.03601420,0.28520041,0.38772199,1.36910231,0.20043268,0.00616989,0.80014684
-5.51375688,2.47694727,0.03795949,0.29952477,0.40269318,1.36875156,0.20909755,0.00688217,0.80723412
-5.50775388,2.50763064,0.03981043,0.31426746,0.41847805,1.36987759,0.21752882,0.00765142,0.81610836
-5.50175088,2.54088726,0.04153983,0.32933340,0.43487058,1.37228572,0.22555948,0.00847460,0.82653057
-5.49574787,2.57600564,0.04312178,0.34461130,0.45164603,1.37572207,0.23302093,0.00934736,0.83821531
-5.48974487,2.61218004,0.04453228,0.35997379,0.46856396,1.37988132,0.23974777,0.01026394,0.85083712
-5.48374187,2.64852706,0.04574974,0.37527787,0.48537159,1.38441534,0.24558274,0.01121709,0.86403761
-5.47773887,2.68410320,0.04675543,0.39036566,0.50180744,1.38894198,0.25038163,0.01219804,0.87743296
-5.47173587,2.71792301,0.04753399,0.40506568,0.51760514,1.39305411,0.25401780,0.01319650,0.89062169
-5.46573287,2.74897751,0.04807366,0.41919455,0.53249755,1.39632848,0.25638624,0.01420082,0.90319262
-5.45972986,2.77625296,0.04836659,0.43255933,0.54622098,1.39833457,0.25740699,0.01519809,0.91473283
-5.45372686,2.79874976,0.04840895,0.44496039,0.55851960,1.39864322,0.25702762,0.01617436,0.92483560
-5.44772386,2.81550152,0.04820099,0.45619502,0.56915001,1.39683521,0.25522481,0.01711498,0.93310838
-5.44172086,2.82559431,0.04774692,0.46606154,0.57788574,1.39250983,0.25200499,0.01800484,0.93918050
-5.43571786,2.82818590,0.04705482,0.47436399,0.58452189,1.38529337,0.24740382,0.01882886,0.94271080
-5.42971486,2.82252486,0.04613628,0.48091728,0.58887954,1.37484761,0.24148485,0.01957230,0.94339493
-5.42371186,2.80796920,0.04500612,0.48555245,0.59081002,1.36087824,0.23433710,0.02022126,0.94097223
-5.41770885,2.78400397,0.04368193,0.48812219,0.59019877,1.34314293,0.22607203,0.02076305,0.93523205
-5.41170585,2.75025739,0.04218361,0.48850595,0.58696876,1.32145894,0.21681977,0.02118664,0.92601933
-5.40570285,2.70651477,0.04053285,0.48661486,0.58108317,1.29570993,0.20672495,0.02148298,0.91323918
-5.39969985,2.65272950,0.03875263,0.48239575,0.57254733,1.26585167,0.19594221,0.02164535,0.89686028
-5.39369685,2.58903039,0.03686669,0.47583447,0.56140974,1.23191622,0.18463172,0.02166958,0.87691696
-5.38769385,2.51572479,0.03489897,0.46695790,0.54776197,1.19401432,0.17295473,0.02155421,0.85350956
-5.38169085,2.43329700,0.03287322,0.45583485,0.53173752,1.15233577,0.16106942,0.02130059,0.82680331
-5.37568784,2.34240154,0.03081248,0.44257550,0.51350949,1.10714741,0.14912713,0.02091279,0.79702522
-5.36968484,2.24385133,0.02873874,0.42732949,0.49328717,1.05878886,0.13726915,0.02039757,0.76445937
-5.36368184,2.13860099,0.02667260,0.41028259,0.47131153,1.00766582,0.12562404,0.01976408,0.72944044
-5.35767884,2.02772552,0.02463300,0.39165221,0.44784985,0.95424129,0.11430566,0.01902365,0.69234583
-5.35167584,1.91239531,0.02263700,0.37168177,0.42318954,0.89902487,0.10341177,0.01818940,0.65358643
