energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.48725672,0.00283365,0.23138385,2.19592345,1.79299667,0.03187747,0.69911334,1.10256437,0.15229514
-5.99399700,3.48436233,0.00309894,0.22051562,2.15052675,1.80482961,0.03253738,0.70148547,1.10304266,0.15135321
-5.98799400,3.47491307,0.00338786,0.20975800,2.10225308,1.81373655,0.03313445,0.70197285,1.09889783,0.15005595
-5.98199100,3.45956443,0.00370182,0.19926357,2.05202584,1.81986466,0.03367183,0.70066818,1.09034232,0.14845095
-5.97598799,3.43907070,0.00404203,0.18917088,2.00078962,1.82338606,0.03415354,0.69771212,1.07769744,0.14659360
-5.96998499,3.41425254,0.00440931,0.17960188,1.94948743,1.82448553,0.03458410,0.69328630,1.06138056,0.14454487
-5.96398199,3.38596176,0.00480405,0.17066002,1.89903711,1.82334851,0.03496808,0.68760456,1.04188825,0.14236876
-5.95797899,3.35504470,0.00522604,0.16242889,1.85030730,1.82014972,0.03530977,0.68090244,1.01977617,0.14012960
-5.95197599,3.32230618,0.00567439,0.15497148,1.80409379,1.81504313,0.03561276,0.67342570,0.99563662,0.13788936
-5.94597299,3.28847534,0.00614746,0.14833001,1.76109692,1.80815367,0.03587966,0.66541844,0.97007494,0.13570491
-5.93996998,3.25417520,0.00664272,0.14252614,1.72190089,1.79957104,0.03611177,0.65711134,0.94368602,0.13362568
-5.93396698,3.21989738,0.00715678,0.13756174,1.68695585,1.78934587,0.03630895,0.64871082,0.91703193,0.13169149
-5.92796398,3.18598315,0.00768530,0.13341994,1.65656352,1.77748842,0.03646946,0.64038965,0.89062193,0.12993089
-5.92196098,3.15261183,0.00822305,0.13006660,1.63086721,1.76396969,0.03658999,0.63227954,0.86489579,0.12836009
-5.91595798,3.11979724,0.00876393,0.12745199,1.60984688,1.74872511,0.03666572,0.62446606,0.84021116,0.12698232
-5.90995498,3.08739241,0.00930110,0.12551280,1.59331978,1.73166033,0.03669051,0.61698632,0.81683556,0.12578801
-5.90395198,3.05510255,0.00982708,0.12417433,1.58094689,1.71265912,0.03665714,0.60982939,0.79494329,0.12475542
-5.89794897,3.02250566,0.01033392,0.12335284,1.57224540,1.69159288,0.03655767,0.60293946,0.77461725,0.12385197
-5.89194597,2.98908009,0.01081343,0.12295814,1.56660690,1.66833147,0.03638382,0.59622170,0.75585540,0.12303604
-5.88594297,2.95423776,0.01125736,0.12289619,1.56332086,1.64275488,0.03612738,0.58955021,0.73858146,0.12225921
-5.87993997,2.91736164,0.01165768,0.12307190,1.56160269,1.61476538,0.03578069,0.58277791,0.72265894,0.12146889
-5.87393697,2.87784583,0.01200683,0.12339184,1.56062537,1.58429958,0.03533707,0.57574760,0.70790791,0.12061106
-5.86793397,2.83513637,0.01229793,0.12376702,1.55955339,1.55134005,0.03479122,0.56830366,0.69412322,0.11963312
-5.86193097,2.78877097,0.01252507,0.12411550,1.55757772,1.51592600,0.03413961,0.56030382,0.68109345,0.11848664
-5.85592796,2.73841583,0.01268350,0.12436490,1.55395035,1.47816258,0.03338080,0.55163022,0.66861922,0.11712994
-5.84992496,2.68389780,0.01276977,0.12445459,1.54801673,1.43822844,0.03251565,0.54219931,0.65653023,0.11553028
-5.84392196,2.62523038,0.01278194,0.12433763,1.53924489,1.39638115,0.03154747,0.53197000,0.64469987,0.11366569
-5.83791896,2.56263228,0.01271960,0.12398225,1.52724971,1.35296025,0.03048207,0.52094968,0.63305688,0.11152618
-5.83191596,2.49653760,0.01258394,0.12337290,1.51181134,1.30838764,0.02932771,0.50919780,0.62159341,0.10911453
-5.82591296,2.42759712,0.01237772,0.12251074,1.49288682,1.26316517,0.02809495,0.49682683,0.61036917,0.10644633
-5.81990995,2.35667037,0.01210519,0.12141363,1.47061425,1.21786950,0.02679644,0.48400058,0.59951154,0.10354960
-5.81390695,2.28480889,0.01177193,0.12011547,1.44530941,1.17314400,0.02544660,0.47092999,0.58921167,0.10046375
-5.80790395,2.21323101,0.01138472,0.11866501,1.41745477,1.12968820,0.02406123,0.45786656,0.57971688,0.09723804
-5.80190095,2.14328933,0.01095130,0.11712413,1.38768141,1.08824467,0.02265713,0.44509374,0.57131968,0.09392976
-5.79589795,2.07643199,0.01048011,0.11556555,1.35674460,1.04958395,0.02125160,0.43291673,0.56434408,0.09060188
-5.78989495,2.01415929,0.00998006,0.11407019,1.32549399,1.01448787,0.01986206,0.42165103,0.55912980,0.08732071
-5.78389195,1.95797729,0.00946022,0.11272420,1.29483980,0.98373165,0.01850550,0.41161046,0.55601517,0.08415324
-5.77788894,1.90935016,0.00892956,0.11161570,1.26571634,0.95806555,0.01719812,0.40309484,0.55531943,0.08116465
-5.77188594,1.86965315,0.00839672,0.11083148,1.23904443,0.93819650,0.01595490,0.39637816,0.55732537,0.07841583
-5.76588294,1.84012784,0.00786974,0.11045371,1.21569429,0.92477035,0.01478928,0.39169752,0.56226288,0.07596116
-5.75987994,1.82184139,0.00735589,0.11055669,1.19645029,0.91835535,0.01371285,0.38924333,0.57029436,0.07384651
-5.75387694,1.81565123,0.00686151,0.11120403,1.18197919,0.91942732,0.01273515,0.38915114,0.58150241,0.07210769
-5.74787394,1.82217636,0.00639187,0.11244601,1.17280289,0.92835715,0.01186353,0.39149547,0.59588048,0.07076918
-5.74187094,1.84177639,0.00595114,0.11431753,1.16927684,0.94540071,0.01110305,0.39628573,0.61332682,0.06984346
-5.73586793,1.87453875,0.00554232,0.11683655,1.17157489,0.97069182,0.01045649,0.40346456,0.63364207,0.06933064
-5.72986493,1.92027466,0.00516732,0.12000307,1.17968108,1.00423817,0.00992443,0.41290846,0.65653058,0.06921863
-5.72386193,1.97852366,0.00482695,0.12379886,1.19338869,1.04592039,0.00950535,0.42443089,0.68160557,0.06948375
-5.71785893,2.04856659,0.00452107,0.12818777,1.21230644,1.09549415,0.00919584,0.43778754,0.70839778,0.07009167
-5.71185593,2.12944631,0.00424870,0.13311670,1.23587162,1.15259517,0.00899078,0.45268370,0.73636769,0.07099881
-5.70585293,2.21999539,0.00400816,0.13851725,1.26336959,1.21674685,0.00888366,0.46878349,0.76492052,0.07215394
-5.69984992,2.31886964,0.00379724,0.14430789,1.29395889,1.28737014,0.00886683,0.48572047,0.79342384,0.07350006
-5.69384692,2.42458616,0.00361337,0.15039669,1.32670100,1.36379533,0.00893179,0.50310948,0.82122688,0.07497646
-5.68784392,2.53556470,0.00345375,0.15668451,1.36059372,1.44527515,0.00906956,0.52055907,0.84768114,0.07652083
-5.68184092,2.65017055,0.00331557,0.16306850,1.39460680,1.53099897,0.00927091,0.53768415,0.87216132,0.07807139
-5.67583792,2.76675775,0.00319610,0.16944586,1.42771862,1.62010734,0.00952668,0.55411848,0.89408590,0.07956897
-5.66983492,2.88371093,0.00309285,0.17571765,1.45895264,1.71170671,0.00982803,0.56952635,0.91293664,0.08095894
-5.66383192,2.99948454,0.00300364,0.18179264,1.48741215,1.80488378,0.01016667,0.58361315,0.92827616,0.08219292
-5.65782891,3.11263817,0.00292673,0.18759093,1.51231216,1.89871926,0.01053501,0.59613437,0.93976303,0.08323030
-5.65182591,3.22186692,0.00286081,0.19304731,1.53300729,1.99230076,0.01092632,0.60690276,0.94716363,0.08403933
-5.64582291,3.32602614,0.00280507,0.19811412,1.54901454,2.08473470,0.01133480,0.61579323,0.95036054,0.08459802
-5.63981991,3.42414972,0.00275919,0.20276352,1.56003028,2.17515710,0.01175558,0.62274547,0.94935690,0.08489457
-5.63381691,3.51546199,0.00272331,0.20698916,1.56594056,2.26274335,0.01218474,0.62776416,0.94427660,0.08492745
-5.62781391,3.59938286,0.00269799,0.21080690,1.56682467,2.34671689,0.01261921,0.63091676,0.93536045,0.08470516
-5.62181091,3.67552675,0.00268415,0.21425478,1.56295145,2.42635699,0.01305663,0.63232903,0.92295817,0.08424560
-5.61580790,3.74369547,0.00268299,0.21739202,1.55476880,2.50100567,0.01349525,0.63217851,0.90751671,0.08357513
-5.60980490,3.80386600,0.00269590,0.22029708,1.54288644,2.57007393,0.01393372,0.63068626,0.88956534,0.08272738
-5.60380190,3.85617370,0.00272438,0.22306487,1.52805273,2.63304732,0.01437088,0.62810720,0.86969782,0.08174185
-5.59779890,3.90089201,0.00276991,0.22580307,1.51112622,2.68949093,0.01480562,0.62471958,0.84855261,0.08066229
-5.59179590,3.93840951,0.00283390,0.22862774,1.49304300,2.73905367,0.01523666,0.62081381,0.82679166,0.07953502
-5.58579290,3.96920533,0.00291754,0.23165829,1.47478102,2.78147198,0.01566242,0.61668140,0.80507861,0.07840722
-5.57978989,3.99382373,0.00302174,0.23501208,1.45732256,2.81657257,0.01608084,0.61260419,0.78405706,0.07732521
-5.57378689,4.01284874,0.00314707,0.23879872,1.44161630,2.84427418,0.01648932,0.60884438,0.76432993,0.07633279
-5.56778389,4.02687965,0.00329363,0.24311447,1.42854027,2.86458800,0.01688469,0.60563574,0.74644027,0.07546977
-5.56178089,4.03650780,0.00346106,0.24803676,1.41886709,2.87761666,0.01726317,0.60317611,0.73085441,0.07477060
-5.55577789,4.04229540,0.00364847,0.25361922,1.41323270,2.88355140,0.01762041,0.60162166,0.71794791,0.07426327
-5.54977489,4.04475669,0.00385439,0.25988749,1.41210990,2.88266730,0.01795161,0.60108272,0.70799469,0.07396839
-5.54377189,4.04434178,0.00407680,0.26683587,1.41578755,2.87531647,0.01825163,0.60162148,0.70115972,0.07389857
-5.53776888,4.04142348,0.00431316,0.27442510,1.42435639,2.86191922,0.01851512,0.60325144,0.69749549,0.07405804
-5.53176588,4.03628733,0.00456035,0.28258149,1.43770210,2.84295320,0.01873672,0.60593849,0.69694221,0.07444255
-5.52576288,4.02912494,0.00481482,0.29119729,1.45550583,2.81894085,0.01891124,0.60960354,0.69933180,0.07503957
-5.51975988,4.02003086,0.00507259,0.30013263,1.47725256,2.79043546,0.01903385,0.61412659,0.70439543,0.07582867
-5.51375688,4.00900301,0.00532935,0.30921874,1.50224681,2.75800636,0.01910026,0.61935193,0.71177436,0.07678223
-5.50775388,3.99594678,0.00558057,0.31826261,1.52963551,2.72222377,0.01910689,0.62509432,0.72103366,0.07786634
-5.50175088,3.98068272,0.00582160,0.32705274,1.55843705,2.68364394,0.01905103,0.63114597,0.73167836,0.07904186
-5.49574787,3.96295776,0.00604777,0.33536597,1.58757566,2.64279534,0.01893091,0.63728404,0.74317139,0.08026570
-5.48974487,3.94245987,0.00625455,0.34297501,1.61591978,2.60016648,0.01874586,0.64327846,0.75495290,0.08149216
-5.48374187,3.91883562,0.00643770,0.34965639,1.64232305,2.55619593,0.01849630,0.64889992,0.76645999,0.08267446
-5.47773887,3.89171047,0.00659331,0.35519860,1.66566619,2.51126510,0.01818381,0.65392775,0.77714648,0.08376619
-5.47173587,3.86071100,0.00671806,0.35940994,1.68489831,2.46569421,0.01781112,0.65815744,0.78650181,0.08472285
-5.46573287,3.82548835,0.00680920,0.36212583,1.69907580,2.41974138,0.01738205,0.66140782,0.79406853,0.08550328
-5.45972986,3.78574217,0.00686477,0.36321527,1.70739731,2.37360520,0.01690149,0.66352737,0.79945769,0.08607106
-5.45372686,3.74124393,0.00688363,0.36258613,1.70923331,2.32743032,0.01637528,0.66439980,0.80236169,0.08639566
-5.44772386,3.69185856,0.00686552,0.36018898,1.70414903,2.28131576,0.01581017,0.66394854,0.80256397,0.08645349
-5.44172086,3.63756353,0.00681114,0.35601947,1.69191977,2.23532550,0.01521365,0.66213992,0.79994536,0.08622868
-5.43571786,3.57846417,0.00672215,0.35011889,1.67253803,2.18950050,0.01459385,0.65898516,0.79448678,0.08571364
