energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.61332395,0.05293327,0.19542025,0.53035392,0.41916366,0.96789656,0.00000000,0.76314408,0.46376462
-5.99399700,2.68942722,0.05624521,0.19490032,0.56364483,0.43734986,1.01529013,0.00000000,0.78333941,0.46839757
-5.98799400,2.75885836,0.05939598,0.19377023,0.59577585,0.45423282,1.06028465,0.00000000,0.80117724,0.47187509
-5.98199100,2.82119680,0.06234350,0.19208275,0.62644669,0.46958543,1.10245140,0.00000000,0.81654483,0.47423740
-5.97598799,2.87620420,0.06505053,0.18990058,0.65541146,0.48320845,1.14144628,0.00000000,0.82939041,0.47554515
-5.96998499,2.92385965,0.06748646,0.18729606,0.68249153,0.49494007,1.17703103,0.00000000,0.83973193,0.47588218
-5.96398199,2.96439046,0.06962880,0.18435085,0.70758606,0.50466491,1.20909182,0.00000000,0.84766390,0.47535831
-5.95797899,2.99829589,0.07146455,0.18115522,0.73067948,0.51232190,1.23765388,0.00000000,0.85336160,0.47411168
-5.95197599,3.02636154,0.07299134,0.17780719,0.75184528,0.51791047,1.26289113,0.00000000,0.85708239,0.47231045
-5.94597299,3.04966268,0.07421808,0.17441115,0.77124565,0.52149481,1.28512984,0.00000000,0.85916336,0.47015350
-5.93996998,3.06955484,0.07516540,0.17107623,0.78912667,0.52320573,1.30484579,0.00000000,0.86001538,0.46786985
-5.93396698,3.08765111,0.07586553,0.16791416,0.80580906,0.52324006,1.32265463,0.00000000,0.86011329,0.46571663
-5.92796398,3.10578601,0.07636187,0.16503677,0.82167464,0.52185742,1.33929541,0.00000000,0.85998250,0.46397560
-5.92196098,3.12596673,0.07670811,0.16255318,0.83714914,0.51937444,1.35560793,0.00000000,0.86018239,0.46294793
-5.91595798,3.15031338,0.07696696,0.16056666,0.85268189,0.51615663,1.37250446,0.00000000,0.86128712,0.46294764
-5.90995498,3.18099023,0.07720858,0.15917143,0.86872351,0.51260825,1.39093725,0.00000000,0.86386452,0.46429374
-5.90395198,3.22013118,0.07750874,0.15844937,0.88570262,0.50916053,1.41186300,0.00000000,0.86845422,0.46730128
-5.89794897,3.26976234,0.07794678,0.15846695,0.90400272,0.50625878,1.43620604,0.00000000,0.87554581,0.47227184
-5.89194597,3.33172563,0.07860348,0.15927239,0.92394064,0.50434896,1.46482191,0.00000000,0.88555825,0.47948377
-5.88594297,3.40760669,0.07955884,0.16089334,0.94574761,0.50386419,1.49846290,0.00000000,0.89882151,0.48918252
-5.87993997,3.49867071,0.08088996,0.16333515,0.96955407,0.50521184,1.53774745,0.00000000,0.91556135,0.50157173
-5.87393697,3.60580905,0.08266897,0.16657986,0.99537920,0.50876160,1.58313440,0.00000000,0.93588820,0.51680522
-5.86793397,3.72949926,0.08496116,0.17058605,1.02312567,0.51483502,1.63490369,0.00000000,0.95979055,0.53498045
-5.86193097,3.86978011,0.08782328,0.17528955,1.05258019,0.52369686,1.69314389,0.00000000,0.98713332,0.55613355
-5.85592796,4.02624264,0.09130214,0.18060502,1.08341968,0.53554832,1.75774726,0.00000000,1.01766145,0.58023628
-5.84992496,4.19803737,0.09543337,0.18642845,1.11522293,0.55052246,1.82841223,0.00000000,1.05100826,0.60719490
-5.84392196,4.38389694,0.10024054,0.19264035,1.14748714,0.56868166,1.90465294,0.00000000,1.08670850,0.63685099
-5.83791896,4.58217261,0.10573449,0.19910964,1.17964844,0.59001710,1.98581515,0.00000000,1.12421524,0.66898425
-5.83191596,4.79088256,0.11191297,0.20569799,1.21110537,0.61445001,2.07109748,0.00000000,1.16291982,0.70331687
-5.82591296,5.00776944,0.11876047,0.21226447,1.24124399,0.64183452,2.15957677,0.00000000,1.20217383,0.73951952
-5.81990995,5.23036398,0.12624833,0.21867027,1.26946331,0.67196175,2.25023614,0.00000000,1.24131217,0.77721853
-5.81390695,5.45605191,0.13433504,0.22478327,1.29519980,0.70456499,2.34199435,0.00000000,1.27967588,0.81600394
-5.80790395,5.68214089,0.14296685,0.23048231,1.31794960,0.73932551,2.43373511,0.00000000,1.31663387,0.85543826
