energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,0.76283168,0.05317749,0.60848385,0.00010855,0.00270293,0.03190735,0.07867393,0.00008522,0.13180993
-5.99399700,0.74176403,0.05174465,0.59216563,0.00012904,0.00261682,0.03146427,0.07554568,0.00009859,0.12816863
-5.98799400,0.71826624,0.05014092,0.57394802,0.00015280,0.00252186,0.03087810,0.07220489,0.00011504,0.12400819
-5.98199100,0.69264544,0.04838848,0.55407549,0.00018001,0.00241883,0.03015574,0.06869186,0.00013467,0.11937524
-5.97598799,0.66524450,0.04651179,0.53282166,0.00021082,0.00230867,0.02930741,0.06504786,0.00015759,0.11432380
-5.96998499,0.63643336,0.04453697,0.51048215,0.00024536,0.00219255,0.02834632,0.06131431,0.00018390,0.10891406
-5.96398199,0.60659981,0.04249115,0.48736691,0.00028368,0.00207172,0.02728826,0.05753212,0.00021372,0.10321104
-5.95797899,0.57613993,0.04040181,0.46379237,0.00032577,0.00194759,0.02615105,0.05374099,0.00024711,0.09728308
-5.95197599,0.54544838,0.03829613,0.44007331,0.00037155,0.00182163,0.02495403,0.04997885,0.00028413,0.09120032
-5.94597299,0.51490883,0.03620035,0.41651493,0.00042085,0.00169536,0.02371750,0.04628129,0.00032479,0.08503313
-5.93996998,0.48488488,0.03413914,0.39340524,0.00047340,0.00157035,0.02246218,0.04268115,0.00036905,0.07885058
-5.93396698,0.45571175,0.03213508,0.37100813,0.00052880,0.00144822,0.02120865,0.03920810,0.00041683,0.07271900
-5.92796398,0.42768899,0.03020817,0.34955719,0.00058660,0.00133058,0.01997692,0.03588841,0.00046799,0.06670070
-5.92196098,0.40107458,0.02837549,0.32925077,0.00064619,0.00121907,0.01878604,0.03274474,0.00052236,0.06085284
-5.91595798,0.37608062,0.02665092,0.31024826,0.00070689,0.00111536,0.01765378,0.02979613,0.00057974,0.05522653
-5.90995498,0.35287072,0.02504503,0.29266780,0.00076793,0.00102118,0.01659648,0.02705800,0.00063989,0.04986624
-5.90395198,0.33155929,0.02356511,0.27658558,0.00082847,0.00093834,0.01562899,0.02454239,0.00070260,0.04480937
-5.89794897,0.31221273,0.02221527,0.26203667,0.00088761,0.00086877,0.01476472,0.02225819,0.00076765,0.04008620
-5.89194597,0.29485246,0.02099671,0.24901739,0.00094440,0.00081456,0.01401584,0.02021160,0.00083492,0.03572008
-5.88594297,0.27945955,0.01990815,0.23748903,0.00099792,0.00077802,0.01339356,0.01840659,0.00090435,0.03172783
-5.87993997,0.26598099,0.01894628,0.22738291,0.00104723,0.00076174,0.01290856,0.01684554,0.00097599,0.02812038
-5.87393697,0.25433702,0.01810630,0.21860634,0.00109146,0.00076865,0.01257144,0.01552983,0.00105008,0.02490366
-5.86793397,0.24442943,0.01738261,0.21104943,0.00112982,0.00080207,0.01239322,0.01446062,0.00112705,0.02207954
-5.86193097,0.23615030,0.01676939,0.20459225,0.00116161,0.00086579,0.01238591,0.01363950,0.00120755,0.01964689
-5.85592796,0.22939093,0.01626127,0.19911219,0.00118627,0.00096408,0.01256298,0.01306926,0.00129251,0.01760273
-5.84992496,0.22405042,0.01585401,0.19449116,0.00120338,0.00110176,0.01293985,0.01275453,0.00138313,0.01594330
-5.84392196,0.22004368,0.01554501,0.19062227,0.00121271,0.00128417,0.01353424,0.01270241,0.00148093,0.01466518
-5.83791896,0.21730845,0.01533384,0.18741580,0.00121420,0.00151722,0.01436640,0.01292300,0.00158769,0.01376619
-5.83191596,0.21581104,0.01522272,0.18480422,0.00120798,0.00180728,0.01545920,0.01342979,0.00170551,0.01324633
-5.82591296,0.21555060,0.01521676,0.18274607,0.00119440,0.00216117,0.01683803,0.01423996,0.00183674,0.01310842
-5.81990995,0.21656167,0.01532422,0.18122853,0.00117398,0.00258599,0.01853045,0.01537447,0.00198389,0.01335865
-5.81390695,0.21891507,0.01555661,0.18026870,0.00114743,0.00308904,0.02056568,0.01685801,0.00214967,0.01400695
-5.80790395,0.22271690,0.01592862,0.17991350,0.00111565,0.00367759,0.02297383,0.01871880,0.00233677,0.01506713
-5.80190095,0.22810586,0.01645803,0.18023826,0.00107967,0.00435867,0.02578488,0.02098817,0.00254787,0.01655684
-5.79589795,0.23524901,0.01716544,0.18134413,0.00104068,0.00513882,0.02902757,0.02370000,0.00278544,0.01849737
-5.78989495,0.24433599,0.01807389,0.18335434,0.00099999,0.00602379,0.03272802,0.02688995,0.00305167,0.02091326
-5.78389195,0.25557215,0.01920848,0.18640964,0.00095896,0.00701829,0.03690828,0.03059462,0.00334825,0.02383170
-5.77788894,0.26917070,0.02059579,0.19066297,0.00091906,0.00812561,0.04158481,0.03485052,0.00367632,0.02728189
-5.77188594,0.28534428,0.02226336,0.19627370,0.00088177,0.00934738,0.04676700,0.03969297,0.00403627,0.03129418
-5.76588294,0.30429623,0.02423898,0.20340152,0.00084858,0.01068329,0.05245568,0.04515492,0.00442764,0.03589910
-5.75987994,0.32621183,0.02655003,0.21220042,0.00082097,0.01213078,0.05864188,0.05126575,0.00484899,0.04112638
-5.75387694,0.35124998,0.02922279,0.22281266,0.00080038,0.01368491,0.06530579,0.05805002,0.00529785,0.04700381
-5.74787394,0.37953539,0.03228161,0.23536329,0.00078816,0.01533820,0.07241595,0.06552628,0.00577065,0.05355612
-5.74187094,0.41115171,0.03574824,0.24995499,0.00078560,0.01708056,0.07992892,0.07370591,0.00626274,0.06080376
-5.73586793,0.44613568,0.03964095,0.26666372,0.00079385,0.01889935,0.08778931,0.08259210,0.00676838,0.06876168
-5.72986493,0.48447254,0.04397378,0.28553500,0.00081391,0.02077947,0.09593017,0.09217883,0.00728087,0.07743819
-5.72386193,0.52609272,0.04875577,0.30658108,0.00084665,0.02270359,0.10427402,0.10245008,0.00779263,0.08683368
-5.71785893,0.57087000,0.05399014,0.32977892,0.00089274,0.02465243,0.11273413,0.11337914,0.00829542,0.09693956
-5.71185593,0.61862096,0.05967359,0.35506904,0.00095264,0.02660520,0.12121633,0.12492813,0.00878051,0.10773715
-5.70585293,0.66910586,0.06579558,0.38235523,0.00102660,0.02854001,0.12962112,0.13704767,0.00923894,0.11919673
