energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,6.83023625,-6.39262835,0.04049397,-0.03008123,0.67202517,-0.54465718,0.71504882,-0.63280725,0.56274286,-0.34408622,0.50155708,-0.42196964,0.47927468,-0.55041844,0.12167441,-0.12429553,2.70382957,-2.70757863
-5.99399700,6.89330730,-6.48224324,0.04266995,-0.03191060,0.68170148,-0.55432204,0.72730544,-0.64532916,0.57408022,-0.35191851,0.51019038,-0.43270842,0.48116387,-0.55662147,0.12257200,-0.12579676,2.72356171,-2.74298270
-5.98799400,6.93632748,-6.55060886,0.04488768,-0.03379795,0.68945981,-0.56263150,0.73771208,-0.65628090,0.58416853,-0.35901590,0.51728164,-0.44259269,0.48151600,-0.56072531,0.12312375,-0.12681681,2.73520467,-2.76878260
-5.98199100,6.96027652,-6.59846887,0.04714421,-0.03574106,0.69533973,-0.56966268,0.74629423,-0.66569880,0.59303357,-0.36542043,0.52279518,-0.45162442,0.48043424,-0.56279072,0.12335460,-0.12736773,2.73921869,-2.78526728
-5.97598799,6.96626174,-6.62675512,0.04943671,-0.03773679,0.69939702,-0.57550034,0.75308858,-0.67362414,0.60071142,-0.37117994,0.52670619,-0.45980334,0.47803154,-0.56289875,0.12329073,-0.12746659,2.73610930,-2.79281532
-5.96998499,6.95548471,-6.63653480,0.05176273,-0.03978109,0.70170290,-0.58023213,0.75814249,-0.68009963,0.60724831,-0.37634543,0.52900188,-0.46712455,0.47442683,-0.56114615,0.12295855,-0.12713450,2.72641059,-2.79187319
-5.96398199,6.92921822,-6.62896384,0.05412053,-0.04186922,0.70234432,-0.58394468,0.76151484,-0.68516730,0.61270141,-0.38096887,0.52968325,-0.47357695,0.46974212,-0.55764115,0.12238381,-0.12639565,2.71067290,-2.78293571
-5.95797899,6.88879468,-6.60524991,0.05650951,-0.04399597,0.70142500,-0.58672087,0.76327827,-0.68886795,0.61714040,-0.38510162,0.52876718,-0.47914280,0.46410032,-0.55249986,0.12159106,-0.12527652,2.68945522,-2.76653017
-5.95197599,6.83560640,-6.56662694,0.05893059,-0.04615603,0.69906747,-0.58863842,0.76352276,-0.69124227,0.62064987,-0.38879355,0.52628890,-0.48379847,0.45762402,-0.54584363,0.12060327,-0.12380523,2.66332285,-2.74320501
-5.94597299,6.77111674,-6.51434256,0.06138662,-0.04834439,0.69541571,-0.58976984,0.76236031,-0.69233373,0.62333228,-0.39209286,0.52230468,-0.48751630,0.45043512,-0.53779734,0.11944189,-0.12201107,2.63284978,-2.71352348
-5.93996998,6.69688031,-6.44965827,0.06388279,-0.05055684,0.69063844,-0.59018388,0.75993058,-0.69219302,0.62531144,-0.39504676,0.51689432,-0.49026758,0.44265526,-0.52848876,0.11812707,-0.11992429,2.59862526,-2.67806233
-5.93396698,6.61456963,-6.37386130,0.06642694,-0.05279039,0.68493251,-0.58994819,0.75640690,-0.69088375,0.62673600,-0.39770266,0.51016363,-0.49202637,0.43440692,-0.51804887,0.11667808,-0.11757600,2.56126340,-2.63741507
-5.92796398,6.52600464,-6.28828610,0.06902982,-0.05504379,0.67852620,-0.58913305,0.75200231,-0.68848909,0.62778282,-0.40011003,0.50224625,-0.49277405,0.42581482,-0.50661293,0.11511399,-0.11499826,2.52141461,-2.59219901
-5.92196098,6.43318136,-6.19434250,0.07170517,-0.05731795,0.67168204,-0.58781586,0.74697504,-0.68511891,0.62865967,-0.40232259,0.49330494,-0.49250415,0.41700762,-0.49432217,0.11345432,-0.11222430,2.47977719,-2.54306473
-5.91595798,6.33829561,-6.09354709,0.07446971,-0.05961624,0.66469870,-0.58608613,0.74163294,-0.68091683,0.62960709,-0.40440071,0.48353202,-0.49122725,0.40811937,-0.48132578,0.11171977,-0.10928879,2.43710752,-2.49070678
-5.90995498,6.24375787,-5.98755420,0.07734289,-0.06194482,0.65791158,-0.58405045,0.73633627,-0.67606676,0.63089877,-0.40641384,0.47314873,-0.48897553,0.39929070,-0.46778287,0.10993283,-0.10622808,2.39422739,-2.43587388
-5.90395198,6.15219574,-5.87818269,0.08034652,-0.06431269,0.65169175,-0.58183719,0.73149835,-0.67079825,0.63284045,-0.40844274,0.46240355,-0.48580679,0.39066934,-0.45386414,0.10811826,-0.10308042,2.35202699,-2.37937733
-5.89794897,6.06644127,-5.76743525,0.08350409,-0.06673171,0.64644295,-0.57960050,0.72758365,-0.66539042,0.63576676,-0.41058141,0.45156933,-0.48180746,0.38240983,-0.43975303,0.10630338,-0.09988607,2.31146241,-2.32209615
-5.89194597,5.98950098,-5.65750748,0.08683996,-0.06921640,0.64259643,-0.57752336,0.72510306,-0.66017386,0.64003602,-0.41293839,0.44093917,-0.47709456,0.37467235,-0.42564594,0.10451803,-0.09668721,2.27354705,-2.26497792
-5.88594297,5.92450763,-5.55078457,0.09037834,-0.07178367,0.64060346,-0.57581931,0.72460600,-0.65553023,0.64602284,-0.41563758,0.43082112,-0.47181637,0.36762049,-0.41175161,0.10279435,-0.09352778,2.23933646,-2.20903461
-5.87993997,5.87465393,-5.44982453,0.09414208,-0.07445232,0.64092551,-0.57473276,0.72666938,-0.65188948,0.65410853,-0.41881827,0.42153181,-0.46615166,0.36141811,-0.39828941,0.10116621,-0.09045294,2.20990667,-2.15533289
-5.87393697,5.84310933,-5.35732745,0.09815130,-0.07724249,0.64402224,-0.57453768,0.73188346,-0.64972441,0.66466946,-0.42263438,0.41338910,-0.46030762,0.35622520,-0.38548647,0.09966838,-0.08750859,2.18632665,-2.10497917
