energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,1.85506317,0.00243730,0.05660890,0.39289362,0.00000000,0.44684429,0.73413956,0.00244657,1.06033025
-5.99399700,1.89830453,0.00231048,0.06344821,0.40331929,0.00000000,0.48081365,0.74459566,0.00244513,1.08752016
-5.98799400,1.94773376,0.00224252,0.07144186,0.41684636,0.00000000,0.51907726,0.75638032,0.00249767,1.11654032
-5.98199100,2.00355290,0.00223808,0.08062717,0.43357471,0.00000000,0.56163978,0.76958679,0.00260788,1.14746585
-5.97598799,2.06587492,0.00230196,0.09102875,0.45356829,0.00000000,0.60844150,0.78428301,0.00277935,1.18034424
-5.96998499,2.13470708,0.00243914,0.10265647,0.47685212,0.00000000,0.65935320,0.80050541,0.00301561,1.21518524
-5.96398199,2.20993575,0.00265483,0.11550359,0.50340951,0.00000000,0.71417228,0.81825334,0.00332002,1.25195136
-5.95797899,2.29131376,0.00295439,0.12954502,0.53317973,0.00000000,0.77262084,0.83748432,0.00369577,1.29054979
-5.95197599,2.37845151,0.00334323,0.14473606,0.56605619,0.00000000,0.83434575,0.85811051,0.00414576,1.33082635
-5.94597299,2.47081261,0.00382674,0.16101147,0.60188550,0.00000000,0.89892101,0.87999696,0.00467252,1.37256208
-5.93996998,2.56771472,0.00441005,0.17828508,0.64046735,0.00000000,0.96585242,0.90296155,0.00527811,1.41547259
-5.93396698,2.66833590,0.00509784,0.19644997,0.68155542,0.00000000,1.03458456,0.92677697,0.00596394,1.45921067
-5.92796398,2.77172638,0.00589405,0.21537929,0.72485929,0.00000000,1.10450991,0.95117466,0.00673068,1.50337178
-5.92196098,2.87682539,0.00680158,0.23492755,0.77004734,0.00000000,1.17497973,0.97585044,0.00757807,1.54750237
-5.91595798,2.98248236,0.00782200,0.25493262,0.81675055,0.00000000,1.24531636,1.00047179,0.00850474,1.59111045
-5.90995498,3.08748134,0.00895519,0.27521822,0.86456713,0.00000000,1.31482639,1.02468620,0.00950814,1.63367785
-5.90395198,3.19056767,0.01019903,0.29559673,0.91306768,0.00000000,1.38281431,1.04813034,0.01058429,1.67467355
-5.89794897,3.29047543,0.01154912,0.31587254,0.96180089,0.00000000,1.44859576,1.07043939,0.01172777,1.71356718
-5.89194597,3.38595450,0.01299851,0.33584540,1.01029936,0.00000000,1.51151026,1.09125625,0.01293155,1.74984207
-5.88594297,3.47579595,0.01453753,0.35531406,1.05808564,0.00000000,1.57093262,1.11024005,0.01418698,1.78300719
-5.87993997,3.55885488,0.01615371,0.37407976,1.10467818,0.00000000,1.62628284,1.12707366,0.01548381,1.81260736
-5.87393697,3.63406991,0.01783171,0.39194967,1.14959713,0.00000000,1.67703417,1.14146994,0.01681017,1.83823151
-5.86793397,3.70047883,0.01955348,0.40874012,1.19237005,0.00000000,1.72271938,1.15317655,0.01815274,1.85951859
-5.86193097,3.75723050,0.02129843,0.42427949,1.23253749,0.00000000,1.76293499,1.16197921,0.01949690,1.87616135
-5.85592796,3.80359290,0.02304378,0.43841086,1.26965846,0.00000000,1.79734390,1.16770363,0.02082697,1.88790796
-5.84992496,3.83895809,0.02476501,0.45099425,1.30331597,0.00000000,1.82567655,1.17021614,0.02212645,1.89456195
