energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
3.16658329,1.27220623,0.10668605,0.00000000,0.21218955,0.00000000,0.91544744,0.68008650
3.17258629,1.23851039,0.10119203,0.00000000,0.20463944,0.00000000,0.88931223,0.66475485
3.17858929,1.20734147,0.09610080,0.00000000,0.19865907,0.00000000,0.86373820,0.65234622
3.18459230,1.17883177,0.09138470,0.00000000,0.19424984,0.00000000,0.83883349,0.64289278
3.19059530,1.15317929,0.08702391,0.00000000,0.19141313,0.00000000,0.81476708,0.63644422
3.19659830,1.13063087,0.08300640,0.00000000,0.19014880,0.00000000,0.79175677,0.63305815
3.20260130,1.11146040,0.07932747,0.00000000,0.19045278,0.00000000,0.77005384,0.63278782
3.20860430,1.09594359,0.07598873,0.00000000,0.19231367,0.00000000,0.74992531,0.63566811
3.21460730,1.08433141,0.07299691,0.00000000,0.19570894,0.00000000,0.73163522,0.64170079
3.22061031,1.07682391,0.07036248,0.00000000,0.20060085,0.00000000,0.71542604,0.65084038
3.22661331,1.07354642,0.06809827,0.00000000,0.20693260,0.00000000,0.70150152,0.66298158
3.23261631,1.07452970,0.06621826,0.00000000,0.21462510,0.00000000,0.69001201,0.67794941
3.23861931,1.07969541,0.06473656,0.00000000,0.22357448,0.00000000,0.68104319,0.69549282
3.24462231,1.08884807,0.06366667,0.00000000,0.23365088,0.00000000,0.67460874,0.71528246
3.25062531,1.10167386,0.06302113,0.00000000,0.24469848,0.00000000,0.67064739,0.73691298
3.25662831,1.11774670,0.06281148,0.00000000,0.25653706,0.00000000,0.66902447,0.75990989
3.26263132,1.13654112,0.06304850,0.00000000,0.26896499,0.00000000,0.66953759,0.78374090
3.26863432,1.15745125,0.06374278,0.00000000,0.28176372,0.00000000,0.67192615,0.80783120
3.27463732,1.17981487,0.06490541,0.00000000,0.29470342,0.00000000,0.67588395,0.83158189
3.28064032,1.20294106,0.06654874,0.00000000,0.30754969,0.00000000,0.68107387,0.85439079
3.28664332,1.22613978,0.06868713,0.00000000,0.32007096,0.00000000,0.68714393,0.87567443
3.29264632,1.24875178,0.07133749,0.00000000,0.33204620,0.00000000,0.69374343,0.89488997
3.29864932,1.27017688,0.07451965,0.00000000,0.34327250,0.00000000,0.70053827,0.91155613
3.30465233,1.28989906,0.07825620,0.00000000,0.35357217,0.00000000,0.70722456,0.92527164
3.31065533,1.30750690,0.08257207,0.00000000,0.36279901,0.00000000,0.71353962,0.93573050
3.31665833,1.32270816,0.08749345,0.00000000,0.37084317,0.00000000,0.71926986,0.94273300
3.32266133,1.33533764,0.09304638,0.00000000,0.37763467,0.00000000,0.72425513,0.94619202
3.32866433,1.34535801,0.09925470,0.00000000,0.38314495,0.00000000,0.72838941,0.94613432
3.33466733,1.35285365,0.10613767,0.00000000,0.38738679,0.00000000,0.73161792,0.94269664
3.34067034,1.35801779,0.11370731,0.00000000,0.39041222,0.00000000,0.73393116,0.93611701
3.34667334,1.36113407,0.12196549,0.00000000,0.39230875,0.00000000,0.73535623,0.92672176
3.35267634,1.36255356,0.13090105,0.00000000,0.39319413,0.00000000,0.73594638,0.91490896
3.35867934,1.36266876,0.14048710,0.00000000,0.39320978,0.00000000,0.73576944,0.90112928
3.36468234,1.36188630,0.15067864,0.00000000,0.39251352,0.00000000,0.73489629,0.88586537
3.37068534,1.36059996,0.16141082,0.00000000,0.39127172,0.00000000,0.73339003,0.86961076
3.37668834,1.35916574,0.17259785,0.00000000,0.38965166,0.00000000,0.73129678,0.85284969
3.38269135,1.35788051,0.18413287,0.00000000,0.38781420,0.00000000,0.72863893,0.83603851
3.38869435,1.35696553,0.19588881,0.00000000,0.38590745,0.00000000,0.72541118,0.81958994
3.39469735,1.35655575,0.20772033,0.00000000,0.38406158,0.00000000,0.72157983,0.80386062
3.40070035,1.35669553,0.21946687,0.00000000,0.38238507,0.00000000,0.71708543,0.78914258
3.40670335,1.35734101,0.23095675,0.00000000,0.38096270,0.00000000,0.71184861,0.77565877
3.41270635,1.35836871,0.24201224,0.00000000,0.37985507,0.00000000,0.70577879,0.76356272
3.41870935,1.35959003,0.25245542,0.00000000,0.37909983,0.00000000,0.69878528,0.75294201
3.42471236,1.36077048,0.26211466,0.00000000,0.37871432,0.00000000,0.69079002,0.74382511
3.43071536,1.36165241,0.27083137,0.00000000,0.37869932,0.00000000,0.68174123,0.73619092
3.43671836,1.36198003,0.27846693,0.00000000,0.37904378,0.00000000,0.67162714,0.72998034
3.44272136,1.36152494,0.28490921,0.00000000,0.37972989,0.00000000,0.66048894,0.72510892
3.44872436,1.36011076,0.29007866,0.00000000,0.38073827,0.00000000,0.64843216,0.72147981
3.45472736,1.35763544,0.29393350,0.00000000,0.38205285,0.00000000,0.63563575,0.71899620
3.46073037,1.35408987,0.29647381,0.00000000,0.38366505,0.00000000,0.62235835,0.71757246
3.46673337,1.34957170,0.29774426,0.00000000,0.38557689,0.00000000,0.60894127,0.71714339
3.47273637,1.34429373,0.29783537,0.00000000,0.38780304,0.00000000,0.59580782,0.71767115
3.47873937,1.33858618,0.29688315,0.00000000,0.39037132,0.00000000,0.58345905,0.71914944
3.48474237,1.33289275,0.29506698,0.00000000,0.39332201,0.00000000,0.57246576,0.72160492
3.49074537,1.32776060,0.29260599,0.00000000,0.39670565,0.00000000,0.56345702,0.72509576
3.49674837,1.32382467,0.28975372,0.00000000,0.40057976,0.00000000,0.55710551,0.72970765
3.50275138,1.32178691,0.28679145,0.00000000,0.40500458,0.00000000,0.55411005,0.73554735
3.50875438,1.32239135,0.28402023,0.00000000,0.41003815,0.00000000,0.55517571,0.74273448
3.51475738,1.32639599,0.28175194,0.00000000,0.41573101,0.00000000,0.56099217,0.75139176
3.52076038,1.33454260,0.28029960,0.00000000,0.42212096,0.00000000,0.57221084,0.76163440
3.52676338,1.34752559,0.27996725,0.00000000,0.42922809,0.00000000,0.58942122,0.77355921
3.53276638,1.36596112,0.28103971,0.00000000,0.43705052,0.00000000,0.61312743,0.78723391
3.53876938,1.39035755,0.28377252,0.00000000,0.44556098,0.00000000,0.64372534,0.80268717
3.54477239,1.42108831,0.28838241,0.00000000,0.45470451,0.00000000,0.68148106,0.81989994
3.55077539,1.45836823,0.29503853,0.00000000,0.46439740,0.00000000,0.72651162,0.83879838
3.55677839,1.50223408,0.30385489,0.00000000,0.47452734,0.00000000,0.77876841,0.85924887
3.56278139,1.55253023,0.31488412,0.00000000,0.48495489,0.00000000,0.83802425,0.88105515
3.56878439,1.60889993,0.32811284,0.00000000,0.49551611,0.00000000,0.90386474,0.90395800
3.57478739,1.67078282,0.34345897,0.00000000,0.50602617,0.00000000,0.97568453,0.92763740
3.58079040,1.73741891,0.36077097,0.00000000,0.51628392,0.00000000,1.05268916,0.95171719
3.58679340,1.80785922,0.37982922,0.00000000,0.52607702,0.00000000,1.13390281,0.97577220
3.59279640,1.88098310,0.40034967,0.00000000,0.53518755,0.00000000,1.21818235,0.99933761
3.59879940,1.95552187,0.42198961,0.00000000,0.54339786,0.00000000,1.30423765,1.02192039
3.60480240,2.03008856,0.44435557,0.00000000,0.55049636,0.00000000,1.39065796,1.04301234
3.61080540,2.10321277,0.46701323,0.00000000,0.55628328,0.00000000,1.47594396,1.06210449
3.61680840,2.17337998,0.48949901,0.00000000,0.56057593,0.00000000,1.55854469,1.07870233
