energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.36822425,-1.21616951,1.03985994,-0.93329559,0.43142554,-0.22135920,0.59461851,-0.45711453,0.00000000,-0.00000000,0.06285666,-0.01814748,0.27923657,-0.33229828
-5.99399700,1.39027533,-1.19596076,1.05257247,-0.92383911,0.44052311,-0.21804055,0.60560433,-0.44988717,0.00000000,-0.00000000,0.06320825,-0.01793211,0.28241207,-0.32715077
-5.98799400,1.41050971,-1.17333068,1.06364063,-0.91313398,0.44893640,-0.21433908,0.61564202,-0.44188598,0.00000000,-0.00000000,0.06339824,-0.01773752,0.28529477,-0.32126463
-5.98199100,1.42850544,-1.14876263,1.07264229,-0.90151024,0.45653638,-0.21034463,0.62452649,-0.43329430,0.00000000,-0.00000000,0.06341990,-0.01756920,0.28781490,-0.31476444
-5.97598799,1.44386995,-1.12274093,1.07918771,-0.88928293,0.46320267,-0.20614713,0.63206708,-0.42429381,0.00000000,-0.00000000,0.06326899,-0.01743217,0.28990933,-0.30777619
-5.96998499,1.45624860,-1.09573847,1.08293290,-0.87674233,0.46882527,-0.20183422,0.63809133,-0.41505973,0.00000000,-0.00000000,0.06294379,-0.01733086,0.29152370,-0.30042424
-5.96398199,1.46533237,-1.06820517,1.08359130,-0.86414543,0.47330597,-0.19748899,0.64244832,-0.40575628,0.00000000,-0.00000000,0.06244506,-0.01726903,0.29261425,-0.29282835
-5.95797899,1.47086422,-1.04055779,1.08094316,-0.85170901,0.47655965,-0.19318793,0.64501138,-0.39653276,0.00000000,-0.00000000,0.06177598,-0.01724977,0.29314930,-0.28510111
-5.95197599,1.47264413,-1.01317143,1.07484235,-0.83960473,0.47851531,-0.18899927,0.64568023,-0.38752041,0.00000000,-0.00000000,0.06094194,-0.01727546,0.29311035,-0.27734577
-5.94597299,1.47053256,-0.98637320,1.06522016,-0.82795651,0.47911690,-0.18498170,0.64438246,-0.37883007,0.00000000,-0.00000000,0.05995036,-0.01734779,0.29249266,-0.26965448
-5.93996998,1.46445239,-0.96043821,1.05208624,-0.81684042,0.47832405,-0.18118351,0.64107431,-0.37055087,0.00000000,-0.00000000,0.05881042,-0.01746778,0.29130534,-0.26210721
-5.93396698,1.45438926,-0.93558822,1.03552649,-0.80628726,0.47611257,-0.17764237,0.63574091,-0.36275008,0.00000000,-0.00000000,0.05753280,-0.01763590,0.28957087,-0.25477122
-5.92796398,1.44039042,-0.91199274,1.01569839,-0.79628751,0.47247473,-0.17438550,0.62839588,-0.35547389,0.00000000,-0.00000000,0.05612937,-0.01785217,0.28732424,-0.24770114
-5.92196098,1.42256226,-0.88977280,0.99282390,-0.78679876,0.46741951,-0.17143043,0.61908037,-0.34874935,0.00000000,-0.00000000,0.05461293,-0.01811629,0.28461151,-0.24093975
-5.91595798,1.40106655,-0.86900691,0.96718046,-0.77775499,0.46097252,-0.16878617,0.60786172,-0.34258717,0.00000000,-0.00000000,0.05299692,-0.01842780,0.28148812,-0.23451928
-5.90995498,1.37611567,-0.84973900,0.93909061,-0.76907736,0.45317581,-0.16645490,0.59483163,-0.33698531,0.00000000,-0.00000000,0.05129518,-0.01878629,0.27801684,-0.22846317
-5.90395198,1.34796705,-0.83198785,0.90891083,-0.76068584,0.44408747,-0.16443380,0.58010399,-0.33193317,0.00000000,-0.00000000,0.04952173,-0.01919154,0.27426566,-0.22278837
-5.89794897,1.31691695,-0.81575745,0.87701994,-0.75251104,0.43378099,-0.16271726,0.56381250,-0.32741602,0.00000000,-0.00000000,0.04769057,-0.01964374,0.27030547,-0.21750772
-5.89194597,1.28329394,-0.80104766,0.84380791,-0.74450549,0.42234436,-0.16129905,0.54610804,-0.32341960,0.00000000,-0.00000000,0.04581552,-0.02014359,0.26620799,-0.21263269
-5.88594297,1.24745210,-0.78786453,0.80966527,-0.73665365,0.40987899,-0.16017453,0.52715585,-0.31993437,0.00000000,-0.00000000,0.04391010,-0.02069249,0.26204369,-0.20817586
-5.87993997,1.20976438,-0.77622974,0.77497364,-0.72898002,0.39649834,-0.15934263,0.50713272,-0.31695943,0.00000000,-0.00000000,0.04198743,-0.02129259,0.25788014,-0.20415342
-5.87393697,1.17061606,-0.76618846,0.74009772,-0.72155471,0.38232634,-0.15880758,0.48622406,-0.31450557,0.00000000,-0.00000000,0.04006017,-0.02194684,0.25378054,-0.20058724
