energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.90838195,0.35166621,0.00166509,0.53547976,1.34465870,0.05507120,1.33956415
-5.99399700,2.89321147,0.34788134,0.00166514,0.53702318,1.33324369,0.05357671,1.33864056
-5.98799400,2.86744187,0.34252038,0.00165721,0.53655097,1.31707523,0.05183678,1.33361537
-5.98199100,2.83268756,0.33576534,0.00164204,0.53433992,1.29694229,0.04988310,1.32525834
-5.97598799,2.79085802,0.32783262,0.00162060,0.53073056,1.27376603,0.04775201,1.31447404
-5.96998499,2.74408600,0.31896491,0.00159406,0.52611489,1.24856588,0.04548324,1.30226709
-5.96398199,2.69464620,0.30942206,0.00156372,0.52092169,1.22242167,0.04311846,1.28970243
-5.95797899,2.64486784,0.29947161,0.00153098,0.51560017,1.19643319,0.04069987,1.27786238
-5.95197599,2.59704439,0.28937901,0.00149731,0.51060258,1.17167881,0.03826887,1.26780218
-5.94597299,2.55334455,0.27939823,0.00146414,0.50636640,1.14917480,0.03586481,1.26050583
-5.93996998,2.51572791,0.26976308,0.00143286,0.50329715,1.12983692,0.03352386,1.25684415
-5.93396698,2.48586895,0.26067949,0.00140477,0.50175233,1.11444598,0.03127817,1.25753691
-5.92796398,2.46509257,0.25231922,0.00138100,0.50202739,1.10361847,0.02915508,1.26312060
-5.92196098,2.45432392,0.24481520,0.00136247,0.50434424,1.09778372,0.02717670,1.27392350
-5.91595798,2.45405456,0.23825860,0.00134991,0.50884311,1.09716825,0.02535963,1.29004897
-5.90995498,2.46432661,0.23269788,0.00134379,0.51557794,1.10178807,0.02371493,1.31136810
-5.90395198,2.48473550,0.22813969,0.00134431,0.52451571,1.11144924,0.02224832,1.33752195
-5.89794897,2.51445127,0.22455161,0.00135142,0.53553987,1.12575658,0.02096053,1.36793356
-5.89194597,2.55225776,0.22186667,0.00136481,0.54845779,1.14413027,0.01984786,1.40182938
-5.88594297,2.59660800,0.21998927,0.00138394,0.56301204,1.16582969,0.01890283,1.43826923
-5.87993997,2.64569362,0.21880240,0.00140804,0.57889505,1.18998353,0.01811497,1.47618392
-5.87393697,2.69752557,0.21817568,0.00143620,0.59576682,1.21562503,0.01747169,1.51441878
-5.86793397,2.75002276,0.21797404,0.00146735,0.61327475,1.24173098,0.01695912,1.55178152
-5.86193097,2.80110503,0.21806647,0.00150037,0.63107501,1.26726289,0.01656301,1.58709246
-5.85592796,2.84878672,0.21833469,0.00153407,0.64885447,1.29120879,0.01626957,1.61923500
-5.84992496,2.89126689,0.21868114,0.00156732,0.66635227,1.31262399,0.01606627,1.64720438
-5.84392196,2.92701253,0.21903616,0.00159903,0.68338013,1.33066918,0.01594251,1.67015245
-5.83791896,2.95483131,0.21936387,0.00162825,0.69984027,1.34464438,0.01589025,1.68742682
-5.83191596,2.97393080,0.21966668,0.00165418,0.71574031,1.35401740,0.01590444,1.69860252
