energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
0.02101051,2.16437208,-2.75647186,0.24888113,-0.21127882,0.75908880,-1.23182750,0.02145026,-0.01434452,0.08543935,-0.05411771,0.41283254,-0.35432381,0.89603062,-1.09843315,0.03429713,-0.02362591,0.29302267,-0.17224542
0.02701351,2.19623465,-2.76365835,0.25346828,-0.21389384,0.76285261,-1.26023083,0.02221407,-0.01334384,0.08894882,-0.05325207,0.42060161,-0.35640849,0.91691975,-1.08188053,0.03510652,-0.02399917,0.29566460,-0.16771114
0.03301651,2.23130863,-2.77352004,0.25859128,-0.21728736,0.76819572,-1.29114646,0.02297929,-0.01237525,0.09289427,-0.05295253,0.42890332,-0.36052857,0.93843649,-1.06453987,0.03601093,-0.02434833,0.29819062,-0.16369271
0.03901951,2.26936057,-2.78616748,0.26417126,-0.22145058,0.77514146,-1.32460749,0.02373546,-0.01145025,0.09725735,-0.05319548,0.43782327,-0.36665984,0.96035760,-1.04644383,0.03701837,-0.02468018,0.30054392,-0.16022836
0.04502251,2.31015282,-2.80176344,0.27012089,-0.22636778,0.78371145,-1.36066479,0.02447113,-0.01057905,0.10202078,-0.05395332,0.44746375,-0.37476667,0.98245843,-1.02766369,0.03813761,-0.02500252,0.30266940,-0.15734942
0.05102551,2.35346451,-2.82050387,0.27634724,-0.23201508,0.79393227,-1.39937437,0.02517401,-0.00977032,0.10716852,-0.05519452,0.45794403,-0.38479815,1.00452433,-1.00830664,0.03937791,-0.02532368,0.30451701,-0.15507911
0.05702851,2.39911125,-2.84259530,0.28275480,-0.23835915,0.80584178,-1.44078346,0.02583129,-0.00903115,0.11268600,-0.05688353,0.46940002,-0.39668388,1.02636143,-0.98851128,0.04074878,-0.02565206,0.30604493,-0.15343145
0.06303152,2.44696245,-2.86823041,0.28924874,-0.24535600,0.81949447,-1.48491608,0.02642992,-0.00836693,0.11856017,-0.05898068,0.48198301,-0.41032964,1.04780592,-0.96844160,0.04225965,-0.02599563,0.30722259,-0.15241019
0.06903452,2.49695490,-2.89756352,0.29573799,-0.25294994,0.83496533,-1.53175938,0.02695698,-0.00778133,0.12477952,-0.06144204,0.49585752,-0.42561347,1.06873173,-0.94828012,0.04391955,-0.02636138,0.30803316,-0.15200810
0.07503752,2.54910145,-2.93068789,0.30213833,-0.26107277,0.85235196,-1.58125168,0.02740011,-0.00727637,0.13133395,-0.06421935,0.51119799,-0.44238254,1.08905567,-0.92822039,0.04573684,-0.02675490,0.30847550,-0.15220638
0.08104052,2.60349408,-2.96761643,0.30837503,-0.26964360,0.87177427,-1.63327306,0.02774790,-0.00685242,0.13821447,-0.06726006,0.52818445,-0.46045112,1.10874017,-0.90845950,0.04771882,-0.02717992,0.30856539,-0.15297458
0.08704352,2.66030056,-3.00826736,0.31438514,-0.27856905,0.89337173,-1.68763945,0.02799031,-0.00650837,0.14541277,-0.07050756,0.54699702,-0.47959994,1.12779315,-0.88919108,0.04987145,-0.02763795,0.30833592,-0.15427081
0.09304652,2.71975452,-3.05245594,0.32011913,-0.28774416,0.91729801,-1.74410059,0.02811906,-0.00624174,0.15292052,-0.07390163,0.56780940,-0.49957724,1.14626506,-0.87059903,0.05219898,-0.02812809,0.30783701,-0.15604247
0.09904952,2.78213901,-3.09989302,0.32554191,-0.29705405,0.94371293,-1.80234241,0.02812799,-0.00604886,0.16072850,-0.07737905,0.59078138,-0.52010160,1.16424323,-0.85285249,0.05470354,-0.02864687,0.30713405,-0.15822739
0.10505253,2.84776396,-3.15019071,0.33063310,-0.30637614,0.97277208,-1.86199361,0.02801331,-0.00592503,0.16882555,-0.08087454,0.61605070,-0.54086654,1.18184382,-0.83610204,0.05738480,-0.02918826,0.30630559,-0.16075546
