energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.69096304,0.08738859,0.00249808,0.95301437,1.54177834,0.00629675,1.23237662
-5.99399700,2.69688708,0.09214274,0.00261519,0.96019710,1.53718930,0.00664949,1.21644023
-5.98799400,2.70557689,0.09688713,0.00273222,0.96792630,1.53411438,0.00700440,1.20208965
-5.98199100,2.71605454,0.10151648,0.00284716,0.97575101,1.53216575,0.00735439,1.18906072
-5.97598799,2.72726323,0.10592592,0.00295789,0.98318700,1.53091662,0.00769254,1.17704210
-5.96998499,2.73811009,0.11001386,0.00306228,0.98973544,1.52992195,0.00801220,1.16569305
-5.96398199,2.74750986,0.11368466,0.00315824,0.99490257,1.52873911,0.00830716,1.15466170
-5.95797899,2.75442737,0.11685129,0.00324378,0.99821923,1.52694750,0.00857182,1.14360295
-5.95197599,2.75791698,0.11943779,0.00331711,0.99925953,1.52416618,0.00880132,1.13219514
-5.94597299,2.75715725,0.12138133,0.00337665,0.99765756,1.52006874,0.00899167,1.12015458
-5.93996998,2.75147940,0.12263401,0.00342113,0.99312152,1.51439473,0.00913985,1.10724745
-5.93396698,2.74038841,0.12316408,0.00344960,0.98544455,1.50695731,0.00924391,1.09329847
-5.92796398,2.72357610,0.12295673,0.00346148,0.97451178,1.49764684,0.00930305,1.07819601
-5.92196098,2.70092595,0.12201434,0.00345659,0.96030342,1.48643052,0.00931762,1.06189376
-5.91595798,2.67250980,0.12035611,0.00343513,0.94289382,1.47334828,0.00928919,1.04440881
-5.90995498,2.63857699,0.11801728,0.00339769,0.92244670,1.45850539,0.00922050,1.02581671
-5.90395198,2.59953685,0.11504777,0.00334523,0.89920687,1.44206230,0.00911543,1.00624380
-5.89794897,2.55593589,0.11151046,0.00327904,0.87348906,1.42422267,0.00897896,0.98585747
-5.89194597,2.50843086,0.10747910,0.00320071,0.84566448,1.40522008,0.00881705,0.96485503
-5.88594297,2.45775937,0.10303596,0.00311207,0.81614586,1.38530443,0.00863655,0.94345192
-5.87993997,2.40470952,0.09826932,0.00301514,0.78537169,1.36472873,0.00844504,0.92186989
-5.87393697,2.35008994,0.09327094,0.00291205,0.75379056,1.34373694,0.00825070,0.90032586
-5.86793397,2.29470148,0.08813350,0.00280501,0.72184617,1.32255346,0.00806208,0.87902202
-5.86193097,2.23931170,0.08294818,0.00269621,0.68996368,1.30137467,0.00788795,0.85813749
-5.85592796,2.18463283,0.07780246,0.00258780,0.65853787,1.28036277,0.00773707,0.83782204
-5.84992496,2.13130375,0.07277810,0.00248180,0.62792353,1.25964197,0.00761795,0.81819183
-5.84392196,2.07987623,0.06794946,0.00238006,0.59842817,1.23929714,0.00753863,0.79932728
-5.83791896,2.03080546,0.06338213,0.00228423,0.57030724,1.21937443,0.00750643,0.78127305
-5.83191596,1.98444453,0.05913189,0.00219572,0.54376171,1.19988387,0.00752773,0.76403966
-5.82591296,1.94104271,0.05524397,0.00211567,0.51893792,1.18080333,0.00760772,0.74760674
-5.81990995,1.90074680,0.05175266,0.00204491,0.49592939,1.16208356,0.00775021,0.73192743
-5.81390695,1.86360522,0.04868124,0.00198401,0.47478031,1.14365389,0.00795743,0.71693349
-5.80790395,1.82957433,0.04604214,0.00193322,0.45549040,1.12542810,0.00822987,0.70254092
-5.80190095,1.79852641,0.04383736,0.00189251,0.43802069,1.10731034,0.00856617,0.68865570
-5.79589795,1.77025906,0.04205915,0.00186158,0.42230008,1.08920062,0.00896306,0.67517930
-5.78989495,1.74450572,0.04069082,0.00183986,0.40823218,1.07099988,0.00941530,0.66201389
-5.78389195,1.72094702,0.03970775,0.00182660,0.39570230,1.05261456,0.00991580,0.64906702
-5.77788894,1.69922307,0.03907855,0.00182082,0.38458442,1.03396052,0.01045565,0.63625564
-5.77188594,1.67894639,0.03876624,0.00182141,0.37474783,1.01496662,0.01102437,0.62350966
-5.76588294,1.65971572,0.03872960,0.00182714,0.36606349,0.99557784,0.01161008,0.61077478
-5.75987994,1.64113037,0.03892452,0.00183675,0.35840988,0.97575824,0.01219986,0.59801493
-5.75387694,1.62280531,0.03930537,0.00184894,0.35167841,0.95549376,0.01278004,0.58521417
-5.74787394,1.60438655,0.03982639,0.00186245,0.34577823,0.93479504,0.01333665,0.57237826
-5.74187094,1.58556660,0.04044293,0.00187609,0.34064042,0.91370017,0.01385581,0.55953588
-5.73586793,1.56609966,0.04111276,0.00188883,0.33622153,0.89227749,0.01432415,0.54673955
-5.72986493,1.54581587,0.04179712,0.00189977,0.33250632,0.87062822,0.01472928,0.53406616
-5.72386193,1.52463407,0.04246169,0.00190824,0.32950975,0.84888869,0.01506015,0.52161713
-5.71785893,1.50257237,0.04307733,0.00191380,0.32727797,0.82723218,0.01530745,0.50951809
-5.71185593,1.47975575,0.04362067,0.00191625,0.32588827,0.80586983,0.01546392,0.49791791
-5.70585293,1.45642014,0.04407439,0.00191571,0.32544799,0.78505042,0.01552458,0.48698700
-5.69984992,1.43291224,0.04442727,0.00191252,0.32609211,0.76505886,0.01548690,0.47691481
-5.69384692,1.40968474,0.04467405,0.00190734,0.32797973,0.74621290,0.01535086,0.46790627
-5.68784392,1.38728667,0.04481498,0.00190106,0.33128913,0.72885815,0.01511896,0.46017733
-5.68184092,1.36634878,0.04485518,0.00189482,0.33621173,0.71336105,0.01479610,0.45394936
-5.67583792,1.34756424,0.04480383,0.00188994,0.34294487,0.70010004,0.01438939,0.44944270
-5.66983492,1.33166501,0.04467318,0.00188790,0.35168356,0.68945485,0.01390787,0.44686931
-5.66383192,1.31939482,0.04447750,0.00189028,0.36261156,0.68179433,0.01336219,0.44642472
-5.65782891,1.31147941,0.04423200,0.00189868,0.37589187,0.67746308,0.01276422,0.44827972
-5.65182591,1.30859537,0.04395169,0.00191468,0.39165710,0.67676729,0.01212667,0.45257187
-5.64582291,1.31133878,0.04365043,0.00193977,0.40999999,0.67996055,0.01146261,0.45939734
-5.63981991,1.32019487,0.04334001,0.00197527,0.43096451,0.68722999,0.01078509,0.46880339
-5.63381691,1.33551026,0.04302945,0.00202228,0.45453788,0.69868357,0.01010673,0.48078195
-5.62781391,1.35746881,0.04272444,0.00208161,0.48064402,0.71433900,0.00943934,0.49526452
-5.62181091,1.38607241,0.04242710,0.00215372,0.50913861,0.73411505,0.00879362,0.51211887
-5.61580790,1.42112774,0.04213590,0.00223870,0.53980621,0.75782563,0.00817889,0.53114771
-5.60980490,1.46223952,0.04184579,0.00233622,0.57235964,0.78517716,0.00760290,0.55208949
-5.60380190,1.50881108,0.04154859,0.00244552,0.60644180,0.81576950,0.00707170,0.57462160
-5.59779890,1.56005216,0.04123357,0.00256540,0.64163001,0.84910063,0.00658959,0.59836565
-5.59179590,1.61499409,0.04088808,0.00269423,0.67744288,0.88457508,0.00615911,0.62289515
-5.58579290,1.67251178,0.04049837,0.00283001,0.71334958,0.92151594,0.00578115,0.64774495
-5.57978989,1.73135195,0.04005043,0.00297035,0.74878127,0.95918025,0.00545503,0.67242249
-5.57378689,1.79016661,0.03953080,0.00311258,0.78314441,0.99677710,0.00517870,0.69642030
-5.56778389,1.84755066,0.03892741,0.00325381,0.81583552,1.03348808,0.00494895,0.71922936
-5.56178089,1.90208211,0.03823023,0.00339098,0.84625693,1.06848926,0.00476161,0.74035283
-5.55577789,1.95236375,0.03743191,0.00352099,0.87383289,1.10097383,0.00461188,0.75931968
-5.54977489,1.99706434,0.03652823,0.00364078,0.89802560,1.13017480,0.00449452,0.77569759
-5.54377189,2.03495814,0.03551837,0.00374740,0.91835047,1.15538664,0.00440413,0.78910484
-5.53776888,2.06496110,0.03440509,0.00383814,0.93438998,1.17598524,0.00433544,0.79922052
-5.53176588,2.08616245,0.03319470,0.00391059,0.94580579,1.19144535,0.00428349,0.80579286
-5.52576288,2.09785057,0.03189690,0.00396272,0.95234845,1.20135489,0.00424385,0.80864532
-5.51975988,2.09953220,0.03052455,0.00399297,0.95386440,1.20542556,0.00421283,0.80768026
-5.51375688,2.09094448,0.02909324,0.00400026,0.95030000,1.20349950,0.00418760,0.80288011
-5.50775388,2.07205936,0.02762093,0.00398407,0.94170249,1.19555166,0.00416628,0.79430604
-5.50175088,2.04308054,0.02612737,0.00394441,0.92821777,1.18168806,0.00414803,0.78209434
