energy_ev,total_up,Cd_p_up,Cd_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-6.00000000,0.90262824,0.56090009,0.16069231,0.13727402,0.00000000,0.05729680,0.27519184
-5.99399700,0.82118847,0.52260621,0.14457293,0.12552089,0.00000000,0.05024480,0.25461704
-5.98799400,0.74985811,0.49117232,0.13010580,0.11531195,0.00000000,0.04374989,0.23731278
-5.98199100,0.68905650,0.46693525,0.11736066,0.10671652,0.00000000,0.03782730,0.22343470
-5.97598799,0.63898682,0.45009319,0.10636974,0.09977082,0.00000000,0.03247920,0.21307137
-5.96998499,0.59964966,0.44070787,0.09713075,0.09447965,0.00000000,0.02769652,0.20624637
-5.96398199,0.57085846,0.43870800,0.08961036,0.09081830,0.00000000,0.02346095,0.20292091
-5.95797899,0.55225629,0.44389350,0.08374789,0.08873477,0.00000000,0.01974695,0.20299689
-5.95197599,0.54333319,0.45594061,0.07945909,0.08815203,0.00000000,0.01652381,0.20632039
-5.94597299,0.54344372,0.47440771,0.07663993,0.08897041,0.00000000,0.01375760,0.21268543
-5.93996998,0.55182457,0.49874228,0.07517022,0.09106994,0.00000000,0.01141296,0.22183815
-5.93396698,0.56761228,0.52828886,0.07491716,0.09431289,0.00000000,0.00945479,0.23348143
-5.92796398,0.58986106,0.56229870,0.07573877,0.09854629,0.00000000,0.00784967,0.24728008
-5.92196098,0.61756127,0.59994115,0.07748709,0.10360466,0.00000000,0.00656717,0.26286680
-5.91595798,0.64965842,0.64031710,0.08001137,0.10931284,0.00000000,0.00558092,0.27984884
-5.90995498,0.68507330,0.68247474,0.08316117,0.11548914,0.00000000,0.00486953,0.29781569
-5.90395198,0.72272314,0.72542756,0.08678937,0.12194862,0.00000000,0.00441729,0.31634753
-5.89794897,0.76154377,0.76817444,0.09075519,0.12850662,0.00000000,0.00421477,0.33502465
-5.89194597,0.80051272,0.80972164,0.09492717,0.13498256,0.00000000,0.00425927,0.35343743
-5.88594297,0.83867271,0.84910601,0.09918600,0.14120375,0.00000000,0.00455509,0.37119687
-5.87993997,0.87515497,0.88541884,0.10342732,0.14700929,0.00000000,0.00511370,0.38794521
-5.87393697,0.90920170,0.91782946,0.10756423,0.15225386,0.00000000,0.00595378,0.40336629
-5.86793397,0.94018660,0.94560766,0.11152951,0.15681125,0.00000000,0.00710109,0.41719525
-5.86193097,0.96763266,0.96814400,0.11527744,0.16057759,0.00000000,0.00858814,0.42922697
-5.85592796,0.99122607,0.98496692,0.11878505,0.16347387,0.00000000,0.01045376,0.43932304
-5.84992496,1.01082537,0.99575589,0.12205272,0.16544797,0.00000000,0.01274234,0.44741650
-5.84392196,1.02646512,1.00034979,0.12510403,0.16647570,0.00000000,0.01550287,0.45351428
-5.83791896,1.03835325,0.99875004,0.12798478,0.16656109,0.00000000,0.01878775,0.45769691
-5.83191596,1.04686200,0.99111801,0.13076113,0.16573566,0.00000000,0.02265123,0.46011535
-5.82591296,1.05251216,0.97776697,0.13351682,0.16405672,0.00000000,0.02714762,0.46098498
-5.81990995,1.05595100,0.95914850,0.13634958,0.16160483,0.00000000,0.03232915,0.46057685
-5.81390695,1.05792450,0.93583410,0.13936674,0.15848031,0.00000000,0.03824363,0.45920636
-5.80790395,1.05924468,0.90849275,0.14268018,0.15479920,0.00000000,0.04493185,0.45721999
-5.80190095,1.06075330,0.87786524,0.14640084,0.15068852,0.00000000,0.05242479,0.45498031
-5.79589795,1.06328345,0.84473656,0.15063285,0.14628133,0.00000000,0.06074086,0.45285014
-5.78989495,1.06762046,0.80990749,0.15546778,0.14171153,0.00000000,0.06988311,0.45117639
-5.78389195,1.07446402,0.77416662,0.16097893,0.13710883,0.00000000,0.07983662,0.45027440
-5.77788894,1.08439311,0.73826401,0.16721624,0.13259398,0.00000000,0.09056624,0.45041343
-5.77188594,1.09783551,0.70288759,0.17420186,0.12827450,0.00000000,0.10201473,0.45180401
-5.76588294,1.11504323,0.66864322,0.18192672,0.12424106,0.00000000,0.11410158,0.45458776
-5.75987994,1.13607531,0.63603907,0.19034826,0.12056469,0.00000000,0.12672249,0.45883018
-5.75387694,1.16078871,0.60547488,0.19938957,0.11729486,0.00000000,0.13974979,0.46451678
-5.74787394,1.18883813,0.57723637,0.20893992,0.11445857,0.00000000,0.15303369,0.47155278
-5.74187094,1.21968467,0.55149464,0.21885682,0.11206036,0.00000000,0.16640464,0.47976635
-5.73586793,1.25261338,0.52831049,0.22896957,0.11008326,0.00000000,0.17967658,0.48891549
-5.72986493,1.28675874,0.50764298,0.23908414,0.10849066,0.00000000,0.19265113,0.49869793
-5.72386193,1.32113737,0.48936186,0.24898929,0.10722885,0.00000000,0.20512267,0.50876393
-5.71785893,1.35468619,0.47326277,0.25846369,0.10623019,0.00000000,0.21688400,0.51873118
-5.71185593,1.38630473,0.45908460,0.26728363,0.10541678,0.00000000,0.22773256,0.52820127
-5.70585293,1.41489934,0.44652788,0.27523120,0.10470428,0.00000000,0.23747676,0.53677689
-5.69984992,1.43942760,0.43527348,0.28210238,0.10400596,0.00000000,0.24594237,0.54407890
-5.69384692,1.45894070,0.42500052,0.28771478,0.10323651,0.00000000,0.25297852,0.54976271
