energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.39633174,0.01118583,0.45368613,0.85381958,0.83284908,0.01640299,0.91627896,0.73570963,0.10750473
-5.99399700,2.30688565,0.01136106,0.43445489,0.82119761,0.79916513,0.01607123,0.88710835,0.70894521,0.10413074
-5.98799400,2.22543011,0.01156252,0.41713304,0.79097167,0.76855942,0.01580778,0.86014871,0.68400097,0.10102185
-5.98199100,2.15212882,0.01177979,0.40174841,0.76332833,0.74109343,0.01561024,0.83548121,0.66102438,0.09819046
-5.97598799,2.08698383,0.01200190,0.38829000,0.73838334,0.71677690,0.01547585,0.81313500,0.64012498,0.09564272
-5.96998499,2.02985436,0.01221779,0.37671363,0.71618213,0.69557645,0.01540160,0.79308895,0.62137479,0.09337953
-5.96398199,1.98048103,0.01241663,0.36694854,0.69670315,0.67742571,0.01538439,0.77527590,0.60481029,0.09139770
-5.95797899,1.93851416,0.01258822,0.35890475,0.67986372,0.66223620,0.01542113,0.75958912,0.59043605,0.08969131
-5.95197599,1.90354451,0.01272336,0.35248074,0.66552818,0.64990856,0.01550892,0.74589043,0.57822925,0.08825312
-5.94597299,1.87513497,0.01281416,0.34757113,0.65351776,0.64034357,0.01564520,0.73401952,0.56814493,0.08707607
-5.93996998,1.85285149,0.01285430,0.34407406,0.64362158,0.63345211,0.01582789,0.72380392,0.56012138,0.08615460
-5.93396698,1.83629144,0.01283927,0.34189803,0.63560837,0.62916385,0.01605547,0.71506877,0.55408524,0.08548589
-5.92796398,1.82510813,0.01276650,0.34096768,0.62923816,0.62743394,0.01632705,0.70764611,0.54995600,0.08507083
-5.92196098,1.81903011,0.01263544,0.34122850,0.62427353,0.62824741,0.01664240,0.70138290,0.54764935,0.08491465
-5.91595798,1.81787419,0.01244754,0.34265015,0.62048973,0.63162113,0.01700186,0.69614732,0.54707937,0.08502736
-5.90995498,1.82155177,0.01220617,0.34522829,0.61768350,0.63760301,0.01740623,0.69183327,0.54815924,0.08542362
-5.90395198,1.83006802,0.01191651,0.34898483,0.61567990,0.64626863,0.01785666,0.68836251,0.55080060,0.08612249
-5.89794897,1.84351414,0.01158524,0.35396664,0.61433725,0.65771543,0.01835435,0.68568466,0.55491151,0.08714662
-5.89194597,1.86205320,0.01122037,0.36024273,0.61354976,0.67205473,0.01890036,0.68377499,0.56039340,0.08852127
-5.88594297,1.88590050,0.01083086,0.36790005,0.61324808,0.68940198,0.01949529,0.68263036,0.56713721,0.09027302
-5.87993997,1.91529934,0.01042629,0.37703815,0.61339763,0.70986580,0.02013902,0.68226348,0.57501915,0.09242830
-5.87393697,1.95049391,0.01001655,0.38776273,0.61399512,0.73353640,0.02083040,0.68269606,0.58389661,0.09501179
-5.86793397,1.99170051,0.00961143,0.40017868,0.61506337,0.76047385,0.02156705,0.68395134,0.59360446,0.09804478
-5.86193097,2.03907878,0.00922034,0.41438251,0.61664490,0.79069697,0.02234510,0.68604644,0.60395248,0.10154355
-5.85592796,2.09270458,0.00885198,0.43045476,0.61879465,0.82417329,0.02315910,0.68898515,0.61472403,0.10551792
-5.84992496,2.15254573,0.00851406,0.44845265,0.62157232,0.86081071,0.02400195,0.69275164,0.62567647,0.10996986
-5.84392196,2.21844214,0.00821312,0.46840313,0.62503464,0.90045113,0.02486488,0.69730548,0.63654344,0.11489252
-5.83791896,2.29009119,0.00795435,0.49029679,0.62922827,0.94286664,0.02573762,0.70257828,0.64703905,0.12026934
-5.83191596,2.36703926,0.00774146,0.51408292,0.63418341,0.98775828,0.02660854,0.70847232,0.65686408,0.12607364
-5.82591296,2.44867987,0.00757665,0.53966576,0.63990874,1.03475753,0.02746494,0.71486105,0.66571373,0.13226849
-5.81990995,2.53425862,0.00746063,0.56690241,0.64638785,1.08343077,0.02829338,0.72159164,0.67328697,0.13880690
-5.81390695,2.62288493,0.00739264,0.59560249,0.65357733,1.13328621,0.02908007,0.72848926,0.67929668,0.14563242
-5.80790395,2.71355005,0.00737057,0.62552956,0.66140676,1.18378350,0.02981130,0.73536301,0.68348041,0.15268000
-5.80190095,2.80515094,0.00739111,0.65640459,0.66978045,1.23434548,0.03047388,0.74201295,0.68561102,0.15987718
-5.79589795,2.89651910,0.00744993,0.68791135,0.67858107,1.28437184,0.03105555,0.74823802,0.68550664,0.16714558
-5.78989495,2.98645337,0.00754187,0.71970372,0.68767480,1.33325431,0.03154544,0.75384425,0.68303952,0.17440252
