energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.10204122,0.01445087,0.00000000,0.00022736,0.02985374,0.00396531,0.67667984,0.37081336,0.13869497
-5.99399700,1.01846955,0.01348425,0.00000000,0.00019760,0.02660678,0.00357236,0.62701242,0.34581517,0.12718776
-5.98799400,0.93887091,0.01255482,0.00000000,0.00017254,0.02366767,0.00321556,0.57949320,0.32174548,0.11631932
-5.98199100,0.86371887,0.01166763,0.00000000,0.00015197,0.02103140,0.00289638,0.53444552,0.29876847,0.10614489
-5.97598799,0.79343957,0.01082715,0.00000000,0.00013570,0.01869392,0.00261621,0.49216169,0.27703261,0.09671406
-5.96998499,0.72841287,0.01003733,0.00000000,0.00012357,0.01665236,0.00237638,0.45290334,0.25667127,0.08807110
-5.96398199,0.66897503,0.00930164,0.00000000,0.00011544,0.01490522,0.00217813,0.41690281,0.23780370,0.08025546
-5.95797899,0.61542237,0.00862313,0.00000000,0.00011122,0.01345272,0.00202269,0.38436512,0.22053614,0.07330254
-5.95197599,0.56801572,0.00800448,0.00000000,0.00011085,0.01229696,0.00191125,0.35547044,0.20496298,0.06724446
-5.94597299,0.52698484,0.00744807,0.00000000,0.00011432,0.01144227,0.00184496,0.33037658,0.19116785,0.06211096
-5.93996998,0.49253253,0.00695602,0.00000000,0.00012162,0.01089534,0.00182498,0.30922122,0.17922433,0.05793020
-5.93396698,0.46483790,0.00653020,0.00000000,0.00013279,0.01066551,0.00185243,0.29212362,0.16919643,0.05472942
-5.92796398,0.44405824,0.00617224,0.00000000,0.00014790,0.01076484,0.00192840,0.27918559,0.16113861,0.05253550
-5.92196098,0.43032946,0.00588358,0.00000000,0.00016702,0.01120813,0.00205388,0.27049142,0.15509520,0.05137513
-5.91595798,0.42376464,0.00566535,0.00000000,0.00019023,0.01201293,0.00222977,0.26610683,0.15109952,0.05127475
-5.90995498,0.42445070,0.00551840,0.00000000,0.00021760,0.01319926,0.00245677,0.26607675,0.14917237,0.05226012
-5.90395198,0.43244338,0.00544320,0.00000000,0.00024923,0.01478931,0.00273535,0.27042213,0.14932023,0.05435551
-5.89794897,0.44776048,0.00543977,0.00000000,0.00028514,0.01680693,0.00306567,0.27913584,0.15153318,0.05758251
-5.89194597,0.47037387,0.00550764,0.00000000,0.00032536,0.01927696,0.00344747,0.29217794,0.15578258,0.06195855
-5.88594297,0.50020067,0.00564571,0.00000000,0.00036988,0.02222440,0.00388003,0.30947053,0.16201890,0.06749506
