energy_ev,total_up,N_s_up,N_p_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,0.81068857,0.00814772,0.08256641,0.43121893,0.20883059,0.40927046,0.00000000
-5.99399700,0.76806192,0.00769334,0.07507080,0.40275511,0.20193016,0.38808975,0.00000000
-5.98799400,0.72966907,0.00726171,0.06803620,0.37726221,0.19617214,0.36884455,0.00000000
-5.98199100,0.69555319,0.00685833,0.06144403,0.35460018,0.19157916,0.35158619,0.00000000
-5.97598799,0.66568920,0.00648746,0.05527920,0.33461968,0.18814385,0.33633089,0.00000000
-5.96998499,0.63997786,0.00615197,0.04952938,0.31715965,0.18582782,0.32305621,0.00000000
-5.96398199,0.61824263,0.00585338,0.04418417,0.30204514,0.18456172,0.31169909,0.00000000
-5.95797899,0.60022970,0.00559188,0.03923427,0.28908585,0.18424646,0.30215557,0.00000000
-5.95197599,0.58561140,0.00536642,0.03467062,0.27807564,0.18475560,0.29428231,0.00000000
-5.94597299,0.57399294,0.00517483,0.03048372,0.26879318,0.18593889,0.28789989,0.00000000
-5.93996998,0.56492226,0.00501396,0.02666300,0.26100386,0.18762671,0.28279773,0.00000000
-5.93396698,0.55790264,0.00487989,0.02319646,0.25446287,0.18963536,0.27874046,0.00000000
-5.92796398,0.55240744,0.00476813,0.02007040,0.24891941,0.19177300,0.27547543,0.00000000
-5.92196098,0.54789640,0.00467380,0.01726938,0.24412172,0.19384593,0.27274102,0.00000000
-5.91595798,0.54383271,0.00459186,0.01477624,0.23982269,0.19566493,0.27027529,0.00000000
-5.90995498,0.53970004,0.00451734,0.01257236,0.23578583,0.19705157,0.26782476,0.00000000
-5.90395198,0.53501882,0.00444545,0.01063793,0.23179110,0.19784399,0.26515270,0.00000000
-5.89794897,0.52936107,0.00437184,0.00895235,0.22764044,0.19790214,0.26204671,0.00000000
-5.89194597,0.52236302,0.00429264,0.00749462,0.22316259,0.19711204,0.25832528,0.00000000
-5.88594297,0.51373514,0.00420466,0.00624374,0.21821700,0.19538915,0.25384291,0.00000000
-5.87993997,0.50326922,0.00410537,0.00517915,0.21269668,0.19268050,0.24849387,0.00000000
-5.87393697,0.49084217,0.00399303,0.00428110,0.20652970,0.18896567,0.24221422,0.00000000
-5.86793397,0.47641658,0.00386663,0.00353097,0.19967953,0.18425655,0.23498227,0.00000000
-5.86193097,0.46003828,0.00372589,0.00291155,0.19214406,0.17859598,0.22681747,0.00000000
-5.85592796,0.44183087,0.00357124,0.00240729,0.18395340,0.17205532,0.21777786,0.00000000
-5.84992496,0.42198791,0.00340368,0.00200448,0.17516672,0.16473115,0.20795623,0.00000000
-5.84392196,0.40076309,0.00322475,0.00169133,0.16586824,0.15674125,0.19747535,0.00000000
-5.83791896,0.37845897,0.00303641,0.00145814,0.15616258,0.14822009,0.18648246,0.00000000
-5.83191596,0.35541490,0.00284091,0.00129726,0.14616979,0.13931406,0.17514326,0.00000000
-5.82591296,0.33199460,0.00264070,0.00120320,0.13602020,0.13017658,0.16363581,0.00000000
-5.81990995,0.30857406,0.00243832,0.00117257,0.12584951,0.12096343,0.15214446,0.00000000
-5.81390695,0.28553010,0.00223627,0.00120411,0.11579407,0.11182829,0.14085422,0.00000000
-5.80790395,0.26323006,0.00203697,0.00129871,0.10598676,0.10291882,0.12994548,0.00000000
-5.80190095,0.24202284,0.00184266,0.00145932,0.09655351,0.09437325,0.11958955,0.00000000
-5.79589795,0.22223152,0.00165530,0.00169105,0.08761047,0.08631759,0.10994479,0.00000000
-5.78989495,0.20414753,0.00147660,0.00200108,0.07926207,0.07886350,0.10115362,0.00000000
-5.78389195,0.18802642,0.00130795,0.00239870,0.07159976,0.07210679,0.09334016,0.00000000
-5.77788894,0.17408516,0.00115039,0.00289531,0.06470149,0.06612650,0.08660869,0.00000000
-5.77188594,0.16250061,0.00100467,0.00350443,0.05863193,0.06098450,0.08104264,0.00000000
-5.76588294,0.15340920,0.00087121,0.00424164,0.05344312,0.05672553,0.07670412,0.00000000
-5.75987994,0.14690733,0.00075015,0.00512461,0.04917564,0.05337760,0.07363386,0.00000000
-5.75387694,0.14305253,0.00064137,0.00617302,0.04586010,0.05095260,0.07185148,0.00000000
-5.74787394,0.14186493,0.00054454,0.00740845,0.04351874,0.04944714,0.07135600,0.00000000
-5.74187094,0.14332901,0.00045917,0.00885429,0.04216719,0.04884347,0.07212642,0.00000000
-5.73586793,0.14739556,0.00038461,0.01053552,0.04181612,0.04911047,0.07412261,0.00000000
-5.72986493,0.15398362,0.00032013,0.01247848,0.04247282,0.05020461,0.07728611,0.00000000
-5.72386193,0.16298254,0.00026494,0.01471057,0.04414248,0.05207105,0.08154126,0.00000000
-5.71785893,0.17425418,0.00021825,0.01725981,0.04682938,0.05464468,0.08679640,0.00000000
