energy_ev,total_up,Rh_p_up,Rh_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,0.36307566,0.22212841,0.14137684,0.00804177,0.00001177,0.19106631,0.00000000
-5.99399700,0.38594133,0.23533554,0.14824570,0.00912985,0.00001315,0.20386944,0.00000000
-5.98799400,0.41038959,0.24905064,0.15562301,0.01031021,0.00001460,0.21761549,0.00000000
-5.98199100,0.43641696,0.26319643,0.16353405,0.01158066,0.00001614,0.23230477,0.00000000
-5.97598799,0.46397848,0.27767091,0.17199086,0.01293753,0.00001775,0.24791347,0.00000000
-5.96998499,0.49298663,0.29234853,0.18099145,0.01437581,0.00001944,0.26439267,0.00000000
-5.96398199,0.52331234,0.30708243,0.19051966,0.01588931,0.00002121,0.28166830,0.00000000
-5.95797899,0.55478778,0.32170790,0.20054567,0.01747096,0.00002304,0.29964211,0.00000000
-5.95197599,0.58721106,0.33604680,0.21102721,0.01911321,0.00002494,0.31819364,0.00000000
-5.94597299,0.62035246,0.34991290,0.22191136,0.02080845,0.00002691,0.33718302,0.00000000
-5.93996998,0.65396192,0.36311766,0.23313668,0.02254950,0.00002896,0.35645453,0.00000000
-5.93396698,0.68777733,0.37547645,0.24463576,0.02433016,0.00003109,0.37584069,0.00000000
-5.92796398,0.72153307,0.38681469,0.25633783,0.02614567,0.00003330,0.39516663,0.00000000
-5.92196098,0.75496849,0.39697362,0.26817131,0.02799323,0.00003560,0.41425454,0.00000000
-5.91595798,0.78783551,0.40581556,0.28006610,0.02987239,0.00003801,0.43292792,0.00000000
-5.90995498,0.81990523,0.41322819,0.29195558,0.03178532,0.00004052,0.45101550,0.00000000
-5.90395198,0.85097293,0.41912774,0.30377792,0.03373700,0.00004315,0.46835457,0.00000000
-5.89794897,0.88086126,0.42346100,0.31547697,0.03573522,0.00004591,0.48479362,0.00000000
-5.89194597,0.90942159,0.42620590,0.32700234,0.03779035,0.00004881,0.50019423,0.00000000
-5.88594297,0.93653337,0.42737089,0.33830896,0.03991506,0.00005184,0.51443225,0.00000000
-5.87993997,0.96210177,0.42699307,0.34935606,0.04212376,0.00005502,0.52739818,0.00000000
-5.87393697,0.98605390,0.42513519,0.36010571,0.04443192,0.00005833,0.53899708,0.00000000
-5.86793397,1.00833393,0.42188190,0.37052105,0.04685533,0.00006178,0.54914794,0.00000000
-5.86193097,1.02889763,0.41733535,0.38056448,0.04940922,0.00006535,0.55778286,0.00000000
-5.85592796,1.04770700,0.41161052,0.39019596,0.05210742,0.00006902,0.56484618,0.00000000
-5.84992496,1.06472528,0.40483050,0.39937158,0.05496158,0.00007276,0.57029367,0.00000000
-5.84392196,1.07991309,0.39712209,0.40804268,0.05798045,0.00007655,0.57409214,0.00000000
-5.83791896,1.09322598,0.38861187,0.41615559,0.06116940,0.00008034,0.57621935,0.00000000
-5.83191596,1.10461378,0.37942300,0.42365216,0.06453016,0.00008410,0.57666445,0.00000000
-5.82591296,1.11402191,0.36967288,0.43047105,0.06806078,0.00008777,0.57542896,0.00000000
