energy_ev,total_up,P_s_up,P_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.06569920,0.00000000,0.02329696,0.02716289,0.01237189,0.00000000,0.01380205
-5.99399700,0.06884677,0.00000000,0.02441309,0.02846423,0.01296461,0.00000000,0.01446329
-5.98799400,0.07162704,0.00000000,0.02539898,0.02961372,0.01348816,0.00000000,0.01504737
-5.98199100,0.07398446,0.00000000,0.02623492,0.03058837,0.01393209,0.00000000,0.01554261
-5.97598799,0.07587070,0.00000000,0.02690378,0.03136822,0.01428729,0.00000000,0.01593887
-5.96998499,0.07724632,0.00000000,0.02739157,0.03193696,0.01454634,0.00000000,0.01622786
-5.96398199,0.07808214,0.00000000,0.02768796,0.03228253,0.01470374,0.00000000,0.01640345
-5.95797899,0.07836030,0.00000000,0.02778659,0.03239752,0.01475612,0.00000000,0.01646189
-5.95197599,0.07807484,0.00000000,0.02768537,0.03227949,0.01470238,0.00000000,0.01640193
-5.94597299,0.07723198,0.00000000,0.02738649,0.03193100,0.01454367,0.00000000,0.01622487
-5.93996998,0.07584988,0.00000000,0.02689639,0.03135956,0.01428343,0.00000000,0.01593453
-5.93396698,0.07395802,0.00000000,0.02622554,0.03057735,0.01392720,0.00000000,0.01553710
-5.92796398,0.07159616,0.00000001,0.02538802,0.02960080,0.01348247,0.00000000,0.01504095
-5.92196098,0.06881301,0.00000001,0.02440111,0.02845006,0.01295844,0.00000000,0.01445630
-5.91595798,0.06566461,0.00000001,0.02328468,0.02714827,0.01236566,0.00000000,0.01379493
-5.90995498,0.06221251,0.00000002,0.02206055,0.02572087,0.01171572,0.00000000,0.01306979
-5.90395198,0.05852187,0.00000003,0.02075183,0.02419478,0.01102093,0.00000000,0.01229457
-5.89794897,0.05465957,0.00000004,0.01938224,0.02259763,0.01029389,0.00000000,0.01148332
-5.89194597,0.05069236,0.00000005,0.01797544,0.02095697,0.00954721,0.00000000,0.01065011
-5.88594297,0.04668524,0.00000008,0.01655448,0.01929963,0.00879318,0.00000000,0.00980859
-5.87993997,0.04269995,0.00000011,0.01514124,0.01765107,0.00804347,0.00000000,0.00897178
-5.87393697,0.03879393,0.00000016,0.01375609,0.01603494,0.00730899,0.00000000,0.00815177
-5.86793397,0.03501940,0.00000022,0.01241754,0.01447272,0.00659968,0.00000000,0.00735961
-5.86193097,0.03142301,0.00000030,0.01114212,0.01298355,0.00592444,0.00000000,0.00660516
-5.85592796,0.02804566,0.00000042,0.00994432,0.01158412,0.00529116,0.00000000,0.00589712
-5.84992496,0.02492284,0.00000057,0.00883670,0.01028886,0.00470674,0.00000000,0.00524304
-5.84392196,0.02208514,0.00000078,0.00783010,0.00911009,0.00417722,0.00000000,0.00464953
-5.83791896,0.01955923,0.00000105,0.00693395,0.00805842,0.00370800,0.00000000,0.00412238
-5.83191596,0.01736898,0.00000141,0.00615667,0.00714321,0.00330398,0.00000000,0.00366684
-5.82591296,0.01553680,0.00000187,0.00550616,0.00637307,0.00296995,0.00000000,0.00328793
-5.81990995,0.01408517,0.00000247,0.00499033,0.00575653,0.00271078,0.00000000,0.00299074
-5.81390695,0.01303820,0.00000324,0.00461768,0.00530260,0.00253182,0.00000000,0.00278078
-5.80790395,0.01242325,0.00000423,0.00439780,0.00502144,0.00243916,0.00000000,0.00266436
-5.80190095,0.01227247,0.00000547,0.00434199,0.00492498,0.00243995,0.00000000,0.00264886
-5.79589795,0.01262419,0.00000702,0.00446371,0.00502745,0.00254271,0.00000000,0.00274311
-5.78989495,0.01352414,0.00000895,0.00477899,0.00534588,0.00275750,0.00000000,0.00295761
-5.78389195,0.01502639,0.00001133,0.00530681,0.00590044,0.00309618,0.00000001,0.00330473
