energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,8.17746990,0.80501160,4.05464767,0.01461279,0.68892285,0.06380761,1.98395620,1.46930624,1.22501623
-5.99399700,8.29777094,0.81835239,4.17661356,0.01502330,0.67612108,0.06562977,1.99324437,1.47075780,1.21244145
-5.98799400,8.43126638,0.83338258,4.30635148,0.01547384,0.66352275,0.06753600,2.00571309,1.47406916,1.20108599
-5.98199100,8.57566231,0.84997169,4.44231724,0.01595621,0.65105531,0.06949980,2.02095520,1.47892082,1.19074103
-5.97598799,8.72843247,0.86795162,4.58282669,0.01646178,0.63864218,0.07149357,2.03851056,1.48496973,1.18117064
-5.96998499,8.88689266,0.88711956,4.72609966,0.01698181,0.62620895,0.07348923,2.05787982,1.49186115,1.17212472
-5.96398199,9.04827613,0.90724171,4.87030538,0.01750766,0.61368907,0.07545895,2.07853819,1.49924007,1.16335144
-5.95797899,9.20980722,0.92805770,5.01360795,0.01803102,0.60102870,0.07737572,2.09994873,1.50676188,1.15460858
-5.95197599,9.36877055,0.94928570,5.15420996,0.01854414,0.58819052,0.07921397,2.12157485,1.51410165,1.14567332
-5.94597299,9.52257358,0.97062800,5.29039289,0.01904003,0.57515638,0.08095010,2.14289152,1.52096202,1.13635024
-5.93996998,9.66880062,0.99177708,5.42055274,0.01951255,0.56192877,0.08256288,2.16339515,1.52707932,1.12647729
-5.93396698,9.80525688,1.01242187,5.54322994,0.01995658,0.54853105,0.08403380,2.18261184,1.53222781,1.11592966
-5.92796398,9.93000158,1.03225422,5.65713253,0.02036802,0.53500659,0.08534727,2.20010401,1.53622204,1.10462156
-5.92196098,10.04136987,1.05097510,5.76115221,0.02074389,0.52141687,0.08649072,2.21547533,1.53891742,1.09250601
-5.91595798,10.13798353,1.06830064,5.85437308,0.02108221,0.50783874,0.08745458,2.22837412,1.54020909,1.07957299
-5.90995498,10.21875132,1.08396762,5.93607342,0.02138202,0.49436099,0.08823215,2.23849518,1.54002930,1.06584607
-5.90395198,10.28286003,1.09773827,6.00572090,0.02164327,0.48108062,0.08881933,2.24558042,1.53834362,1.05137799
-5.89794897,10.32975793,1.10940427,6.06296251,0.02186667,0.46809872,0.08921441,2.24941831,1.53514632,1.03624545
-5.89194597,10.35913259,1.11878987,6.10761004,0.02205356,0.45551662,0.08941764,2.24984259,1.53045523,1.02054361
-5.88594297,10.37088512,1.12575398,6.13962289,0.02220579,0.44343206,0.08943092,2.24673037,1.52430647,1.00438056
-5.87993997,10.36510339,1.13019140,6.15908949,0.02232549,0.43193606,0.08925741,2.23999996,1.51674951,0.98787217
-5.87393697,10.34203627,1.13203309,6.16620904,0.02241500,0.42111022,0.08890124,2.22960874,1.50784281,0.97113757
-5.86793397,10.30207103,1.13124569,6.16127486,0.02247664,0.41102487,0.08836721,2.21555122,1.49765037,0.95429557
-5.86193097,10.24571570,1.12783041,6.14466072,0.02251265,0.40173807,0.08766063,2.19785768,1.48623949,0.93746212
-5.85592796,10.17358758,1.12182155,6.11681102,0.02252503,0.39329544,0.08678724,2.17659326,1.47367981,0.92074890
-5.84992496,10.08640860,1.11328467,6.07823535,0.02251550,0.38573086,0.08575318,2.15185796,1.46004376,0.90426310
-5.84392196,9.98500771,1.10231475,6.02950764,0.02248546,0.37906797,0.08456511,2.12378716,1.44540835,0.88810832
-5.83791896,9.87032946,1.08903443,5.97126951,0.02243591,0.37332230,0.08323038,2.09255287,1.42985811,0.87238633
-5.83191596,9.74344781,1.07359244,5.90423719,0.02236755,0.36850396,0.08175732,2.05836538,1.41348895,0.85719956
-5.82591296,9.60558302,1.05616228,5.82921079,0.02228076,0.36462057,0.08015544,2.02147511,1.39641271,0.84265407
-5.81990995,9.45811962,1.03694118,5.74708459,0.02217569,0.36168030,0.07843584,1.98217430,1.37876172,0.82886247
-5.81390695,9.30262262,1.01614928,5.65885668,0.02205234,0.35969472,0.07661142,1.94079825,1.36069312,0.81594673
-5.80790395,9.14084942,0.99402887,5.56563625,0.02191062,0.35868124,0.07469717,1.89772570,1.34239247,0.80404026
-5.80190095,8.97475473,0.97084358,5.46864698,0.02175053,0.35866495,0.07271029,1.85337791,1.32407593,0.79328911
-5.79589795,8.80648618,0.94687741,5.36922496,0.02157215,0.35967956,0.07067031,1.80821626,1.30599096,0.78385186
-5.78989495,8.63836890,0.92243329,5.26881013,0.02137584,0.36176739,0.06859896,1.76273804,1.28841492,0.77589819
-5.78389195,8.47287777,0.89783107,5.16893040,0.02116222,0.36497826,0.06652006,1.71747028,1.27165148,0.76960575
-5.77788894,8.31259717,0.87340477,5.07117835,0.02093229,0.36936728,0.06445914,1.67296166,1.25602477,0.76515551
-5.77188594,8.16016870,0.84949904,4.97718067,0.02068747,0.37499155,0.06244303,1.62977258,1.24187136,0.76272557
-5.76588294,8.01822821,0.82646472,4.88856129,0.02042956,0.38190589,0.06049928,1.58846365,1.22953018,0.76248369
-5.75987994,7.88933451,0.80465356,4.80689946,0.02016079,0.39015786,0.05865551,1.54958293,1.21933099,0.76457883
-5.75387694,7.77589264,0.78441228,4.73368454,0.01988374,0.39978229,0.05693869,1.51365253,1.21158167,0.76913202
-5.74787394,7.68007533,0.76607591,4.67026969,0.01960131,0.41079553,0.05537442,1.48115496,1.20655517,0.77622729
-5.74187094,7.60374645,0.74996097,4.61782656,0.01931666,0.42318999,0.05398615,1.45252003,1.20447668,0.78590285
-5.73586793,7.54839054,0.73635834,4.57730356,0.01903310,0.43692919,0.05279450,1.42811279,1.20551179,0.79814340
-5.72986493,7.51505229,0.72552652,4.54938972,0.01875402,0.45194367,0.05181663,1.40822319,1.20975634,0.81287390
-5.72386193,7.50428936,0.71768526,4.53448648,0.01848278,0.46812815,0.05106569,1.39305786,1.21722863,0.82995535
-5.71785893,7.51614168,0.71301001,4.53268878,0.01822264,0.48534028,0.05055042,1.38273461,1.22786444,0.84918305
-5.71185593,7.55011898,0.71162730,4.54377697,0.01797664,0.50340100,0.05027491,1.37727976,1.24151536,0.87028751
-5.70585293,7.60520804,0.71361143,4.56721998,0.01774759,0.52209681,0.05023848,1.37662854,1.25795051,0.89293828
-5.69984992,7.67989958,0.71898238,4.60219006,0.01753792,0.54118385,0.05043570,1.38062842,1.27686179,0.91675061
-5.69384692,7.77223395,0.72770520,4.64758843,0.01734971,0.56039374,0.05085662,1.38904532,1.29787238,0.94129486
-5.68784392,7.87986373,0.73969071,4.70208098,0.01718463,0.57944094,0.05148710,1.40157225,1.32054818,0.96610826
-5.68184092,8.00013046,0.75479755,4.76414232,0.01704392,0.59803135,0.05230922,1.41783998,1.34441165,0.99070861
-5.67583792,8.13015199,0.77283541,4.83210639,0.01692840,0.61587177,0.05330191,1.43742919,1.36895735,1.01460929
-5.66983492,8.26691645,0.79356923,4.90422123,0.01683846,0.63267968,0.05444146,1.45988341,1.39366838,1.03733498
-5.66383192,8.40737851,0.81672415,4.97870572,0.01677412,0.64819302,0.05570228,1.48472237,1.41803310,1.05843725
-5.65782891,8.54855382,0.84199111,5.05380565,0.01673499,0.66217933,0.05705751,1.51145483,1.44156098,1.07750937
-5.65182591,8.68760721,0.86903266,5.12784693,0.01672034,0.67444386,0.05847969,1.53959061,1.46379724,1.09419963
-5.64582291,8.82193137,0.89748895,5.19928379,0.01672912,0.68483621,0.05994142,1.56865132,1.48433526,1.10822250
-5.63981991,8.94921282,0.92698362,5.26674024,0.01675999,0.69325525,0.06141589,1.59817935,1.50282653,1.11936714
-5.63381691,9.06748300,0.95712956,5.32904335,0.01681129,0.69965192,0.06287742,1.62774500,1.51898763,1.12750297
-5.62781391,9.17515323,0.98753425,5.38524748,0.01688114,0.70403006,0.06430186,1.65695169,1.53260416,1.13258195
-5.62181091,9.27103310,1.01780495,5.43464909,0.01696740,0.70644495,0.06566696,1.68543916,1.54353161,1.13463768
-5.61580790,9.35433273,1.04755336,5.47679210,0.01706770,0.70700003,0.06695263,1.71288502,1.55169342,1.13378139
-5.60980490,9.42465029,1.07640020,5.51146433,0.01717943,0.70584174,0.06814113,1.73900472,1.55707654,1.13019512
-5.60380190,9.48194662,1.10397940,5.53868591,0.01729983,0.70315292,0.06921720,1.76355039,1.55972498,1.12412261
-5.59779890,9.52650952,1.12994231,5.55869075,0.01742593,0.69914525,0.07016813,1.78630882,1.55973190,1.11585833
-5.59179590,9.55891038,1.15396173,5.57190255,0.01755462,0.69405091,0.07098377,1.80709905,1.55723088,1.10573530
-5.58579290,9.57995607,1.17573607,5.57890671,0.01768270,0.68811413,0.07165654,1.82576983,1.55238690,1.09411238
