energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.71094266,-2.76316170,0.01453525,-0.02362170,0.00000000,-0.00000000,1.18591689,-1.81017998,0.32604077,-0.67693619,0.01771849,-0.01860906,0.05540521,-0.13191749,1.13835442,-1.75709397,0.00000000,-0.00000000
-5.99399700,1.62798504,-2.70918669,0.01384894,-0.02328612,0.00000000,-0.00000000,1.12769809,-1.76954858,0.30208656,-0.65692350,0.01741154,-0.01861067,0.05109717,-0.12520380,1.08817077,-1.73012423,0.00000000,-0.00000000
-5.98799400,1.54495237,-2.64684935,0.01316324,-0.02286543,0.00000000,-0.00000000,1.07006686,-1.72508496,0.27919982,-0.63526502,0.01704763,-0.01853361,0.04701439,-0.11871023,1.03726433,-1.69701869,0.00000000,-0.00000000
-5.98199100,1.46237776,-2.57648781,0.01248269,-0.02236235,0.00000000,-0.00000000,1.01335324,-1.67686209,0.25747248,-0.61208319,0.01663434,-0.01837976,0.04315527,-0.11239292,0.98601807,-1.65803197,0.00000000,-0.00000000
-5.97598799,1.38079662,-2.49857574,0.01181178,-0.02178079,0.00000000,-0.00000000,0.95790533,-1.62503733,0.23697885,-0.58752878,0.01618030,-0.01815228,0.03951870,-0.10621632,0.93482338,-1.61350575,0.00000000,-0.00000000
-5.96998499,1.30074285,-2.41371708,0.01115497,-0.02112587,0.00000000,-0.00000000,0.90408655,-1.56985268,0.21777644,-0.56177862,0.01569499,-0.01785561,0.03610367,-0.10015411,0.88407713,-1.56386486,0.00000000,-0.00000000
-5.96398199,1.22274457,-2.32263661,0.01051664,-0.02040386,0.00000000,-0.00000000,0.85227198,-1.51163211,0.19990701,-0.53503233,0.01518850,-0.01749542,0.03290895,-0.09418946,0.83417817,-1.50961111,0.00000000,-0.00000000
-5.95797899,1.14731903,-2.22616666,0.00990111,-0.01962210,0.00000000,-0.00000000,0.80284388,-1.45077639,0.18339780,-0.50750802,0.01467130,-0.01707854,0.02993294,-0.08831489,0.78552309,-1.45131490,0.00000000,-0.00000000
-5.95197599,1.07496678,-2.12523077,0.00931257,-0.01878888,0.00000000,-0.00000000,0.75618612,-1.38775582,0.16826273,-0.47943744,0.01415394,-0.01661284,0.02717350,-0.08253161,0.73850132,-1.38960514,0.00000000,-0.00000000
-5.94597299,1.00616486,-2.02082484,0.00875507,-0.01791329,0.00000000,-0.00000000,0.71267765,-1.32310122,0.15450355,-0.45106057,0.01364680,-0.01610711,0.02462794,-0.07684857,0.69348936,-1.32515769,0.00000000,-0.00000000
-5.93996998,0.94135916,-1.91399667,0.00823241,-0.01700505,0.00000000,-0.00000000,0.67268481,-1.25739366,0.14211077,-0.42262018,0.01315974,-0.01557087,0.02229300,-0.07128119,0.65084445,-1.25868278,0.00000000,-0.00000000
-5.93396698,0.88095601,-1.80582460,0.00774808,-0.01607433,0.00000000,-0.00000000,0.63655292,-1.19125328,0.13106455,-0.39435637,0.01270189,-0.01501420,0.02016489,-0.06584992,0.61089767,-1.19091185,0.00000000,-0.00000000
-5.92796398,0.82531332,-1.69739591,0.00730523,-0.01513155,0.00000000,-0.00000000,0.60459702,-1.12532762,0.12133517,-0.36650146,0.01228130,-0.01444747,0.01823931,-0.06057876,0.57394670,-1.12258415,0.00000000,-0.00000000
-5.92196098,0.77473162,-1.58978583,0.00690649,-0.01418719,0.00000000,-0.00000000,0.57709229,-1.06027973,0.11288350,-0.33927540,0.01190474,-0.01388113,0.01651153,-0.05549373,0.54024865,-1.05443355,0.00000000,-0.00000000
