energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,8.71770175,2.72016050,6.05210308,0.00865178,1.15230109,0.03544851,0.55824463
-5.99399700,8.80542513,2.78475538,6.10883382,0.00880643,1.15663645,0.03612730,0.56717064
-5.98799400,8.88198547,2.84659106,6.15686413,0.00897558,1.15902462,0.03663480,0.57696670
-5.98199100,8.94584435,2.90483022,6.19520221,0.00915584,1.15940165,0.03696292,0.58735731
-5.97598799,8.99560848,2.95864835,6.22298798,0.00934381,1.15772492,0.03710642,0.59804765
-5.96998499,9.03007438,3.00725855,6.23952162,0.00953622,1.15397344,0.03706318,0.60873339
-5.96398199,9.04827076,3.04993613,6.24428963,0.00973007,1.14814819,0.03683425,0.61911108
-5.95797899,9.04949703,3.08604174,6.23698733,0.00992273,1.14027217,0.03642398,0.62888852
-5.95197599,9.03335607,3.11504222,6.21753677,0.01011208,1.13039045,0.03583991,0.63779502
-5.94597299,8.99977963,3.13652799,6.18609902,0.01029657,1.11856988,0.03509273,0.64559074
-5.93996998,8.94904499,3.15022640,6.14308008,0.01047527,1.10489872,0.03419601,0.65207514
-5.93396698,8.88178173,3.15601023,6.08912982,0.01064793,1.08948587,0.03316595,0.65709394
-5.92796398,8.79896777,3.15390104,6.02513361,0.01081492,1.07245990,0.03202102,0.66054438
-5.92196098,8.70191452,3.14406722,5.95219667,0.01097729,1.05396758,0.03078151,0.66237866
-5.91595798,8.59224095,3.12681678,5.87162127,0.01113663,1.03417219,0.02946905,0.66260526
-5.90995498,8.47183744,3.10258528,5.78487747,0.01129501,1.01325128,0.02810615,0.66128828
-5.90395198,8.34282024,3.07191945,5.69356817,0.01145491,0.99139412,0.02671556,0.65854467
-5.89794897,8.20747816,3.03545728,5.59938960,0.01161904,0.96879874,0.02531985,0.65453962
-5.89194597,8.06821310,2.99390543,5.50408862,0.01179027,0.94566867,0.02394082,0.64948022
-5.88594297,7.92747682,2.94801518,5.40941816,0.01197144,0.92220944,0.02259902,0.64360767
-5.87993997,7.78770595,2.89855774,5.31709257,0.01216524,0.89862490,0.02131335,0.63718850
-5.87393697,7.65125782,2.84630014,5.22874423,0.01237411,0.87511351,0.02010066,0.63050496
