energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.68595446,-0.74359853,1.84253542,-0.22902392,0.63915708,-0.04826552,0.04300433,-0.00495709,0.64604542,-0.07301854,0.01770091,-0.00591800,1.04460960,-0.34851486
-5.99399700,3.74320416,-0.79096909,1.86566098,-0.24287174,0.64616371,-0.05180867,0.04320511,-0.00509870,0.64524014,-0.07657490,0.01864213,-0.00656042,1.07805850,-0.37283135
-5.98799400,3.79149976,-0.84308928,1.88224787,-0.25789161,0.65146099,-0.05572423,0.04321755,-0.00524779,0.64199172,-0.08085094,0.01966616,-0.00725537,1.11023316,-0.39902887
-5.98199100,3.83049709,-0.89989810,1.89225034,-0.27403205,0.65501096,-0.06001369,0.04303820,-0.00540922,0.63637961,-0.08587600,0.02076635,-0.00800307,1.14082107,-0.42702977
-5.97598799,3.85996069,-0.96131579,1.89571463,-0.29124478,0.65679894,-0.06467692,0.04266710,-0.00558842,0.62852495,-0.09167773,0.02193279,-0.00880305,1.16950697,-0.45674779
-5.96998499,3.87974859,-1.02724885,1.89276837,-0.30948819,0.65683088,-0.06971234,0.04210780,-0.00579126,0.61858495,-0.09828198,0.02315215,-0.00965410,1.19597328,-0.48809129
-5.96398199,3.88979742,-1.09759488,1.88360882,-0.32873044,0.65513041,-0.07511714,0.04136723,-0.00602396,0.60674642,-0.10571260,0.02440783,-0.01055434,1.21990179,-0.52096658
-5.95797899,3.89010862,-1.17224678,1.86849062,-0.34895182,0.65173597,-0.08088750,0.04045546,-0.00629293,0.59321867,-0.11399111,0.02568019,-0.01150122,1.24097682,-0.55528096
-5.95197599,3.88073666,-1.25109586,1.84771363,-0.37014639,0.64669804,-0.08701866,0.03938540,-0.00660462,0.57822627,-0.12313628,0.02694695,-0.01249160,1.25888976,-0.59094527
-5.94597299,3.86177998,-1.33403340,1.82161157,-0.39232239,0.64007668,-0.09350496,0.03817252,-0.00696530,0.56200184,-0.13316348,0.02818379,-0.01352179,1.27334499,-0.62787561
-5.93996998,3.83337505,-1.42094987,1.79054194,-0.41550155,0.63193947,-0.10033973,0.03683442,-0.00738092,0.54477912,-0.14408387,0.02936497,-0.01458768,1.28406696,-0.66599413
-5.93396698,3.79569365,-1.51173171,1.75487756,-0.43971692,0.62235986,-0.10751502,0.03539039,-0.00785678,0.52678674,-0.15590327,0.03046418,-0.01568477,1.29080814,-0.70522839
-5.92796398,3.74894348,-1.60625500,1.71500013,-0.46500930,0.61141610,-0.11502108,0.03386105,-0.00839737,0.50824273,-0.16862077,0.03145535,-0.01680825,1.29335747,-0.74550936
-5.92196098,3.69337163,-1.70437598,1.67129568,-0.49142218,0.59919059,-0.12284570,0.03226788,-0.00900609,0.48935005,-0.18222709,0.03231356,-0.01795308,1.29154898,-0.78676780
-5.91595798,3.62927044,-1.80591843,1.62415205,-0.51899539,0.58576975,-0.13097328,0.03063284,-0.00968499,0.47029321,-0.19670262,0.03301588,-0.01911396,1.28527000,-0.82892901
-5.90995498,3.55698493,-1.91065824,1.57395811,-0.54775755,0.57124416,-0.13938373,0.02897799,-0.01043455,0.45123598,-0.21201524,0.03354221,-0.02028539,1.27446857,-0.87190629
-5.90395198,3.47692105,-2.01830570,1.52110445,-0.57771764,0.55570909,-0.14805125,0.02732516,-0.01125344,0.43232033,-0.22811803,0.03387600,-0.02146155,1.25915953,-0.91559305
-5.89794897,3.38955376,-2.12848652,1.46598518,-0.60885615,0.53926509,-0.15694299,0.02569566,-0.01213837,0.41366626,-0.24494692,0.03400485,-0.02263632,1.23942904,-0.95985428
-5.89194597,3.29543401,-2.24072268,1.40900039,-0.64111620,0.52201863,-0.16601773,0.02411003,-0.01308397,0.39537280,-0.26241846,0.03392099,-0.02380312,1.21543698,-1.00451771
-5.88594297,3.19519391,-2.35441453,1.35055891,-0.67439526,0.50408267,-0.17522470,0.02258782,-0.01408267,0.37751958,-0.28042790,0.03362153,-0.02495483,1.18741719,-1.04936538
-5.87993997,3.08954918,-2.46882585,1.29108086,-0.70853791,0.48557692,-0.18450259,0.02114746,-0.01512475,0.36016921,-0.29884776,0.03310858,-0.02608371,1.15567533,-1.09412631
-5.87393697,2.97929864,-2.58307334,1.23099978,-0.74333044,0.46662790,-0.19377897,0.01980607,-0.01619840,0.34337001,-0.31752707,0.03238915,-0.02718125,1.12058443,-1.13847094
-5.86793397,2.86532008,-2.69612215,1.17076395,-0.77849770,0.44736851,-0.20297007,0.01857935,-0.01728994,0.32715896,-0.33629153,0.03147491,-0.02823811,1.08257817,-1.18200822
