energy_ev,total_up,B_p_up,B_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,0.60941676,0.13777384,0.00000000,0.24354132,0.26070364,0.00021613,0.13248966
-5.99399700,0.61564345,0.13814956,0.00000000,0.23960049,0.26164565,0.00025595,0.13593922
-5.98799400,0.62429256,0.13904912,0.00000000,0.23643834,0.26360227,0.00030094,0.13997077
-5.98199100,0.63582003,0.14059736,0.00000000,0.23429563,0.26681848,0.00035132,0.14464609
-5.97598799,0.65059589,0.14290098,0.00000000,0.23338311,0.27150516,0.00040722,0.15000602
-5.96998499,0.66888563,0.14604357,0.00000000,0.23387346,0.27782926,0.00046864,0.15606748
-5.96398199,0.69083461,0.15008137,0.00000000,0.23589429,0.28590533,0.00053548,0.16282128
-5.95797899,0.71645635,0.15503978,0.00000000,0.23952242,0.29578840,0.00060749,0.17023090
-5.95197599,0.74562543,0.16091088,0.00000000,0.24477976,0.30746883,0.00068426,0.17823238
-5.94597299,0.77807533,0.16765200,0.00000000,0.25163094,0.32086926,0.00076524,0.18673529
-5.93996998,0.81340160,0.17518565,0.00000000,0.25998278,0.33584394,0.00084969,0.19562489
-5.93396698,0.85107047,0.18340057,0.00000000,0.26968585,0.35218056,0.00093674,0.20476539
-5.92796398,0.89043270,0.19215419,0.00000000,0.28053795,0.36960462,0.00102533,0.21400420
-5.92196098,0.93074234,0.20127623,0.00000000,0.29228962,0.38778622,0.00111430,0.22317712
-5.91595798,0.97117989,0.21057352,0.00000000,0.30465138,0.40634928,0.00120235,0.23211414
-5.90995498,1.01087904,0.21983585,0.00000000,0.31730264,0.42488260,0.00128811,0.24064582
-5.90395198,1.04895596,0.22884250,0.00000000,0.32990187,0.44295276,0.00137016,0.24860982
-5.89794897,1.08454021,0.23736950,0.00000000,0.34209781,0.46011814,0.00144705,0.25585738
-5.89194597,1.11680584,0.24519708,0.00000000,0.35354120,0.47594365,0.00151738,0.26225949
-5.88594297,1.14500161,0.25211726,0.00000000,0.36389669,0.49001559,0.00157983,0.26771249
-5.87993997,1.16847898,0.25794099,0.00000000,0.37285439,0.50195607,0.00163317,0.27214268
-5.87393697,1.18671671,0.26250491,0.00000000,0.38014078,0.51143632,0.00167635,0.27550999
-5.86793397,1.19934101,0.26567717,0.00000000,0.38552828,0.51818851,0.00170852,0.27781028
-5.86193097,1.20614046,0.26736219,0.00000000,0.38884345,0.52201542,0.00172904,0.27907628
-5.85592796,1.20707496,0.26750417,0.00000000,0.38997322,0.52279774,0.00173754,0.27937709
-5.84992496,1.20227850,0.26608926,0.00000000,0.38886913,0.52049861,0.00173389,0.27881619
-5.84392196,1.19205556,0.26314622,0.00000000,0.38554936,0.51516530,0.00171825,0.27752811
-5.83791896,1.17687161,0.25874567,0.00000000,0.38009855,0.50692808,0.00169107,0.27567385
