energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.23739936,0.17786690,0.00112450,0.51371530,1.22944600,0.86517786,0.01749774,0.60569679
-5.99399700,2.26048360,0.17314259,0.00104357,0.52816829,1.23801481,0.88792353,0.01656619,0.59731113
-5.98799400,2.28978709,0.16846833,0.00098025,0.54387281,1.24631313,0.91428034,0.01571191,0.59046928
-5.98199100,2.32526320,0.16389822,0.00093300,0.56076894,1.25452947,0.94411154,0.01493875,0.58525677
-5.97598799,2.36682085,0.15950103,0.00090036,0.57878015,1.26290483,0.97722820,0.01424993,0.58176516
-5.96998499,2.41432448,0.15535699,0.00088094,0.59781594,1.27171577,1.01339659,0.01364804,0.58008693
-5.96398199,2.46759371,0.15155427,0.00087346,0.61777453,1.28125616,1.05234644,0.01313507,0.58031002
-5.95797899,2.52640261,0.14818505,0.00087670,0.63854554,1.29181836,1.09377907,0.01271243,0.58251196
-5.95197599,2.59047787,0.14534151,0.00088950,0.66001223,1.30367444,1.13737507,0.01238098,0.58675397
-5.94597299,2.65949577,0.14311184,0.00091077,0.68205321,1.31705836,1.18280090,0.01214094,0.59307506
-5.93996998,2.73307774,0.14157630,0.00093940,0.70454334,1.33214946,1.22971384,0.01199197,0.60148649
-5.93396698,2.81078433,0.14080366,0.00097436,0.72735382,1.34905815,1.27776518,0.01193307,0.61196667
-5.92796398,2.89210814,0.14084793,0.00101456,0.75035130,1.36781404,1.32660140,0.01196260,0.62445674
-5.92196098,2.97646578,0.14174559,0.00105896,0.77339629,1.38835704,1.37586337,0.01207821,0.63885703
-5.91595798,3.06318971,0.14351338,0.00110650,0.79634076,1.41053175,1.42518394,0.01227686,0.65502461
-5.90995498,3.15152074,0.14614673,0.00115613,0.81902537,1.43408526,1.47418421,0.01255477,0.67277204
-5.90395198,3.24060212,0.14961879,0.00120684,0.84127648,1.45866856,1.52246910,0.01290743,0.69186751
-5.89794897,3.32947629,0.15388029,0.00125765,0.86290346,1.48384148,1.56962289,0.01332963,0.71203648
-5.89194597,3.41708530,0.15885997,0.00130765,0.88369643,1.50908120,1.61520544,0.01381550,0.73296490
-5.88594297,3.50227592,0.16446591,0.00135604,0.90342500,1.53379391,1.65874983,0.01435856,0.75430402
-5.87993997,3.58381012,0.17058741,0.00140214,0.92183831,1.55732956,1.69976212,0.01495187,0.77567677
-5.87393697,3.66038146,0.17709761,0.00144543,0.93866648,1.57899917,1.73772363,0.01558810,0.79668569
-5.86793397,3.73063767,0.18385675,0.00148558,0.95362388,1.59809420,1.77209634,0.01625973,0.81692208
-5.86193097,3.79320896,0.19071581,0.00152245,0.96641407,1.61390741,1.80233140,0.01695920,0.83597634
-5.85592796,3.84674172,0.19752074,0.00155616,0.97673647,1.62575464,1.82788063,0.01767910,0.85344898
-5.84992496,3.88993631,0.20411679,0.00158703,0.98429459,1.63299663,1.84821098,0.01841239,0.86896219
-5.84392196,3.92158771,0.21035312,0.00161564,0.98880541,1.63506023,1.86282100,0.01915254,0.88217124
-5.83791896,3.94062721,0.21608727,0.00164282,0.99000956,1.63145820,1.87125887,0.01989377,0.89277558
-5.83191596,3.94616312,0.22118951,0.00166959,0.98768187,1.62180684,1.87314096,0.02063115,0.90052892
-5.82591296,3.93751861,0.22554679,0.00169719,0.98164152,1.60584080,1.86816984,0.02136076,0.90524796
-5.81990995,3.91426450,0.22906615,0.00172702,0.97176152,1.58342438,1.85615079,0.02207972,0.90681938
-5.81390695,3.87624520,0.23167756,0.00176061,0.95797670,1.55455891,1.83700572,0.02278623,0.90520464
-5.80790395,3.82359615,0.23333584,0.00179957,0.94028993,1.51938587,1.81078362,0.02347952,0.90044240
-5.80190095,3.75675159,0.23402181,0.00184555,0.91877597,1.47818556,1.77766681,0.02415980,0.89264834
-5.79589795,3.67644193,0.23374250,0.00190022,0.89358290,1.43137134,1.73797237,0.02482805,0.88201237
-5.78989495,3.58368056,0.23253039,0.00196515,0.86493078,1.37947968,1.69214874,0.02548586,0.86879330
-5.78389195,3.47974039,0.23044181,0.00204183,0.83310766,1.32315645,1.64076718,0.02613524,0.85331110
-5.77788894,3.36612107,0.22755447,0.00213160,0.79846307,1.26313990,1.58450867,0.02677827,0.83593710
-5.77188594,3.24450831,0.22396435,0.00223560,0.76139928,1.20024117,1.52414666,0.02741695,0.81708261
-5.76588294,3.11672705,0.21978191,0.00235475,0.72236074,1.13532298,1.46052651,0.02805285,0.79718619
-5.75987994,2.98469053,0.21512801,0.00248973,0.68182220,1.06927749,1.39454252,0.02868695,0.77670036
-5.75387694,2.85034758,0.21012957,0.00264093,0.64027607,1.00300420,1.32711364,0.02931939,0.75607812
-5.74787394,2.71563033,0.20491518,0.00280846,0.59821964,0.93738859,1.25915893,0.02994938,0.73575983
-5.74187094,2.58240458,0.19961086,0.00299214,0.55614268,0.87328251,1.19157391,0.03057507,0.71616103
-5.73586793,2.45242477,0.19433619,0.00319146,0.51451597,0.81148686,1.12520868,0.03119353,0.69766143
-5.72986493,2.32729516,0.18920081,0.00340565,0.47378126,0.75273722,1.06084873,0.03180083,0.68059570
-5.72386193,2.20843850,0.18430160,0.00363361,0.43434295,0.69769267,0.99919910,0.03239212,0.66524607
-5.71785893,2.09707314,0.17972044,0.00387398,0.39656180,0.64692825,0.94087236,0.03296180,0.65183702
-5.71185593,1.99419869,0.17552274,0.00412511,0.36075073,0.60093103,0.88638062,0.03350373,0.64053213
-5.70585293,1.90059050,0.17175670,0.00438510,0.32717279,0.56009965,0.83613164,0.03401144,0.63143308
-5.69984992,1.81680223,0.16845327,0.00465181,0.29604114,0.52474720,0.79042883,0.03447842,0.62458065
-5.69384692,1.74317591,0.16562682,0.00492287,0.26752085,0.49510704,0.74947483,0.03489836,0.61995764
-5.68784392,1.67985835,0.16327638,0.00519574,0.24173225,0.47134101,0.71337821,0.03526540,0.61749341
-5.68184092,1.62682262,0.16138743,0.00546770,0.21875547,0.45354962,0.68216258,0.03557433,0.61706992
-5.67583792,1.58389339,0.15993413,0.00573587,0.19863581,0.44178343,0.65577762,0.03582080,0.61852885
-5.66983492,1.55077445,0.15888177,0.00599732,0.18138948,0.43605508,0.63411123,0.03600144,0.62167969
-5.66383192,1.52707732,0.15818947,0.00624903,0.16700943,0.43635123,0.61700228,0.03611395,0.62630841
-5.65782891,1.51234944,0.15781289,0.00648799,0.15547089,0.44264394,0.60425314,0.03615718,0.63218645
-5.65182591,1.50610093,0.15770695,0.00671124,0.14673622,0.45490061,0.59564161,0.03613108,0.63907981
-5.64582291,1.50782874,0.15782824,0.00691594,0.14075893,0.47309215,0.59093177,0.03603673,0.64675796
-5.63981991,1.51703751,0.15813732,0.00709940,0.13748673,0.49719894,0.58988323,0.03587619,0.65500224
-5.63381691,1.53325640,0.15860053,0.00725920,0.13686334,0.52721403,0.59225872,0.03565246,0.66361366
-5.62781391,1.55605148,0.15919142,0.00739318,0.13882916,0.56314349,0.59782968,0.03536932,0.67241973
-5.62181091,1.58503350,0.15989167,0.00749960,0.14332088,0.60500381,0.60637991,0.03503121,0.68128012
-5.61580790,1.61986084,0.16069154,0.00757710,0.15026994,0.65281616,0.61770716,0.03464308,0.69009111
-5.60980490,1.66023795,0.16158966,0.00762480,0.15960029,0.70659797,0.63162301,0.03421027,0.69878837
-5.60380190,1.70590955,0.16259248,0.00764232,0.17122537,0.76635188,0.64795099,0.03373831,0.70734826
-5.59779890,1.75665097,0.16371309,0.00762981,0.18504485,0.83205265,0.66652338,0.03323286,0.71578732
