energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.74491323,0.65620718,0.27687975,0.00108811,0.06787992,0.01443655,1.08654094,0.57108424,0.11994148
-5.99399700,1.68882043,0.63816637,0.26328957,0.00104569,0.06624837,0.01433787,1.05260353,0.55073314,0.11696777
-5.98799400,1.63342814,0.61990993,0.25035274,0.00100339,0.06441892,0.01423979,1.01922904,0.52959190,0.11408761
-5.98199100,1.57879754,0.60139700,0.23810896,0.00096109,0.06240904,0.01414242,0.98642338,0.50774503,0.11129395
-5.97598799,1.52495875,0.58259133,0.22658159,0.00091866,0.06023997,0.01404560,0.95416995,0.48528774,0.10857612
-5.96998499,1.47192380,0.56346653,0.21578105,0.00087600,0.05793631,0.01394898,0.92243879,0.46232720,0.10592076
-5.96398199,1.41970033,0.54401084,0.20570855,0.00083305,0.05552557,0.01385218,0.89119619,0.43898305,0.10331296
-5.95797899,1.36830524,0.52423125,0.19635995,0.00078980,0.05303769,0.01375493,0.86041435,0.41538728,0.10073751
-5.95197599,1.31777807,0.50415672,0.18772962,0.00074628,0.05050454,0.01365722,0.83008070,0.39168331,0.09818013
-5.94597299,1.26819315,0.48384050,0.17981407,0.00070260,0.04795949,0.01355946,0.80020638,0.36802443,0.09562879
-5.93996998,1.21967031,0.46336149,0.17261524,0.00065891,0.04543693,0.01346271,0.77083368,0.34457170,0.09307491
-5.93396698,1.17238348,0.44282451,0.16614332,0.00061540,0.04297184,0.01336875,0.74204205,0.32149129,0.09051452
-5.92796398,1.12656690,0.42235959,0.16041895,0.00057235,0.04059942,0.01328030,0.71395243,0.29895165,0.08794914
-5.92196098,1.08251849,0.40212030,0.15547466,0.00053002,0.03835476,0.01320103,0.68672968,0.27712035,0.08538656
-5.91595798,1.04060016,0.38228122,0.15135556,0.00048873,0.03627245,0.01313565,0.66058298,0.25616098,0.08284129
-5.90995498,1.00123490,0.36303457,0.14811918,0.00044882,0.03438634,0.01308985,0.63576400,0.23623015,0.08033472
-5.90395198,0.96490049,0.34458616,0.14583446,0.00041061,0.03272918,0.01307025,0.61256299,0.21747466,0.07789497
-5.89794897,0.93211997,0.32715072,0.14457985,0.00037442,0.03133233,0.01308423,0.59130266,0.20002899,0.07555639
-5.89194597,0.90344883,0.31094679,0.14444064,0.00034056,0.03022540,0.01313967,0.57232999,0.18401308,0.07335878
-5.88594297,0.87945931,0.29619114,0.14550550,0.00030932,0.02943588,0.01324473,0.55600620,0.16953051,0.07134621
-5.87993997,0.86072217,0.28309298,0.14786247,0.00028097,0.02898867,0.01340747,0.54269509,0.15666701,0.06956561
-5.87393697,0.84778632,0.27184796,0.15159441,0.00025572,0.02890563,0.01363546,0.53275012,0.14548932,0.06806512
-5.86793397,0.84115703,0.26263222,0.15677410,0.00023378,0.02920498,0.01393541,0.52650053,0.13604431,0.06689223
-5.86193097,0.84127345,0.25559646,0.16345927,0.00021533,0.02990071,0.01431275,0.52423714,0.12835840,0.06609180
-5.85592796,0.84848620,0.25086033,0.17168775,0.00020051,0.03100191,0.01477122,0.52619812,0.12243716,0.06570405
-5.84992496,0.86303590,0.24850719,0.18147283,0.00018947,0.03251212,0.01531251,0.53255549,0.11826510,0.06576258
-5.84392196,0.88503370,0.24857954,0.19279928,0.00018232,0.03442863,0.01593598,0.54340280,0.11580566,0.06629251
-5.83791896,0.91444461,0.25107511,0.20562009,0.00017919,0.03674188,0.01663842,0.55874455,0.11500133,0.06730879
-5.83191596,0.95107456,0.25594407,0.21985423,0.00018020,0.03943490,0.01741391,0.57848804,0.11577399,0.06881480
-5.82591296,0.99456204,0.26308719,0.23538553,0.00018550,0.04248292,0.01825381,0.60243790,0.11802545,0.07080136
-5.81990995,1.04437495,0.27235545,0.25206289,0.00019526,0.04585308,0.01914683,0.63029396,0.12163826,0.07324601
-5.81390695,1.09981316,0.28355101,0.26970182,0.00020967,0.04950440,0.02007924,0.66165259,0.12647685,0.07611290
-5.80790395,1.16001721,0.29642967,0.28808744,0.00022896,0.05338798,0.02103516,0.69601177,0.13238904,0.07935303
-5.80190095,1.22398293,0.31070493,0.30697876,0.00025338,0.05744750,0.02199701,0.73277984,0.13920794,0.08290503
-5.79589795,1.29058211,0.32605359,0.32611422,0.00028324,0.06161990,0.02294600,0.77128794,0.14675430,0.08669648
-5.78989495,1.35858840,0.34212275,0.34521828,0.00031887,0.06583649,0.02386267,0.81080562,0.15483937,0.09064557
-5.78389195,1.42670788,0.35853817,0.36400882,0.00036063,0.07002425,0.02472756,0.85055940,0.16326815,0.09466324
-5.77788894,1.49361325,0.37491364,0.38220502,0.00040888,0.07410741,0.02552180,0.88975346,0.17184298,0.09865562
-5.77188594,1.55798036,0.39086120,0.39953542,0.00046400,0.07800919,0.02622775,0.92759185,0.18036759,0.10252675
-5.76588294,1.61852573,0.40600177,0.41574579,0.00052636,0.08165378,0.02682958,0.96330132,0.18865118,0.10618139
-5.75987994,1.67404360,0.41997580,0.43060650,0.00059627,0.08496834,0.02731378,0.99615388,0.19651275,0.10952793
-5.75387694,1.72344097,0.43245367,0.44391897,0.00067399,0.08788501,0.02766959,1.02548824,0.20378521,0.11248114
-5.74787394,1.76576923,0.44314532,0.45552095,0.00075971,0.09034287,0.02788933,1.05072920,0.21031938,0.11496486
-5.74187094,1.80025104,0.45180871,0.46529045,0.00085348,0.09228971,0.02796857,1.07140417,0.21598753,0.11691424
-5.73586793,1.82630143,0.45825692,0.47314805,0.00095522,0.09368359,0.02790619,1.08715631,0.22068639,0.11827775
-5.72986493,1.84354223,0.46236339,0.47905755,0.00106469,0.09449408,0.02770435,1.09775356,0.22433954,0.11901863
-5.72386193,1.85180935,0.46406534,0.48302508,0.00118144,0.09470312,0.02736829,1.10309352,0.22689897,0.11911584
-5.71785893,1.85115283,0.46336502,0.48509657,0.00130484,0.09430554,0.02690598,1.10320377,0.22834584,0.11856451
-5.71185593,1.84182970,0.46032897,0.48535395,0.00143400,0.09330901,0.02632781,1.09823804,0.22869037,0.11737577
-5.70585293,1.82429034,0.45508520,0.48391020,0.00156784,0.09173376,0.02564604,1.08846828,0.22797083,0.11557608
-5.69984992,1.79915905,0.44781850,0.48090367,0.00170503,0.08961171,0.02487435,1.07427329,0.22625181,0.11320612
-5.69384692,1.76720990,0.43876422,0.47649186,0.00184403,0.08698532,0.02402728,1.05612438,0.22362167,0.11031913
-5.68784392,1.72933909,0.42820054,0.47084513,0.00198313,0.08390613,0.02311972,1.03456888,0.22018946,0.10697902
-5.68184092,1.68653507,0.41643985,0.46414065,0.00212043,0.08043300,0.02216640,1.01021221,0.21608131,0.10325815
-5.67583792,1.63984785,0.40381940,0.45655674,0.00225395,0.07663025,0.02118145,0.98369925,0.21143649,0.09923498
-5.66983492,1.59035844,0.39069159,0.44826804,0.00238162,0.07256568,0.02017805,0.95569575,0.20640336,0.09499170
-5.66383192,1.53914985,0.37741428,0.43944147,0.00250139,0.06830857,0.01916809,0.92687052,0.20113518,0.09061179
-5.65782891,1.48728025,0.36434134,0.43023321,0.00261124,0.06392785,0.01816204,0.89787863,0.19578608,0.08617780
-5.65182591,1.43575905,0.35181374,0.42078662,0.00270927,0.05949038,0.01716874,0.86934636,0.19050717,0.08176929
-5.64582291,1.38552638,0.34015129,0.41123107,0.00279377,0.05505941,0.01619545,0.84185793,0.18544296,0.07746099
-5.63981991,1.33743604,0.32964527,0.40168155,0.00286327,0.05069339,0.01524784,0.81594417,0.18072813,0.07332130
-5.63381691,1.29224204,0.32055199,0.39223888,0.00291657,0.04644503,0.01433014,0.79207325,0.17648466,0.06941108
-5.62781391,1.25058846,0.31308734,0.38299032,0.00295283,0.04236071,0.01344525,0.77064322,0.17281939,0.06578276
-5.62181091,1.21300250,0.30742232,0.37401041,0.00297152,0.03848014,0.01259499,0.75197647,0.16982206,0.06247976
-5.61580790,1.17989023,0.30367971,0.36536185,0.00297254,0.03483642,0.01178026,0.73631580,0.16756367,0.05953626
-5.60980490,1.15153488,0.30193172,0.35709620,0.00295613,0.03145627,0.01100129,0.72382197,0.16609538,0.05697722
-5.60380190,1.12809736,0.30219870,0.34925443,0.00292290,0.02836056,0.01025785,0.71457280,0.16544786,0.05481864
-5.59779890,1.10961874,0.30444901,0.34186713,0.00287381,0.02556504,0.00954942,0.70856361,0.16563105,0.05306812
-5.59179590,1.09602473,0.30859995,0.33495455,0.00281011,0.02308116,0.00887533,0.70570906,0.16663440,0.05172550
-5.58579290,1.08713202,0.31451988,0.32852633,0.00273330,0.02091703,0.00823495,0.70584650,0.16842770,0.05078379
-5.57978989,1.08265665,0.32203154,0.32258123,0.00264509,0.01907839,0.00762772,0.70874093,0.17096227,0.05023019
-5.57378689,1.08222439,0.33091663,0.31710689,0.00254729,0.01756962,0.00705324,0.71409165,0.17417284,0.05004718
-5.56778389,1.08538339,0.34092159,0.31207977,0.00244183,0.01639466,0.00651127,0.72154066,0.17797989,0.05021380
-5.56178089,1.09161903,0.35176459,0.30746549,0.00233060,0.01555785,0.00600177,0.73068301,0.18229245,0.05070687
-5.55577789,1.10037096,0.36314368,0.30321963,0.00221547,0.01506467,0.00552482,0.74107894,0.18701149,0.05150239
-5.54977489,1.11105217,0.37474588,0.29928910,0.00209819,0.01492232,0.00508062,0.75226767,0.19203366,0.05257679
-5.54377189,1.12306981,0.38625705,0.29561416,0.00198040,0.01514012,0.00466946,0.76378270,0.19725530,0.05390826
-5.53776888,1.13584711,0.39737226,0.29213101,0.00186353,0.01572976,0.00429162,0.77516817,0.20257669,0.05547798
-5.53176588,1.14884592,0.40780633,0.28877491,0.00174883,0.01670532,0.00394733,0.78599569,0.20790633,0.05727122
-5.52576288,1.16158892,0.41730418,0.28548376,0.00163733,0.01808313,0.00363679,0.79588120,0.21316499,0.05927828
-5.51975988,1.17368057,0.42565051,0.28220176,0.00152985,0.01988146,0.00336004,0.80450104,0.21828949,0.06149530
-5.51375688,1.18482596,0.43267851,0.27888323,0.00142703,0.02211999,0.00311703,0.81160652,0.22323596,0.06392475
-5.50775388,1.19484647,0.43827706,0.27549609,0.00132928,0.02481922,0.00290753,0.81703628,0.22798240,0.06657571
-5.50175088,1.20369140,0.44239620,0.27202494,0.00123686,0.02799967,0.00273117,0.82072585,0.23253039,0.06946386
-5.49574787,1.21144488,0.44505043,0.26847346,0.00114990,0.03168110,0.00258744,0.82271363,0.23690583,0.07261109
-5.48974487,1.21832744,0.44631975,0.26486595,0.00106839,0.03588161,0.00247566,0.82314310,0.24115877,0.07604494
-5.48374187,1.22469200,0.44634819,0.26124791,0.00099222,0.04061683,0.00239507,0.82226080,0.24536211,0.07979761
-5.47773887,1.23101431,0.44533992,0.25768560,0.00092125,0.04589913,0.00234478,0.82041015,0.24960934,0.08390480
-5.47173587,1.23787792,0.44355304,0.25426449,0.00085525,0.05173696,0.00232383,0.81802117,0.25401148,0.08840431
-5.46573287,1.24595451,0.44129115,0.25108675,0.00079400,0.05813434,0.00233117,0.81559643,0.25869320,0.09333451
-5.45972986,1.25598009,0.43889315,0.24826786,0.00073726,0.06509063,0.00236574,0.81369385,0.26378839,0.09873265
-5.45372686,1.26872822,0.43672153,0.24593250,0.00068479,0.07260044,0.00242640,0.81290680,0.26943553,0.10463328
-5.44772386,1.28498135,0.43514970,0.24420992,0.00063635,0.08065394,0.00251204,0.81384261,0.27577280,0.11106658
-5.44172086,1.30550153,0.43454881,0.24322907,0.00059175,0.08923736,0.00262150,0.81710005,0.28293351,0.11805697
-5.43571786,1.33100157,0.43527450,0.24311363,0.00055079,0.09833385,0.00275362,0.82324686,0.29104180,0.12562187
-5.42971486,1.36211814,0.43765423,0.24397732,0.00051328,0.10792456,0.00290725,0.83279812,0.30020904,0.13377064
-5.42371186,1.39938752,0.44197547,0.24591952,0.00047907,0.11798998,0.00308120,0.84619646,0.31053091,0.14250399
-5.41770885,1.44322524,0.44847534,0.24902158,0.00044800,0.12851144,0.00327430,0.86379454,0.32208544,0.15181359
-5.41170585,1.49391013,0.45733189,0.25334385,0.00041991,0.13947275,0.00348536,0.88584079,0.33493202,0.16168204
-5.40570285,1.55157336,0.46865745,0.25892349,0.00039466,0.15086185,0.00371314,0.91246863,0.34911138,0.17208323
-5.39969985,1.61619272,0.48249415,0.26577332,0.00037211,0.16267235,0.00395639,0.94368960,0.36464653,0.18298298
-5.39369685,1.68759223,0.49881169,0.27388141,0.00035209,0.17490503,0.00421379,0.97939056,0.38154462,0.19433990
-5.38769385,1.76544685,0.51750758,0.28321166,0.00033447,0.18756895,0.00448396,1.01933511,0.39979948,0.20610653
-5.38169085,1.84929200,0.53840956,0.29370517,0.00031908,0.20068233,0.00476545,1.06316882,0.41939478,0.21823061
-5.37568784,1.93853728,0.56128026,0.30528229,0.00030577,0.21427296,0.00505670,1.11042839,0.44030746,0.23065649
-5.36968484,2.03248383,0.58582385,0.31784524,0.00029438,0.22837805,0.00535606,1.16055410,0.46251134,0.24332644
-5.36368184,2.13034456,0.61169443,0.33128124,0.00028477,0.24304369,0.00566173,1.21290521,0.48598059,0.25618210
-5.35767884,2.23126633,0.63850595,0.34546589,0.00027677,0.25832359,0.00597182,1.26677781,0.51069272,0.26916570
