energy_ev,total_up,total_down,In_p_up,In_p_down,In_d_up,In_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.29524628,-1.29524630,0.06239083,-0.06239083,0.00051596,-0.00051596,0.25142546,-0.25142546,0.25653364,-0.25653364,0.01050227,-0.01050227,0.85704722,-0.85704723
-5.99399700,1.25388214,-1.25388217,0.05715300,-0.05715300,0.00047463,-0.00047463,0.24395966,-0.24395966,0.25089991,-0.25089991,0.00974947,-0.00974947,0.84467681,-0.84467683
-5.98799400,1.20797041,-1.20797044,0.05207913,-0.05207913,0.00043451,-0.00043451,0.23546960,-0.23546961,0.24412804,-0.24412804,0.00900553,-0.00900553,0.82757870,-0.82757872
-5.98199100,1.15800006,-1.15800009,0.04720702,-0.04720702,0.00039588,-0.00039588,0.22606168,-0.22606169,0.23629343,-0.23629344,0.00827662,-0.00827662,0.80600482,-0.80600484
-5.97598799,1.10451609,-1.10451613,0.04256761,-0.04256762,0.00035896,-0.00035896,0.21585542,-0.21585542,0.22748893,-0.22748893,0.00756831,-0.00756831,0.78028646,-0.78028648
-5.96998499,1.04810827,-1.04810831,0.03818508,-0.03818508,0.00032393,-0.00032393,0.20498057,-0.20498058,0.21782268,-0.21782269,0.00688548,-0.00688549,0.75082481,-0.75082484
-5.96398199,0.98939878,-0.98939882,0.03407693,-0.03407694,0.00029091,-0.00029091,0.19357411,-0.19357412,0.20741567,-0.20741568,0.00623231,-0.00623231,0.71807962,-0.71807966
-5.95797899,0.92902910,-0.92902915,0.03025449,-0.03025449,0.00026001,-0.00026001,0.18177698,-0.18177699,0.19639882,-0.19639883,0.00561218,-0.00561218,0.68255638,-0.68255642
-5.95197599,0.86764659,-0.86764664,0.02672330,-0.02672330,0.00023127,-0.00023127,0.16973090,-0.16973091,0.18490987,-0.18490988,0.00502774,-0.00502774,0.64479258,-0.64479261
-5.94597299,0.80589100,-0.80589105,0.02348379,-0.02348379,0.00020471,-0.00020471,0.15757527,-0.15757528,0.17309010,-0.17309011,0.00448089,-0.00448089,0.60534347,-0.60534351
-5.93996998,0.74438162,-0.74438167,0.02053189,-0.02053189,0.00018033,-0.00018033,0.14544421,-0.14544422,0.16108104,-0.16108105,0.00397281,-0.00397281,0.56476798,-0.56476802
-5.93396698,0.68370520,-0.68370525,0.01785973,-0.01785973,0.00015807,-0.00015807,0.13346389,-0.13346390,0.14902125,-0.14902126,0.00350407,-0.00350407,0.52361513,-0.52361517
-5.92796398,0.62440528,-0.62440533,0.01545634,-0.01545634,0.00013787,-0.00013787,0.12175029,-0.12175030,0.13704331,-0.13704332,0.00307459,-0.00307459,0.48241155,-0.48241159
-5.92196098,0.56697304,-0.56697309,0.01330829,-0.01330829,0.00011966,-0.00011966,0.11040728,-0.11040729,0.12527115,-0.12527116,0.00268383,-0.00268383,0.44165043,-0.44165047
-5.91595798,0.51184017,-0.51184022,0.01140032,-0.01140032,0.00010333,-0.00010333,0.09952523,-0.09952524,0.11381774,-0.11381775,0.00233076,-0.00233076,0.40178227,-0.40178230
