energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,3.13271018,1.02413046,2.73164600,0.01341754,0.07572339,0.17331641,0.00000000
-5.99399700,3.04431944,1.00225487,2.65374639,0.01344488,0.07196316,0.17043446,0.00000000
-5.98799400,2.95624914,0.98012110,2.57597805,0.01346028,0.06808318,0.16780084,0.00000000
-5.98199100,2.86978108,0.95807739,2.49944291,0.01346358,0.06414632,0.16547682,0.00000000
-5.97598799,2.78613022,0.93644510,2.42518844,0.01345511,0.06021300,0.16351749,0.00000000
-5.96998499,2.70641957,0.91551267,2.35418646,0.01343562,0.05633972,0.16197036,0.00000000
-5.96398199,2.63166132,0.89553173,2.28731737,0.01340632,0.05257795,0.16087411,0.00000000
-5.95797899,2.56274449,0.87671543,2.22535998,0.01336880,0.04897317,0.16025782,0.00000000
-5.95197599,2.50042909,0.85923897,2.16898692,0.01332506,0.04556421,0.16014043,0.00000000
-5.94597299,2.44534626,0.84324189,2.11876511,0.01327746,0.04238295,0.16053062,0.00000000
-5.93996998,2.39800363,0.82883199,2.07516071,0.01322871,0.03945416,0.16142694,0.00000000
-5.93396698,2.35879494,0.81609025,2.03854747,0.01318182,0.03679566,0.16281825,0.00000000
-5.92796398,2.32801272,0.80507650,2.00921761,0.01314008,0.03441866,0.16468444,0.00000000
-5.92196098,2.30586272,0.79583520,1.98739405,0.01310702,0.03232828,0.16699728,0.00000000
-5.91595798,2.29247890,0.78840100,1.97324279,0.01308637,0.03052421,0.16972145,0.00000000
-5.90995498,2.28793775,0.78280358,1.96688461,0.01308196,0.02900147,0.17281568,0.00000000
-5.90395198,2.29227091,0.77907162,1.96840496,0.01309770,0.02775117,0.17623389,0.00000000
-5.89794897,2.30547520,0.77723542,1.97786148,0.01313748,0.02676137,0.17992644,0.00000000
-5.89194597,2.32751951,0.77732834,1.99528853,0.01320502,0.02601786,0.18384126,0.00000000
-5.88594297,2.35834808,0.77938673,2.02069845,0.01330386,0.02550488,0.18792502,0.00000000
-5.87993997,2.39788021,0.78344859,2.05407958,0.01343715,0.02520587,0.19212422,0.00000000
-5.87393697,2.44600645,0.78955110,2.09539117,0.01360757,0.02510400,0.19638624,0.00000000
-5.86793397,2.50258181,0.79772716,2.14455567,0.01381719,0.02518264,0.20066025,0.00000000
-5.86193097,2.56741664,0.80800127,2.20144893,0.01406733,0.02542578,0.20489816,0.00000000
-5.85592796,2.64026602,0.82038514,2.26588928,0.01435850,0.02581828,0.20905537,0.00000000
-5.84992496,2.72081853,0.83487317,2.33762627,0.01469025,0.02634596,0.21309160,0.00000000
-5.84392196,2.80868570,0.85143836,2.41633017,0.01506112,0.02699573,0.21697149,0.00000000
-5.83791896,2.90339295,0.87002874,2.50158305,0.01546860,0.02775547,0.22066521,0.00000000
-5.83191596,3.00437306,0.89056477,2.59287250,0.01590914,0.02861397,0.22414899,0.00000000
-5.82591296,3.11096314,0.91293775,2.68958881,0.01637814,0.02956069,0.22740543,0.00000000
-5.81990995,3.22240550,0.93700946,2.79102597,0.01687009,0.03058556,0.23042384,0.00000000
-5.81390695,3.33785314,0.96261301,2.89638719,0.01737864,0.03167873,0.23320034,0.00000000
-5.80790395,3.45637959,0.98955505,3.00479478,0.01789674,0.03283027,0.23573779,0.00000000
-5.80190095,3.57699326,1.01761892,3.11530432,0.01841690,0.03402997,0.23804561,0.00000000
-5.79589795,3.69865567,1.04656894,3.22692270,0.01893136,0.03526704,0.24013934,0.00000000
-5.78989495,3.82030273,1.07615528,3.33862922,0.01943235,0.03652997,0.24204009,0.00000000
-5.78389195,3.94086836,1.10611945,3.44939888,0.01991232,0.03780636,0.24377365,0.00000000
-5.77788894,4.05930907,1.13619985,3.55822678,0.02036428,0.03908284,0.24536963,0.00000000
-5.77188594,4.17462846,1.16613734,3.66415242,0.02078196,0.04034504,0.24686027,0.00000000
-5.76588294,4.28590043,1.19568039,3.76628275,0.02116013,0.04157765,0.24827923,0.00000000
-5.75987994,4.39228984,1.22458976,3.86381287,0.02149476,0.04276457,0.24966035,0.00000000
-5.75387694,4.49306995,1.25264234,3.95604335,0.02178325,0.04388902,0.25103632,0.00000000
-5.74787394,4.58763554,1.27963427,4.04239350,0.02202453,0.04493391,0.25243754,0.00000000
-5.74187094,4.67551154,1.30538314,4.12241005,0.02221921,0.04588208,0.25389098,0.00000000
-5.73586793,4.75635686,1.32972933,4.19577102,0.02236960,0.04671670,0.25541936,0.00000000
-5.72986493,4.82996355,1.35253668,4.26228477,0.02247970,0.04742169,0.25704052,0.00000000
-5.72386193,4.89625159,1.37369246,4.32188484,0.02255521,0.04798217,0.25876709,0.00000000
-5.71785893,4.95526019,1.39310691,4.37462073,0.02260340,0.04838488,0.26060646,0.00000000
-5.71185593,5.00713602,1.41071251,4.42064587,0.02263298,0.04861865,0.26256115,0.00000000
-5.70585293,5.05211959,1.42646311,4.46020328,0.02265394,0.04867485,0.26462936,0.00000000
-5.69984992,5.09053051,1.44033305,4.49361006,0.02267735,0.04854772,0.26680593,0.00000000
-5.69384692,5.12275258,1.45231648,4.52124165,0.02271512,0.04823474,0.26908338,0.00000000
-5.68784392,5.14921952,1.46242677,4.54351660,0.02277975,0.04773686,0.27145317,0.00000000
-5.68184092,5.17040187,1.47069613,4.56088259,0.02288407,0.04705870,0.27390698,0.00000000
-5.67583792,5.18679553,1.47717538,4.57380425,0.02304101,0.04620856,0.27643793,0.00000000
-5.66983492,5.19891222,1.48193370,4.58275305,0.02326324,0.04519840,0.27904164,0.00000000
-5.66383192,5.20727164,1.48505823,4.58819931,0.02356300,0.04404371,0.28171714,0.00000000
-5.65782891,5.21239532,1.48665351,4.59060634,0.02395177,0.04276320,0.28446730,0.00000000
-5.65182591,5.21480163,1.48684040,4.59042623,0.02444006,0.04137844,0.28729908,0.00000000
-5.64582291,5.21500163,1.48575445,4.58809692,0.02503716,0.03991339,0.29022320,0.00000000
-5.63981991,5.21349496,1.48354360,4.58404014,0.02575093,0.03839382,0.29325347,0.00000000
-5.63381691,5.21076552,1.48036513,4.57865946,0.02658758,0.03684675,0.29640573,0.00000000
-5.62781391,5.20727624,1.47638192,4.57233806,0.02755152,0.03529970,0.29969630,0.00000000
-5.62181091,5.20346274,1.47175802,4.56543572,0.02864517,0.03378007,0.30314033,0.00000000
-5.61580790,5.19972569,1.46665370,4.55828480,0.02986878,0.03231442,0.30674973,0.00000000
-5.60980490,5.19642190,1.46122027,4.55118504,0.03122037,0.03092786,0.31053119,0.00000000
-5.60380190,5.19385446,1.45559481,4.54439721,0.03269558,0.02964338,0.31448416,0.00000000
-5.59779890,5.19226231,1.44989526,4.53813609,0.03428757,0.02848140,0.31859901,0.00000000
-5.59179590,5.19181018,1.44421603,4.53256297,0.03598701,0.02745928,0.32285545,0.00000000
-5.58579290,5.19257945,1.43862472,4.52777860,0.03778204,0.02659104,0.32722152,0.00000000
-5.57978989,5.19456107,1.43315996,4.52381712,0.03965831,0.02588712,0.33165291,0.00000000
-5.57378689,5.19765144,1.42783084,4.52064196,0.04159904,0.02535430,0.33609310,0.00000000
-5.56778389,5.20165211,1.42261808,4.51814426,0.04358519,0.02499579,0.34047399,0.00000000
-5.56178089,5.20627403,1.41747691,4.51614481,0.04559567,0.02481133,0.34471736,0.00000000
-5.55577789,5.21114689,1.41234187,4.51439968,0.04760761,0.02479756,0.34873696,0.00000000
-5.54977489,5.21583369,1.40713316,4.51261007,0.04959675,0.02494832,0.35244117,0.00000000
-5.54377189,5.21985037,1.40176454,4.51043624,0.05153788,0.02525517,0.35573627,0.00000000
-5.53776888,5.22269003,1.39615230,4.50751529,0.05340538,0.02570792,0.35853005,0.00000000
-5.53176588,5.22385060,1.39022487,4.50348192,0.05517379,0.02629519,0.36073572,0.00000000
-5.52576288,5.22286494,1.38393272,4.49799143,0.05681843,0.02700503,0.36227582,0.00000000
-5.51975988,5.21933148,1.37725781,4.49074364,0.05831613,0.02782549,0.36308608,0.00000000
-5.51375688,5.21294383,1.37022225,4.48150614,0.05964583,0.02874520,0.36311889,0.00000000
-5.50775388,5.20351730,1.36289542,4.47013553,0.06078927,0.02975387,0.36234631,0.00000000
-5.50175088,5.19101063,1.35539929,4.45659504,0.06173157,0.03084277,0.36076239,0.00000000
-5.49574787,5.17554100,1.34791140,4.44096702,0.06246173,0.03200503,0.35838463,0.00000000
-5.48974487,5.15739110,1.34066528,4.42345914,0.06297299,0.03323598,0.35525455,0.00000000
-5.48374187,5.13700715,1.33394809,4.40440339,0.06326314,0.03453326,0.35143728,0.00000000
-5.47773887,5.11498737,1.32809553,4.38424744,0.06333458,0.03589689,0.34702007,0.00000000
-5.47173587,5.09206092,1.32348403,4.36353820,0.06319422,0.03732922,0.34210993,0.00000000
-5.46573287,5.06905794,1.32052058,4.34289817,0.06285330,0.03883476,0.33683035,0.00000000
-5.45972986,5.04687188,1.31963044,4.32299534,0.06232693,0.04041997,0.33131722,0.00000000
-5.45372686,5.02641574,1.32124316,4.30450822,0.06163357,0.04209287,0.32571424,0.00000000
-5.44772386,5.00857437,1.32577760,4.28808749,0.06079435,0.04386268,0.32016789,0.00000000
-5.44172086,4.99415525,1.33362626,4.27431636,0.05983233,0.04573933,0.31482230,0.00000000
-5.43571786,4.98384017,1.34513970,4.26367181,0.05877166,0.04773296,0.30981407,0.00000000
-5.42971486,4.97814046,1.36061134,4.25648875,0.05763677,0.04985334,0.30526743,0.00000000
-5.42371186,4.97735822,1.38026347,4.25292922,0.05645158,0.05210933,0.30128985,0.00000000
-5.41770885,4.98155546,1.40423460,4.25295835,0.05523874,0.05450825,0.29796820,0.00000000
-5.41170585,4.99053312,1.43256867,4.25632859,0.05401900,0.05705532,0.29536582,0.00000000
-5.40570285,5.00382088,1.46520651,4.26257323,0.05281065,0.05975304,0.29352032,0.00000000
-5.39969985,5.02067868,1.50197957,4.27100969,0.05162915,0.06260062,0.29244235,0.00000000
-5.39369685,5.04010977,1.54260629,4.28075266,0.05048687,0.06559344,0.29211531,0.00000000
-5.38769385,5.06088491,1.58669111,4.29073666,0.04939295,0.06872252,0.29249598,0.00000000
-5.38169085,5.08157661,1.63372621,4.29974693,0.04835337,0.07197412,0.29351595,0.00000000
-5.37568784,5.10060190,1.68309612,4.30645746,0.04737103,0.07532934,0.29508384,0.00000000
-5.36968484,5.11627173,1.73408501,4.30947436,0.04644605,0.07876390,0.29708824,0.00000000
-5.36368184,5.12684497,1.78588683,4.30738265,0.04557603,0.08224803,0.29940111,0.00000000
-5.35767884,5.13058460,1.83761809,4.29879458,0.04475648,0.08574649,0.30188162,0.00000000
-5.35167584,5.12581401,1.88833332,4.28239724,0.04398119,0.08921884,0.30438032,0.00000000
-5.34567284,5.11097096,1.93704290,4.25699756,0.04324259,0.09261991,0.30674345,0.00000000
-5.33966983,5.08465750,1.98273316,4.22156299,0.04253224,0.09590044,0.30881727,0.00000000
-5.33366683,5.04568386,2.02438834,4.17525618,0.04184110,0.09900798,0.31045237,0.00000000
-5.32766383,4.99310507,2.06101406,4.11746266,0.04115990,0.10188810,0.31150778,0.00000000
-5.32166083,4.92624917,2.09166171,4.04781043,0.04047942,0.10448562,0.31185489,0.00000000
-5.31565783,4.84473651,2.11545318,3.96618119,0.03979070,0.10674620,0.31138093,0.00000000
-5.30965483,4.74848956,2.13160521,3.87271302,0.03908531,0.10861794,0.30999210,0.00000000
-5.30365183,4.63773374,2.13945244,3.76779487,0.03835543,0.11005309,0.30761621,0.00000000
-5.29764882,4.51298928,2.13846849,3.65205327,0.03759404,0.11100971,0.30420471,0.00000000
-5.29164582,4.37505504,2.12828406,3.52633240,0.03679505,0.11145331,0.29973421,0.00000000
-5.28564282,4.22498517,2.10870131,3.39166829,0.03595334,0.11135827,0.29420729,0.00000000
-5.27963982,4.06405966,2.07970375,3.24925861,0.03506493,0.11070907,0.28765261,0.00000000
-5.27363682,3.89375003,2.04146112,3.10042921,0.03412703,0.10950116,0.28012440,0.00000000
-5.26763382,3.71568148,1.99432872,2.94659885,0.03313813,0.10774152,0.27170123,0.00000000
-5.26163082,3.53159268,1.93884120,2.78924318,0.03209806,0.10544880,0.26248408,0.00000000
