energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.45067562,0.57700210,1.20734076,0.02818060,1.25502779,0.10537781,0.00749432
-5.99399700,2.56214741,0.61311294,1.24856039,0.02996537,1.31177300,0.11183818,0.00799032
-5.98799400,2.67472301,0.64975792,1.28962238,0.03174823,1.36899805,0.11852321,0.00850827
-5.98199100,2.78803610,0.68669633,1.33049914,0.03352122,1.42650300,0.12541268,0.00904576
-5.97598799,2.90168455,0.72367286,1.37115783,0.03527678,1.48406547,0.13248847,0.00959975
-5.96998499,3.01522649,0.76041896,1.41155611,0.03700762,1.54143985,0.13973407,0.01016654
-5.96398199,3.12817898,0.79665519,1.45163878,0.03870670,1.59835809,0.14713407,0.01074179
-5.95797899,3.24001963,0.83209456,1.49133568,0.04036706,1.65453196,0.15467376,0.01132059
-5.95197599,3.35019106,0.86644689,1.53056067,0.04198167,1.70965703,0.16233877,0.01189750
-5.94597299,3.45810828,0.89942411,1.56921190,0.04354334,1.76341809,0.17011465,0.01246668
-5.93996998,3.56316857,0.93074633,1.60717322,0.04504451,1.81549577,0.17798664,0.01302198
-5.93396698,3.66476363,0.96014853,1.64431675,0.04647717,1.86557428,0.18593936,0.01355712
-5.92796398,3.76229342,0.98738750,1.68050628,0.04783275,1.91334975,0.19395651,0.01406582
-5.92196098,3.85518094,1.01224899,1.71560141,0.04910208,1.95853887,0.20202066,0.01454199
-5.91595798,3.94288750,1.03455439,1.74946217,0.05027536,2.00088735,0.21011298,0.01497992
-5.90995498,4.02492733,1.05416690,1.78195370,0.05134227,2.04017781,0.21821303,0.01537440
-5.90395198,4.10088112,1.07099660,1.81295090,0.05229204,2.07623652,0.22629855,0.01572094
-5.89794897,4.17040732,1.08500423,1.84234248,0.05311366,2.10893872,0.23434529,0.01601589
-5.89194597,4.23325089,1.09620326,1.87003441,0.05379608,2.13821202,0.24232682,0.01625655
-5.88594297,4.28924857,1.10466010,1.89595228,0.05432853,2.16403772,0.25021449,0.01644129
-5.87993997,4.33833050,1.11049217,1.92004250,0.05470078,2.18644977,0.25797730,0.01656956
-5.87393697,4.38051780,1.11386398,1.94227222,0.05490353,2.20553127,0.26558195,0.01664194
-5.86793397,4.41591617,1.11498098,1.96262781,0.05492874,2.22140873,0.27299292,0.01666009
-5.86193097,4.44470566,1.11408166,1.98111215,0.05476999,2.23424411,0.28017257,0.01662671
-5.85592796,4.46712706,1.11142784,1.99774058,0.05442276,2.24422501,0.28708143,0.01654543
-5.84992496,4.48346549,1.10729394,2.01253594,0.05388476,2.25155355,0.29367848,0.01642064
-5.84392196,4.49403210,1.10195532,2.02552290,0.05315617,2.25643425,0.29992150,0.01625742
-5.83791896,4.49914476,1.09567649,2.03672191,0.05223977,2.25906185,0.30576760,0.01606127
-5.83191596,4.49910874,1.08869973,2.04614315,0.05114106,2.25960934,0.31117368,0.01583799
-5.82591296,4.49419862,1.08123459,2.05378092,0.04986832,2.25821724,0.31609704,0.01559345
-5.81990995,4.48464227,1.07344902,2.05960890,0.04843246,2.25498449,0.32049601,0.01533342
-5.81390695,4.47060807,1.06546249,2.06357657,0.04684695,2.24996165,0.32433060,0.01506341
-5.80790395,4.45219608,1.05734153,2.06560714,0.04512756,2.24314686,0.32756318,0.01478852
-5.80190095,4.42943376,1.04909808,2.06559735,0.04329203,2.23448485,0.33015922,0.01451327
-5.79589795,4.40227669,1.04069063,2.06341915,0.04135975,2.22386921,0.33208802,0.01424156
-5.78989495,4.37061445,1.03202823,2.05892341,0.03935133,2.21114796,0.33332341,0.01397656
-5.78389195,4.33428135,1.02297729,2.05194560,0.03728811,2.19613213,0.33384452,0.01372071
-5.77788894,4.29307171,1.01337066,2.04231319,0.03519174,2.17860710,0.33363654,0.01347568
-5.77188594,4.24675896,1.00301872,2.02985466,0.03308368,2.15834618,0.33269141,0.01324243
-5.76588294,4.19511763,0.99172189,2.01440956,0.03098474,2.13512569,0.33100862,0.01302125
-5.75987994,4.13794721,0.97928380,1.99583926,0.02891465,2.10874101,0.32859585,0.01281181
-5.75387694,4.07509658,0.96552477,1.97403800,0.02689170,2.07902249,0.32546972,0.01261332
-5.74787394,4.00648793,0.95029451,1.94894344,0.02493242,2.04585077,0.32165638,0.01242456
