energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.38371564,-1.38371563,0.01368119,-0.01368119,0.04161291,-0.04161291,0.42790568,-0.42790568,0.19863918,-0.19863918,0.30916811,-0.30916811,0.37849494,-0.37849494,0.76875032,-0.76875032,0.00000000,-0.00000000
-5.99399700,1.34085746,-1.34085746,0.01425305,-0.01425305,0.04138290,-0.04138290,0.40291413,-0.40291413,0.19452853,-0.19452853,0.29457424,-0.29457424,0.37204065,-0.37204065,0.74010477,-0.74010476,0.00000000,-0.00000000
-5.98799400,1.29725726,-1.29725726,0.01476145,-0.01476145,0.04169224,-0.04169224,0.37868119,-0.37868119,0.19086318,-0.19086318,0.28000287,-0.28000287,0.36471905,-0.36471905,0.71056670,-0.71056670,0.00000000,-0.00000000
-5.98199100,1.25325699,-1.25325699,0.01519946,-0.01519946,0.04255909,-0.04255909,0.35528618,-0.35528618,0.18775349,-0.18775349,0.26551435,-0.26551435,0.35654344,-0.35654344,0.68031998,-0.68031998,0.00000000,-0.00000000
-5.97598799,1.20924530,-1.20924530,0.01556173,-0.01556173,0.04399406,-0.04399406,0.33280011,-0.33280011,0.18530472,-0.18530472,0.25117550,-0.25117550,0.34755805,-0.34755805,0.64958108,-0.64958108,0.00000000,-0.00000000
-5.96998499,1.16564860,-1.16564860,0.01584463,-0.01584463,0.04599958,-0.04599958,0.31128679,-0.31128679,0.18361287,-0.18361287,0.23705930,-0.23705930,0.33783779,-0.33783779,0.61859515,-0.61859515,0.00000000,-0.00000000
-5.96398199,1.12292012,-1.12292012,0.01604644,-0.01604644,0.04856929,-0.04856929,0.29080371,-0.29080371,0.18276059,-0.18276059,0.22324421,-0.22324421,0.32748675,-0.32748675,0.58763098,-0.58763098,0.00000000,-0.00000000
-5.95797899,1.08152735,-1.08152735,0.01616742,-0.01616742,0.05168761,-0.05168761,0.27140265,-0.27140265,0.18281337,-0.18281337,0.20981298,-0.20981298,0.31663549,-0.31663549,0.55697476,-0.55697476,0.00000000,-0.00000000
-5.95197599,1.04193865,-1.04193865,0.01620984,-0.01620984,0.05532947,-0.05532947,0.25313003,-0.25313003,0.18381632,-0.18381632,0.19685116,-0.19685116,0.30543738,-0.30543738,0.52692313,-0.52692313,0.00000000,-0.00000000
-5.94597299,1.00460944,-1.00460944,0.01617790,-0.01617790,0.05946033,-0.05946033,0.23602697,-0.23602697,0.18579162,-0.18579162,0.18444534,-0.18444534,0.29406393,-0.29406393,0.49777565,-0.49777565,0.00000000,-0.00000000
-5.93996998,0.96996872,-0.96996872,0.01607763,-0.01607763,0.06403647,-0.06403647,0.22012933,-0.22012933,0.18873687,-0.18873687,0.17268116,-0.17268116,0.28269941,-0.28269941,0.46982708,-0.46982708,0.00000000,-0.00000000
-5.93396698,0.93840658,-0.93840658,0.01591665,-0.01591665,0.06900572,-0.06900572,0.20546754,-0.20546754,0.19262457,-0.19262457,0.16164122,-0.16164122,0.27153488,-0.27153488,0.44335949,-0.44335949,0.00000000,-0.00000000
-5.92796398,0.91026314,-0.91026314,0.01570392,-0.01570392,0.07430859,-0.07430859,0.19206649,-0.19206649,0.19740264,-0.19740264,0.15140299,-0.15140299,0.26076197,-0.26076197,0.41863484,-0.41863484,0.00000000,-0.00000000
-5.92196098,0.88581961,-0.88581960,0.01544938,-0.01544938,0.07987979,-0.07987979,0.17994543,-0.17994543,0.20299625,-0.20299625,0.14203672,-0.14203672,0.25056653,-0.25056653,0.39588798,-0.39588798,0.00000000,-0.00000000
-5.91595798,0.86529174,-0.86529174,0.01516366,-0.01516366,0.08565032,-0.08565032,0.16911803,-0.16911803,0.20931081,-0.20931081,0.13360356,-0.13360356,0.24112242,-0.24112242,0.37532040,-0.37532040,0.00000000,-0.00000000
-5.90995498,0.84882615,-0.84882615,0.01485759,-0.01485759,0.09154988,-0.09154988,0.15959264,-0.15959264,0.21623611,-0.21623611,0.12615388,-0.12615388,0.23258574,-0.23258574,0.35709503,-0.35709503,0.00000000,-0.00000000
