energy_ev,total_up,Ag_p_up,Ag_d_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up
-6.00000000,4.47205632,0.48532575,4.26862182,0.11585633,0.00000000,0.06326339,0.00000000
-5.99399700,4.33610780,0.47879148,4.13587488,0.11538432,0.00000000,0.06121678,0.00000000
-5.98799400,4.19121850,0.47106184,3.99463548,0.11444767,0.00000000,0.05920445,0.00000000
-5.98199100,4.03744483,0.46205836,3.84499633,0.11301853,0.00000000,0.05721418,0.00000000
-5.97598799,3.87518227,0.45173940,3.68737483,0.11108162,0.00000000,0.05523566,0.00000000
-5.96998499,3.70514327,0.44010139,3.52248993,0.10863468,0.00000000,0.05326097,0.00000000
-5.96398199,3.52832275,0.42717845,3.35132732,0.10568852,0.00000000,0.05128480,0.00000000
-5.95797899,3.34595369,0.41304073,3.17509536,0.10226649,0.00000000,0.04930459,0.00000000
-5.95197599,3.15945558,0.39779147,2.99517436,0.09840364,0.00000000,0.04732050,0.00000000
-5.94597299,2.97037857,0.38156314,2.81306219,0.09414545,0.00000000,0.04533534,0.00000000
-5.93996998,2.78034649,0.36451295,2.63031893,0.08954625,0.00000000,0.04335435,0.00000000
-5.93396698,2.59100131,0.34681794,2.44851335,0.08466742,0.00000000,0.04138504,0.00000000
-5.92796398,2.40395166,0.32867004,2.26917349,0.07957545,0.00000000,0.03943697,0.00000000
-5.92196098,2.22072740,0.31027133,2.09374320,0.07433999,0.00000000,0.03752161,0.00000000
-5.91595798,2.04274182,0.29182978,1.92354626,0.06903183,0.00000000,0.03565217,0.00000000
-5.90995498,1.87126244,0.27355569,1.75975882,0.06372114,0.00000000,0.03384361,0.00000000
-5.90395198,1.70739090,0.25565888,1.60339061,0.05847581,0.00000000,0.03211263,0.00000000
-5.89794897,1.55205194,0.23834694,1.45527481,0.05336007,0.00000000,0.03047779,0.00000000
-5.89194597,1.40599085,0.22182433,1.31606606,0.04843337,0.00000000,0.02895969,0.00000000
-5.88594297,1.26977862,0.20629252,1.18624573,0.04374969,0.00000000,0.02758119,0.00000000
-5.87993997,1.14382353,0.19195089,1.06613326,0.03935699,0.00000000,0.02636768,0.00000000
-5.87393697,1.02838794,0.17899852,0.95590237,0.03529721,0.00000000,0.02534739,0.00000000
