energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,7.37806805,0.28559889,0.00544232,2.75680251,3.40637844,0.06120171,4.85299952
-5.99399700,7.50221527,0.29308979,0.00563888,2.80558069,3.45258641,0.06095060,4.93037171
-5.98799400,7.60856149,0.30068641,0.00581329,2.84909360,3.48860440,0.06051254,4.99566970
-5.98199100,7.69687498,0.30837009,0.00596353,2.88770525,3.51434606,0.05989827,5.04888777
-5.97598799,7.76745021,0.31613151,0.00608817,2.92195856,3.52999239,0.05912264,5.09035994
-5.96998499,7.82108425,0.32396992,0.00618639,2.95255215,3.53598200,0.05820423,5.12073979
-5.96398199,7.85902720,0.33189152,0.00625797,2.98030750,3.53298907,0.05716477,5.14096358
-5.95797899,7.88290872,0.33990680,0.00630329,3.00612783,3.52189012,0.05602850,5.15219859
-5.95197599,7.89464481,0.34802729,0.00632325,3.03095061,3.50372126,0.05482141,5.15577917
-5.94597299,7.89632960,0.35626169,0.00631924,3.05569608,3.47962809,0.05357041,5.15313410
-5.93996998,7.89011846,0.36461172,0.00629306,3.08121445,3.45081117,0.05230255,5.14570926
-5.93396698,7.87810906,0.37306801,0.00624680,3.10823479,3.41846979,0.05104411,5.13489001
-5.92796398,7.86222738,0.38160628,0.00618275,3.13731837,3.38374745,0.04981984,5.12192780
-5.92196098,7.84412521,0.39018414,0.00610330,3.16881942,3.34768186,0.04865221,5.10787538
-5.91595798,7.82509544,0.39873882,0.00601087,3.20285568,3.31116253,0.04756078,5.09353432
-5.90995498,7.80600999,0.40718596,0.00590777,3.23929062,3.27489796,0.04656167,5.07941799
-5.90395198,7.78728429,0.41541974,0.00579619,3.27772903,3.23939458,0.04566722,5.06573236
-5.89794897,7.76887017,0.42331444,0.00567809,3.31752617,3.20494827,0.04488580,5.05237555
-5.89194597,7.75027787,0.43072736,0.00555517,3.35781083,3.17164891,0.04422176,5.03895639
-5.88594297,7.73062564,0.43750312,0.00542890,3.39752115,3.13939748,0.04367559,5.02483075
-5.87993997,7.70871414,0.44347917,0.00530046,3.43545169,3.10793466,0.04324423,5.00915362
