energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.89186869,0.60023569,0.27753456,0.01143289,0.25733522,1.13389302,0.38716602,0.88289427,0.00000000
-5.99399700,1.84076466,0.59537800,0.26508667,0.01093542,0.25315945,1.12456638,0.37349455,0.86326804,0.00000000
-5.98799400,1.79202563,0.59069392,0.25324210,0.01044550,0.24891938,1.11486920,0.36120521,0.84481673,0.00000000
-5.98199100,1.74628185,0.58626823,0.24210450,0.00996439,0.24474265,1.10465506,0.35053132,0.82773635,0.00000000
-5.97598799,1.70419397,0.58220628,0.23176865,0.00949305,0.24077590,1.09382390,0.34171347,0.81222731,0.00000000
-5.96998499,1.66644470,0.57863366,0.22232045,0.00903231,0.23718150,1.08232606,0.33499501,0.79849389,0.00000000
-5.96398199,1.63372803,0.57569482,0.21383690,0.00858298,0.23413326,1.07016426,0.33061679,0.78674271,0.00000000
-5.95797899,1.60673558,0.57355045,0.20638609,0.00814592,0.23181139,1.05739339,0.32881110,0.77718029,0.00000000
-5.95197599,1.58614044,0.57237353,0.20002705,0.00772216,0.23039671,1.04411816,0.32979488,0.77000944,0.00000000
-5.94597299,1.57257849,0.57234423,0.19480947,0.00731287,0.23006433,1.03048855,0.33376243,0.76542444,0.00000000
-5.93996998,1.56662757,0.57364358,0.19077322,0.00691942,0.23097703,1.01669327,0.34087764,0.76360502,0.00000000
-5.93396698,1.56878520,0.57644615,0.18794772,0.00654334,0.23327854,1.00295151,0.35126601,0.76470925,0.00000000
-5.92796398,1.57944562,0.58091207,0.18635123,0.00618623,0.23708700,0.98950314,0.36500676,0.76886569,0.00000000
-5.92196098,1.59887715,0.58717861,0.18599002,0.00584972,0.24248895,0.97659801,0.38212532,0.77616498,0.00000000
-5.91595798,1.62720099,0.59535184,0.18685765,0.00553537,0.24953404,0.96448463,0.40258658,0.78665156,0.00000000
-5.90995498,1.66437303,0.60549877,0.18893444,0.00524456,0.25823080,0.95339885,0.42628933,0.80031581,0.00000000
-5.90395198,1.71016976,0.61764057,0.19218724,0.00497839,0.26854381,0.94355317,0.45306232,0.81708749,0.00000000
-5.89794897,1.76417981,0.63174726,0.19656962,0.00473765,0.28039233,0.93512715,0.48266239,0.83683090,0.00000000
-5.89194597,1.82580232,0.64773444,0.20202266,0.00452267,0.29365072,0.92825959,0.51477495,0.85934243,0.00000000
-5.88594297,1.89425312,0.66546244,0.20847640,0.00433334,0.30815074,0.92304287,0.54901729,0.88435110,0.00000000
-5.87993997,1.96857936,0.68473814,0.21585198,0.00416903,0.32368573,0.91951997,0.58494482,0.91152232,0.00000000
-5.87393697,2.04768301,0.70531981,0.22406451,0.00402867,0.34001661,0.91768424,0.62206032,0.94046527,0.00000000
-5.86793397,2.13035275,0.72692476,0.23302659,0.00391071,0.35687965,0.91748227,0.65982616,0.97074386,0.00000000
-5.86193097,2.21530380,0.74923982,0.24265241,0.00381320,0.37399561,0.91881959,0.69767927,1.00189098,0.00000000
-5.85592796,2.30122414,0.77193426,0.25286218,0.00373391,0.39108015,0.92156901,0.73504840,1.03342585,0.00000000
-5.84992496,2.38682553,0.79467461,0.26358675,0.00367038,0.40785481,0.92558122,0.77137300,1.06487348,0.00000000
-5.84392196,2.47089688,0.81714073,0.27477211,0.00362006,0.42405833,0.93069691,0.80612316,1.09578561,0.00000000
-5.83791896,2.55235757,0.83904230,0.28638342,0.00358041,0.43945763,0.93675990,0.83881953,1.12576197,0.00000000
-5.83191596,2.63030761,0.86013486,0.29840839,0.00354903,0.45385798,0.94363012,0.86905235,1.15447067,0.00000000
-5.82591296,2.70407210,0.88023437,0.31085952,0.00352378,0.46711174,0.95119593,0.89649867,1.18166655,0.00000000
-5.81990995,2.77323677,0.89922953,0.32377507,0.00350284,0.47912524,0.95938456,0.92093663,1.20720625,0.00000000
-5.81390695,2.83767254,0.91709073,0.33721853,0.00348485,0.48986340,0.96817012,0.94225604,1.23105892,0.00000000
