energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.99217383,-4.24924410,0.07515544,-0.08379715,0.37569220,-0.39547648,1.13410470,-1.19749698,0.62218929,-0.64585896,0.09632779,-0.10628062,1.74538181,-1.87196002
-5.99399700,3.79385131,-4.04402134,0.06998714,-0.07866906,0.36023071,-0.38075159,1.08873652,-1.14768165,0.59527432,-0.61968846,0.08866405,-0.09829294,1.65543619,-1.77597695
-5.98799400,3.61110278,-3.85383350,0.06490089,-0.07355240,0.34526389,-0.36646330,1.04964903,-1.10421064,0.56987557,-0.59488192,0.08139151,-0.09065014,1.57424979,-1.68858813
-5.98199100,3.44404671,-3.67887367,0.05993337,-0.06848748,0.33089069,-0.35269289,1.01679992,-1.06707838,0.54604949,-0.57148989,0.07453310,-0.08338138,1.50171281,-1.60975805
-5.97598799,3.29265944,-3.51916533,0.05511798,-0.06351228,0.31721357,-0.33952419,0.99009529,-1.03621562,0.52383860,-0.54954699,0.06810692,-0.07651111,1.43762549,-1.53934578
-5.96998499,3.15679569,-3.37458887,0.05048444,-0.05866189,0.30433714,-0.32704333,0.96939596,-1.01149772,0.50327339,-0.52907492,0.06212637,-0.07005914,1.38171254,-1.47712115
-5.96398199,3.03620559,-3.24490507,0.04605856,-0.05396819,0.29236604,-0.31533777,0.95452253,-0.99275177,0.48437392,-0.51008496,0.05660022,-0.06404063,1.33363641,-1.42278027
-5.95797899,2.93054811,-3.12977535,0.04186210,-0.04945942,0.28140236,-0.30449471,0.94525911,-0.97976253,0.46715091,-0.49258014,0.05153271,-0.05846616,1.29300933,-1.37596002
-5.95197599,2.83940145,-3.02877846,0.03791269,-0.04516003,0.27154245,-0.29459883,0.94135600,-0.97227728,0.45160652,-0.47655695,0.04692378,-0.05334180,1.25940421,-1.33625132
-5.94597299,2.76227089,-2.94142408,0.03422389,-0.04109048,0.26287364,-0.28572967,0.94253157,-0.97000958,0.43773486,-0.46200666,0.04276926,-0.04866927,1.23236423,-1.30321115
-5.93996998,2.69859470,-2.86716342,0.03080524,-0.03726720,0.25547086,-0.27795868,0.94847356,-0.97264227,0.42552222,-0.44891622,0.03906122,-0.04444613,1.21141154,-1.27637325
-5.93396698,2.64774913,-2.80539759,0.02766251,-0.03370263,0.24939348,-0.27134625,0.95884027,-0.97982988,0.41494736,-0.43726896,0.03578830,-0.04066608,1.19605491,-1.25525761
-5.92796398,2.60905307,-2.75548433,0.02479792,-0.03040538,0.24468252,-0.26593883,0.97326184,-0.99120084,0.40598171,-0.42704495,0.03293623,-0.03731933,1.18579671,-1.23937874
-5.92196098,2.58177322,-2.71674375,0.02221048,-0.02738038,0.24135864,-0.26176652,0.99134205,-1.00635964,0.39858977,-0.41822135,0.03048829,-0.03439305,1.18013915,-1.22825285
-5.91595798,2.56513043,-2.68846391,0.01989634,-0.02462922,0.23942074,-0.25884116,1.01266086,-1.02488945,0.39272963,-0.41077268,0.02842595,-0.03187191,1.17859010,-1.22140412
-5.90995498,2.55830775,-2.66990677,0.01784921,-0.02215045,0.23884573,-0.25715522,1.03677810,-1.04635531,0.38835386,-0.40467107,0.02672944,-0.02973863,1.18066846,-1.21837008
-5.90395198,2.56046063,-2.66031518,0.01606081,-0.01993998,0.23958921,-0.25668160,1.06323823,-1.07030825,0.38541062,-0.39988676,0.02537844,-0.02797463,1.18590926,-1.21870632
-5.89794897,2.57072939,-2.65892139,0.01452131,-0.01799150,0.24158739,-0.25737448,1.09157662,-1.09629049,0.38384514,-0.39638865,0.02435272,-0.02656068,1.19386854,-1.22199056
-5.89194597,2.58825417,-2.66495729,0.01321976,-0.01629693,0.24476000,-0.25917126,1.12132716,-1.12384177,0.38360155,-0.39414517,0.02363279,-0.02547756,1.20412805,-1.22782630
-5.88594297,2.61219210,-2.67766665,0.01214464,-0.01484688,0.24901425,-0.26199545,1.15203129,-1.15250705,0.38462490,-0.39312530,0.02320047,-0.02470669,1.21629991,-1.23584612
-5.87993997,2.64173637,-2.69631923,0.01128422,-0.01363111,0.25424968,-0.26576067,1.18324815,-1.18184527,0.38686355,-0.39329987,0.02303950,-0.02423073,1.23003107,-1.24571467
-5.87393697,2.67613672,-2.72022659,0.01062702,-0.01263897,0.26036360,-0.27037538,1.21456577,-1.21143921,0.39027155,-0.39464303,0.02313599,-0.02403414,1.24500780,-1.25713160
-5.86793397,2.71472049,-2.74875907,0.01016220,-0.01185987,0.26725696,-0.27574819,1.24561278,-1.24090607,0.39481120,-0.39713389,0.02347885,-0.02410365,1.26095989,-1.26983421
-5.86193097,2.75691351,-2.78136345,0.00987990,-0.01128365,0.27484033,-0.28179361,1.27607023,-1.26990846,0.40045542,-0.40075818,0.02406004,-0.02442860,1.27766468,-1.28360015
