energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-6.00000000,1.08300925,-1.08300925,0.20775488,-0.20775488,0.14391286,-0.14391286,0.01724698,-0.01724698,0.38641632,-0.38641632,0.21284559,-0.21284559,0.00000000,-0.00000000
-5.99399700,1.11100521,-1.11100521,0.21795607,-0.21795607,0.14983523,-0.14983523,0.01699739,-0.01699739,0.39406218,-0.39406218,0.22018121,-0.22018121,0.00000000,-0.00000000
-5.98799400,1.14658243,-1.14658243,0.22966098,-0.22966098,0.15679489,-0.15679489,0.01682079,-0.01682079,0.40454517,-0.40454517,0.22893173,-0.22893173,0.00000000,-0.00000000
-5.98199100,1.18973049,-1.18973049,0.24285244,-0.24285244,0.16477438,-0.16477438,0.01672180,-0.01672180,0.41787144,-0.41787144,0.23908556,-0.23908556,0.00000000,-0.00000000
-5.97598799,1.24019955,-1.24019954,0.25746944,-0.25746944,0.17372328,-0.17372328,0.01670219,-0.01670219,0.43395873,-0.43395873,0.25058557,-0.25058557,0.00000000,-0.00000000
-5.96998499,1.29750161,-1.29750160,0.27340688,-0.27340688,0.18355819,-0.18355818,0.01676080,-0.01676080,0.45263750,-0.45263750,0.26332895,-0.26332895,0.00000000,-0.00000000
-5.96398199,1.36092047,-1.36092047,0.29051708,-0.29051708,0.19416409,-0.19416409,0.01689372,-0.01689371,0.47365505,-0.47365505,0.27716871,-0.27716871,0.00000000,-0.00000000
-5.95797899,1.42953028,-1.42953028,0.30861308,-0.30861308,0.20539689,-0.20539689,0.01709438,-0.01709438,0.49668272,-0.49668272,0.29191697,-0.29191696,0.00000000,-0.00000000
-5.95197599,1.50222236,-1.50222236,0.32747361,-0.32747361,0.21708717,-0.21708717,0.01735396,-0.01735396,0.52132592,-0.52132592,0.30734994,-0.30734994,0.00000000,-0.00000000
-5.94597299,1.57773981,-1.57773981,0.34684977,-0.34684977,0.22904514,-0.22904514,0.01766173,-0.01766173,0.54713681,-0.54713681,0.32321458,-0.32321458,0.00000000,-0.00000000
-5.93996998,1.65471873,-1.65471873,0.36647314,-0.36647313,0.24106664,-0.24106664,0.01800553,-0.01800553,0.57362914,-0.57362914,0.33923664,-0.33923664,0.00000000,-0.00000000
-5.93396698,1.73173472,-1.73173472,0.38606504,-0.38606504,0.25293987,-0.25293987,0.01837231,-0.01837231,0.60029483,-0.60029483,0.35512993,-0.35512993,0.00000000,-0.00000000
-5.92796398,1.80735300,-1.80735300,0.40534672,-0.40534672,0.26445286,-0.26445286,0.01874874,-0.01874874,0.62662164,-0.62662164,0.37060641,-0.37060641,0.00000000,-0.00000000
-5.92196098,1.88018016,-1.88018015,0.42404989,-0.42404988,0.27540109,-0.27540109,0.01912180,-0.01912180,0.65211123,-0.65211123,0.38538682,-0.38538682,0.00000000,-0.00000000
-5.91595798,1.94891546,-1.94891546,0.44192725,-0.44192725,0.28559526,-0.28559526,0.01947937,-0.01947937,0.67629691,-0.67629691,0.39921127,-0.39921127,0.00000000,-0.00000000
-5.90995498,2.01239945,-2.01239944,0.45876259,-0.45876258,0.29486858,-0.29486858,0.01981082,-0.01981082,0.69876027,-0.69876027,0.41184943,-0.41184943,0.00000000,-0.00000000
-5.90395198,2.06965769,-2.06965769,0.47437978,-0.47437977,0.30308346,-0.30308346,0.02010752,-0.02010752,0.71914601,-0.71914600,0.42310995,-0.42310995,0.00000000,-0.00000000
-5.89794897,2.11993767,-2.11993767,0.48865049,-0.48865048,0.31013723,-0.31013723,0.02036326,-0.02036326,0.73717424,-0.73717424,0.43284843,-0.43284843,0.00000000,-0.00000000
-5.89194597,2.16273701,-2.16273701,0.50150000,-0.50149999,0.31596650,-0.31596650,0.02057459,-0.02057459,0.75264971,-0.75264971,0.44097386,-0.44097385,0.00000000,-0.00000000
-5.88594297,2.19782170,-2.19782170,0.51291096,-0.51291096,0.32055014,-0.32055014,0.02074099,-0.02074099,0.76546749,-0.76546749,0.44745291,-0.44745291,0.00000000,-0.00000000
-5.87993997,2.22523326,-2.22523326,0.52292479,-0.52292479,0.32391050,-0.32391050,0.02086496,-0.02086496,0.77561481,-0.77561481,0.45231218,-0.45231218,0.00000000,-0.00000000
-5.87393697,2.24528459,-2.24528459,0.53164063,-0.53164063,0.32611298,-0.32611298,0.02095192,-0.02095192,0.78316904,-0.78316904,0.45563794,-0.45563794,0.00000000,-0.00000000
-5.86793397,2.25854448,-2.25854448,0.53921190,-0.53921190,0.32726376,-0.32726376,0.02100996,-0.02100996,0.78829178,-0.78829178,0.45757362,-0.45757361,0.00000000,-0.00000000
-5.86193097,2.26581148,-2.26581148,0.54584058,-0.54584058,0.32750599,-0.32750599,0.02104952,-0.02104952,0.79121941,-0.79121941,0.45831494,-0.45831494,0.00000000,-0.00000000
-5.85592796,2.26807840,-2.26807840,0.55176941,-0.55176941,0.32701433,-0.32701433,0.02108282,-0.02108282,0.79225061,-0.79225060,0.45810308,-0.45810308,0.00000000,-0.00000000
-5.84992496,2.26648897,-2.26648896,0.55727238,-0.55727238,0.32598839,-0.32598839,0.02112331,-0.02112331,0.79173131,-0.79173131,0.45721591,-0.45721591,0.00000000,-0.00000000
-5.84392196,2.26228871,-2.26228871,0.56264393,-0.56264393,0.32464502,-0.32464502,0.02118496,-0.02118496,0.79003802,-0.79003802,0.45595796,-0.45595796,0.00000000,-0.00000000
-5.83791896,2.25677234,-2.25677234,0.56818732,-0.56818731,0.32321010,-0.32321010,0.02128157,-0.02128157,0.78756015,-0.78756015,0.45464926,-0.45464926,0.00000000,-0.00000000
-5.83191596,2.25122996,-2.25122996,0.57420257,-0.57420257,0.32190993,-0.32190993,0.02142595,-0.02142595,0.78468232,-0.78468231,0.45361370,-0.45361370,0.00000000,-0.00000000
-5.82591296,2.24689456,-2.24689456,0.58097467,-0.58097467,0.32096276,-0.32096276,0.02162928,-0.02162928,0.78176743,-0.78176743,0.45316731,-0.45316730,0.00000000,-0.00000000
-5.81990995,2.24489308,-2.24489308,0.58876229,-0.58876229,0.32057072,-0.32057072,0.02190044,-0.02190044,0.77914135,-0.77914135,0.45360688,-0.45360688,0.00000000,-0.00000000
-5.81390695,2.24620307,-2.24620307,0.59778756,-0.59778756,0.32091250,-0.32091250,0.02224541,-0.02224541,0.77707979,-0.77707979,0.45519944,-0.45519944,0.00000000,-0.00000000
-5.80790395,2.25161663,-2.25161663,0.60822731,-0.60822731,0.32213704,-0.32213704,0.02266689,-0.02266689,0.77579808,-0.77579808,0.45817286,-0.45817286,0.00000000,-0.00000000
-5.80190095,2.26171314,-2.26171314,0.62020593,-0.62020593,0.32435850,-0.32435850,0.02316399,-0.02316399,0.77544417,-0.77544417,0.46270795,-0.46270795,0.00000000,-0.00000000
-5.79589795,2.27684149,-2.27684149,0.63379022,-0.63379022,0.32765262,-0.32765261,0.02373215,-0.02373215,0.77609506,-0.77609506,0.46893234,-0.46893234,0.00000000,-0.00000000
-5.78989495,2.29711236,-2.29711235,0.64898633,-0.64898633,0.33205462,-0.33205462,0.02436318,-0.02436318,0.77775687,-0.77775687,0.47691625,-0.47691625,0.00000000,-0.00000000
