energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,12.71087162,1.98511996,7.86806835,0.01536921,0.19467500,0.04080946,2.63487209,0.47429309,1.21240833
-5.99399700,12.55153205,1.91311042,7.86706414,0.01537123,0.18566714,0.03936811,2.58955594,0.45753538,1.16291487
-5.98799400,12.37183032,1.83521571,7.85768519,0.01539344,0.17616970,0.03779704,2.53733367,0.43915414,1.11124849
-5.98199100,12.17398367,1.75243438,7.83995879,0.01543710,0.16628301,0.03611674,2.47900976,0.41941360,1.05801533
-5.97598799,11.96055892,1.66586944,7.81408256,0.01550298,0.15611806,0.03435008,2.41549493,0.39860205,1.00385202
-5.96998499,11.73437451,1.57669119,7.78040344,0.01559126,0.14579247,0.03252143,2.34777665,0.37702261,0.94940494
-5.96398199,11.49839706,1.48609928,7.73939153,0.01570149,0.13542630,0.03065585,2.27688817,0.35498388,0.89530994
-5.95797899,11.25563707,1.39528544,7.69161024,0.01583251,0.12513805,0.02877824,2.20387757,0.33279096,0.84217330
-5.95197599,11.00904806,1.30539866,7.63768403,0.01598245,0.11504099,0.02691252,2.12977788,0.31073707,0.79055471
-5.94597299,10.76143278,1.21751373,7.57826534,0.01614871,0.10523989,0.02508096,2.05557916,0.28909615,0.74095284
-5.93996998,10.51535958,1.13260451,7.51400162,0.01632799,0.09582831,0.02330361,1.98220353,0.26811654,0.69379375
-5.93396698,10.27309110,1.05152231,7.44550380,0.01651636,0.08688655,0.02159778,1.91048362,0.24801601,0.64942268
-5.92796398,10.03652692,0.97498006,7.37331700,0.01670935,0.07848020,0.01997776,1.84114501,0.22897817,0.60809901
-5.92196098,9.80716102,0.90354217,7.29789428,0.01690203,0.07065939,0.01845466,1.77479283,0.21115023,0.56999450
-5.91595798,9.58605432,0.83762008,7.21957436,0.01708914,0.06345855,0.01703630,1.71190265,0.19464210,0.53519455
-5.90995498,9.37382208,0.77747296,7.13856370,0.01726521,0.05689688,0.01572733,1.65281558,0.17952673,0.50370222
-5.90395198,9.17063561,0.72321319,7.05492378,0.01742469,0.05097915,0.01452946,1.59773745,0.16584150,0.47544463
-5.89794897,8.97623751,0.67481577,6.96856400,0.01756211,0.04569700,0.01344168,1.54674176,0.15359055,0.45028122
-5.89194597,8.78996914,0.63213105,6.87924064,0.01767215,0.04103046,0.01246066,1.49977615,0.14274780,0.42801352
-5.88594297,8.61080944,0.59489978,6.78656229,0.01774982,0.03694969,0.01158116,1.45667192,0.13326057,0.40839597
-5.87993997,8.43742350,0.56277001,6.69000188,0.01779048,0.03341687,0.01079650,1.41715627,0.12505349,0.39114721
-5.87393697,8.26821964,0.53531485,6.58891531,0.01779003,0.03038809,0.01009894,1.38086677,0.11803270,0.37596157
-5.86793397,8.10141324,0.51205057,6.48256637,0.01774487,0.02781517,0.00948022,1.34736771,0.11208999,0.36252032
-5.86193097,7.93509594,0.49245453,6.37015750,0.01765206,0.02564743,0.00893193,1.31616765,0.10710701,0.35050233
-5.85592796,7.76730805,0.47598228,6.25086536,0.01750930,0.02383328,0.00844594,1.28673800,0.10295921,0.33959398
-5.84992496,7.59611252,0.46208368,6.12388028,0.01731499,0.02232168,0.00801475,1.25853181,0.09951962,0.32949791
-5.84392196,7.41966812,0.45021756,5.98844793,0.01706825,0.02106338,0.00763180,1.23100259,0.09666229,0.31994069
-5.83791896,7.23629989,0.43986484,5.84391171,0.01676893,0.02001191,0.00729178,1.20362239,0.09426544,0.31067905
-5.83191596,7.04456456,0.43053990,5.68975403,0.01641762,0.01912445,0.00699085,1.17589884,0.09221424,0.30150488
-5.82591296,6.84330883,0.42180005,5.52563453,0.01601565,0.01836247,0.00672684,1.14739071,0.09040324,0.29224867
-5.81990995,6.63171853,0.41325322,5.35142357,0.01556506,0.01769212,0.00649944,1.11772134,0.08873839,0.28278173
-5.81390695,6.40935707,0.40456367,5.16722922,0.01506861,0.01708454,0.00631030,1.08658991,0.08713873,0.27301698
-5.80790395,6.17619159,0.39545594,4.97341645,0.01452974,0.01651593,0.00616316,1.05378000,0.08553770,0.26290861
-5.80190095,5.93260610,0.38571691,4.77061743,0.01395253,0.01596758,0.00606396,1.01916533,0.08388408,0.25245056
-5.79589795,5.67940116,0.37519625,4.55973229,0.01334167,0.01542564,0.00602088,0.98271258,0.08214256,0.24167411
-5.78989495,5.41778008,0.36380516,4.34192035,0.01270237,0.01488094,0.00604439,0.94448126,0.08029402,0.23064452
-5.78389195,5.14932249,0.35151381,4.11858190,0.01204036,0.01432859,0.00614729,0.90462072,0.07833541,0.21945719
-5.77788894,4.87594644,0.33834732,3.89133153,0.01136174,0.01376765,0.00634468,0.86336452,0.07627941,0.20823316
-5.77188594,4.59986066,0.32438086,3.66196411,0.01067294,0.01320064,0.00665391,0.82102239,0.07415375,0.19711437
-5.76588294,4.32350902,0.30973365,3.43241494,0.00998063,0.01263309,0.00709454,0.77797027,0.07200032,0.18625874
-5.75987994,4.04950958,0.29456248,3.20471593,0.00929163,0.01207304,0.00768813,0.73463869,0.06987405,0.17583514
