energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.31167133,0.05826876,0.14072640,0.87544399,0.21536326,0.01813025,0.75913860,0.78047837,0.54707074
-5.99399700,2.40465661,0.06048661,0.14874009,0.90194848,0.22326515,0.01917845,0.78469477,0.81610074,0.56972901
-5.98799400,2.49339091,0.06271295,0.15625502,0.92771222,0.23048582,0.02026879,0.80905863,0.84966627,0.59138554
-5.98199100,2.57622387,0.06490875,0.16315403,0.95220793,0.23690620,0.02138964,0.83174862,0.88060648,0.61160540
-5.97598799,2.65158336,0.06703353,0.16932840,0.97491241,0.24242455,0.02252793,0.85230734,0.90839061,0.62997242
-5.96998499,2.71802182,0.06904631,0.17468104,0.99532199,0.24696048,0.02366952,0.87031572,0.93254070,0.64610082
-5.96398199,2.77426046,0.07090666,0.17912926,1.01296823,0.25045865,0.02479960,0.88540662,0.95264525,0.65964621
-5.95797899,2.81922978,0.07257582,0.18260718,1.02743306,0.25289180,0.02590322,0.89727722,0.96837103,0.67031568
-5.95197599,2.85210458,0.07401782,0.18506749,1.03836273,0.25426313,0.02696588,0.90569977,0.97947250,0.67787652
-5.94597299,2.87233211,0.07520064,0.18648272,1.04548018,0.25460790,0.02797409,0.91053028,0.98579838,0.68216317
-5.93996998,2.87965212,0.07609729,0.18684576,1.04859509,0.25399404,0.02891599,0.91171458,0.98729519,0.68308219
-5.93396698,2.87410805,0.07668681,0.18616970,1.04761134,0.25252194,0.02978193,0.90929183,0.98400771,0.68061498
-5.92796398,2.85604876,0.07695514,0.18448701,1.04253160,0.25032312,0.03056501,0.90339494,0.97607623,0.67481818
-5.92196098,2.82612086,0.07689583,0.18184807,1.03345871,0.24755809,0.03126156,0.89424817,0.96373083,0.66582175
-5.91595798,2.78525178,0.07651045,0.17831924,1.02059394,0.24441322,0.03187149,0.88216190,0.94728309,0.65382477
-5.90995498,2.73462430,0.07580893,0.17398030,1.00423205,0.24109676,0.03239853,0.86752461,0.92711547,0.63908922
-5.90395198,2.67564347,0.07480948,0.16892180,0.98475351,0.23783410,0.03285030,0.85079254,0.90366895,0.62193191
-5.89794897,2.60989699,0.07353827,0.16324197,0.96261395,0.23486247,0.03323826,0.83247732,0.87742943,0.60271499
-5.89194597,2.53911059,0.07202892,0.15704377,0.93833134,0.23242491,0.03357742,0.81313182,0.84891344,0.58183524
-5.88594297,2.46509971,0.07032164,0.15043189,0.91247129,0.23076407,0.03388594,0.79333487,0.81865381,0.55971281
-5.87993997,2.38971911,0.06846212,0.14350991,0.88563100,0.23011550,0.03418449,0.77367519,0.78718558,0.53677945
-5.87393697,2.31481194,0.06650026,0.13637786,0.85842226,0.23070099,0.03449551,0.75473492,0.75503289,0.51346697
-5.86793397,2.24215966,0.06448869,0.12913002,0.83145424,0.23272187,0.03484227,0.73707338,0.72269696,0.49019602
-5.86193097,2.17343425,0.06248118,0.12185317,0.80531629,0.23635242,0.03524790,0.72121128,0.69064561,0.46736568
-5.85592796,2.11015400,0.06053095,0.11462532,0.78056162,0.24173369,0.03573428,0.70761599,0.65930446,0.44534408
-5.84992496,2.05364389,0.05868901,0.10751481,0.75769198,0.24896782,0.03632092,0.69668804,0.62904986,0.42446022
-5.84392196,2.00500160,0.05700253,0.10057992,0.73714402,0.25811301,0.03702394,0.68874941,0.60020366,0.40499726
-5.83791896,1.96506998,0.05551330,0.09386876,0.71927759,0.26917938,0.03785501,0.68403374,0.57302976,0.38718731
-5.83191596,1.93441657,0.05425639,0.08741959,0.70436633,0.28212582,0.03882051,0.68267885,0.54773220,0.37120776
-5.82591296,1.91332066,0.05325899,0.08126133,0.69259079,0.29685812,0.03992084,0.68472173,0.52445496,0.35717932
-5.81990995,1.90176827,0.05253952,0.07541438,0.68403433,0.31322838,0.04114989,0.69009629,0.50328292,0.34516549
-5.81390695,1.89945511,0.05210707,0.06989142,0.67868180,0.33103603,0.04249488,0.69863388,0.48424421,0.33517362
-5.80790395,1.90579755,0.05196107,0.06469845,0.67642107,0.35003027,0.04393636,0.71006669,0.46731347,0.32715737
-5.80190095,1.91995127,0.05209134,0.05983576,0.67704750,0.36991429,0.04544859,0.72403407,0.45241609,0.32102038
