energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.78663031,-2.09333328,2.62442691,-3.22240882,0.48730434,-0.61391054,0.00350997,-0.00179649,0.64560911,-1.05361852,0.13730342,-0.07218111,0.48618372,-0.28769708,0.00000000,-0.00000000
-5.99399700,1.77795319,-2.10764998,2.63497867,-3.23711174,0.47643944,-0.61483743,0.00361260,-0.00184170,0.63294509,-1.05409881,0.13853944,-0.07690362,0.49656036,-0.29748651,0.00000000,-0.00000000
-5.98799400,1.76923394,-2.11471987,2.64142989,-3.23810611,0.46665946,-0.61380653,0.00369981,-0.00188182,0.62090450,-1.05002692,0.13952200,-0.08195699,0.50588771,-0.30719401,0.00000000,-0.00000000
-5.98199100,1.75987645,-2.11471830,2.64271204,-3.22572274,0.45782618,-0.61081854,0.00376979,-0.00191740,0.60926182,-1.04144108,0.14017087,-0.08737917,0.51400111,-0.31690874,0.00000000,-0.00000000
-5.97598799,1.74931872,-2.10806215,2.63782751,-3.20068685,0.44979084,-0.60594714,0.00382107,-0.00194918,0.59777323,-1.02851350,0.14041560,-0.09320786,0.52078253,-0.32673958,0.00000000,-0.00000000
-5.96998499,1.73707479,-2.09538473,2.62590803,-3.16408156,0.44240686,-0.59933364,0.00385258,-0.00197802,0.58619305,-1.01154171,0.14019896,-0.09947748,0.52617034,-0.33680707,0.00000000,-0.00000000
-5.96398199,1.72277179,-2.07749989,2.60626709,-3.11729494,0.43554169,-0.59117828,0.00386375,-0.00200482,0.57428929,-0.99093409,0.13947983,-0.10621591,0.53016663,-0.34723416,0.00000000,-0.00000000
-5.95797899,1.70618022,-2.05535737,2.57844335,-3.06195323,0.42908698,-0.58172862,0.00385447,-0.00203051,0.56185774,-0.96719070,0.13823527,-0.11344110,0.53284172,-0.35813627,0.00000000,-0.00000000
-5.95197599,1.68723551,-2.02999159,2.54223275,-2.99984403,0.42296668,-0.57126584,0.00382516,-0.00205599,0.54873374,-0.94088023,0.13646172,-0.12115779,0.53433522,-0.36961111,0.00000000,-0.00000000
-5.94597299,1.66604986,-2.00246689,2.49770738,-2.93283319,0.41714256,-0.56008956,0.00377674,-0.00208205,0.53480124,-0.91261444,0.13417543,-0.12935440,0.53485383,-0.38172872,0.00000000,-0.00000000
-5.93996998,1.64291357,-1.97382202,2.44522047,-2.86278004,0.41161698,-0.54850214,0.00371060,-0.00210935,0.51999868,-0.88302139,0.13141183,-0.13800041,0.53466553,-0.39452249,0.00000000,-0.00000000
-5.93396698,1.61828599,-1.94501699,2.38539708,-2.79145520,0.40643276,-0.53679322,0.00362858,-0.00213835,0.50432154,-0.85271891,0.12822420,-0.14704438,0.53409049,-0.40798153,0.00000000,-0.00000000
-5.92796398,1.59277648,-1.91688510,2.31911145,-2.72046514,0.40167026,-0.52522546,0.00353284,-0.00216926,0.48782162,-0.82228951,0.12468146,-0.15641274,0.53348907,-0.42204507,0.00000000,-0.00000000
-5.92196098,1.56711657,-1.89009271,2.24745214,-2.65118740,0.39744188,-0.51402210,0.00342586,-0.00220206,0.47060329,-0.79225817,0.12086544,-0.16600949,0.53324733,-0.43659912,0.00000000,-0.00000000
-5.91595798,1.54212484,-1.86510884,2.17167735,-2.58471932,0.39388439,-0.50335704,0.00331027,-0.00223645,0.45281690,-0.76307374,0.11686753,-0.17571708,0.53376074,-0.45147591,0.00000000,-0.00000000
-5.90995498,1.51866660,-1.84218613,2.09316268,-2.52184282,0.39114951,-0.49334789,0.00318881,-0.00227187,0.43465008,-0.73509503,0.11278513,-0.18539822,0.53541697,-0.46645620,0.00000000,-0.00000000
-5.90395198,1.49761035,-1.82135406,2.01334456,-2.46300634,0.38939335,-0.48405235,0.00306421,-0.00230748,0.41631737,-0.70858182,0.10871785,-0.19489888,0.53857832,-0.48127439,0.00000000,-0.00000000
-5.89794897,1.47978367,-1.80242450,1.93366210,-2.40832449,0.38876533,-0.47546788,0.00293907,-0.00234224,0.39804883,-0.68369131,0.10476389,-0.20405228,0.54356499,-0.49562657,0.00000000,-0.00000000
-5.89194597,1.46593072,-1.78500921,1.85550074,-2.35759477,0.38939718,-0.46753479,0.00281583,-0.00237493,0.38007843,-0.66047958,0.10101646,-0.21268382,0.55063965,-0.50918097,0.00000000,-0.00000000
-5.88594297,1.45667361,-1.76854805,1.78014026,-2.31032988,0.39139270,-0.46014228,0.00269663,-0.00240419,0.36263270,-0.63890812,0.09756073,-0.22061663,0.55999448,-0.52159056,0.00000000,-0.00000000
-5.87993997,1.45247977,-1.75234621,1.70870980,-2.26580335,0.39481880,-0.45313718,0.00258332,-0.00242859,0.34592033,-0.61885442,0.09447116,-0.22767775,0.57174092,-0.53250713,0.00000000,-0.00000000
-5.87393697,1.45363673,-1.73561835,1.64215187,-2.22310564,0.39969832,-0.44633470,0.00247737,-0.00244670,0.33012320,-0.60012624,0.09180945,-0.23370439,0.58590305,-0.54159632,0.00000000,-0.00000000
